PC,feature,abs_loading
PC1,eda_stress_skin_mad,0.47240471311794835
PC1,eda_stress_skin_min,0.43861729375247555
PC1,eda_stress_skin_slope,0.43383026716005707
PC1,eda_cc_iqr,0.4088877136001236
PC1,eda_cc_slope,0.3677495187464372
PC1,eda_cc_min,0.26935667561544374
PC1,eda_cc_kurtosis,0.12338751208886356
PC1,eda_cc_skew,0.06553676336418826
PC2,eda_cc_kurtosis,0.4956222099187901
PC2,eda_cc_min,0.48836715071386394
PC2,eda_cc_skew,0.4600917291521584
PC2,eda_cc_iqr,0.3401488745819493
PC2,eda_stress_skin_min,0.26979645296476945
PC2,eda_cc_slope,0.2071485995716806
PC2,eda_stress_skin_mad,0.18290059941196898
PC2,eda_stress_skin_slope,0.1808480826723691
PC3,eda_stress_skin_kurtosis,0.6659554977056762
PC3,eda_stress_skin_skew,0.5196132174671714
PC3,eda_cc_skew,0.35167905865760474
PC3,eda_cc_min,0.20218385908084674
PC3,eda_cc_iqr,0.19042991950458063
PC3,eda_stress_skin_mad,0.17755816194424615
PC3,eda_stress_skin_min,0.17383150940130307
PC3,eda_cc_slope,0.13514938794627723
PC4,eda_stress_skin_skew,0.6878133877744627
PC4,eda_cc_kurtosis,0.43380767201216763
PC4,eda_stress_skin_kurtosis,0.4025982390614052
PC4,eda_cc_skew,0.24645331140842713
PC4,eda_cc_min,0.17910632684886268
PC4,eda_stress_skin_slope,0.17477054096454164
PC4,eda_cc_slope,0.15509022093699862
PC4,eda_stress_skin_min,0.10955468340718076
PC5,eda_cc_slope,0.5623468667717034
PC5,eda_cc_min,0.48820760997681056
PC5,eda_cc_skew,0.4810501231525135
PC5,eda_stress_skin_slope,0.3420984143642596
PC5,eda_stress_skin_skew,0.2668921428784814
PC5,eda_cc_kurtosis,0.09180854829881634
PC5,eda_cc_iqr,0.08505358660092598
PC5,eda_stress_skin_mad,0.08041489361822654
PC6,eda_cc_kurtosis,0.7065093082834022
PC6,eda_stress_skin_skew,0.4130891935852085
PC6,eda_cc_skew,0.3292012204906328
PC6,eda_cc_min,0.2601302801277051
PC6,eda_stress_skin_kurtosis,0.23357090030903935
PC6,eda_cc_iqr,0.18098971603912697
PC6,eda_cc_slope,0.1772857977054595
PC6,eda_stress_skin_mad,0.1462285900685317
PC7,eda_stress_skin_kurtosis,0.5642337296396641
PC7,eda_cc_skew,0.50409536164919
PC7,eda_cc_iqr,0.3846642192970117
PC7,eda_cc_slope,0.37600142282017757
PC7,eda_stress_skin_slope,0.2287189349193337
PC7,eda_stress_skin_min,0.2165572508497302
PC7,eda_stress_skin_mad,0.13993371661134338
PC7,eda_cc_min,0.09965310290027997
PC8,eda_stress_skin_slope,0.6815435558984597
PC8,eda_stress_skin_min,0.6264096180118097
PC8,eda_cc_min,0.23583500154363607
PC8,eda_cc_slope,0.21507945767487985
PC8,eda_cc_kurtosis,0.12033269870048903
PC8,eda_stress_skin_mad,0.11549706330867036
PC8,eda_stress_skin_skew,0.08658647905869234
PC8,eda_cc_skew,0.07472198022899426
