,eda_EDA_MAVFD,eda_EDA_Range,eda_EDA_Tonic_SD,eda_EDA_Phasic__number_peaks__n_1,eda_EDA_Phasic__number_peaks__n_5,eda_EDA_Sympathetic,eda_cc_mean,eda_cc_std,eda_cc_median,eda_cc_iqr,eda_cc_mad,eda_cc_rms,eda_cc_mean_abs_diff,eda_cc_slope,eda_tonic_mean,eda_tonic_std,eda_tonic_median,eda_tonic_iqr,eda_tonic_mad,eda_tonic_rms,eda_tonic_mean_abs_diff,eda_tonic_slope,eda_phasic_mean,eda_phasic_std,eda_phasic_rms,eda_phasic_peak_rate,eda_phasic_interpeak_mean_sec,eda_phasic_peak_prom_mean,eda_phasic_dom_freq_hz,eda_phasic_spectral_entropy,eda_stress_skin_mean,eda_stress_skin_std,eda_stress_skin_median,eda_stress_skin_iqr,eda_stress_skin_mad,eda_stress_skin_rms,eda_stress_skin_mean_abs_diff,eda_stress_skin_slope
eda_EDA_MAVFD,0.0,0.9999117925971548,0.9997295698100692,0.04793320090759891,0.03500505738176443,0.036290802216957616,0.042540879991439615,0.9997284767745036,0.04254261612952901,0.99935701799882,0.9987711890042563,0.04253970249710148,1.0,0.0020166304542818315,0.04254094585492066,0.9997295698100692,0.04254264168775053,0.999346441649634,0.998733001827289,0.04253976889461883,0.9999941355174815,0.0020223018345649066,0.0030084533536171984,0.9884751375722176,0.9888134710543637,0.04793320090759857,0.05012522105289066,0.8556772807498654,0.007485301662673859,0.03155527600846532,0.036290802216957616,0.09467633237455711,0.036257666893910794,0.0948281021531045,0.09306540823001025,0.03664510384820307,0.09310927268464109,0.012075020209077386
eda_EDA_Range,0.9999117925971548,0.0,0.9998299790436252,0.04552067297106053,0.03295286497988352,0.036423952719245804,0.04336024449257002,0.9998284271181663,0.04336200464423337,0.9994735427875592,0.9988870754670327,0.043359067443200824,0.9999117925971546,0.00228640333267264,0.04336031069494582,0.9998299790436252,0.043362028971878665,0.9994649763365334,0.998851518441166,0.04335913417929049,0.9999303618546753,0.002292501002184421,0.003280248007891145,0.9879869575363756,0.988333357545231,0.04552067297106035,0.04836430802724182,0.8537900582992793,0.010588102285863878,0.029364327292177275,0.036423952719245804,0.09427660310064898,0.03640034221593749,0.09450479291494358,0.09291936279741908,0.03677587169121423,0.09273210055480081,0.012526879672297967
eda_EDA_Tonic_SD,0.9997295698100692,0.9998299790436252,0.0,0.0533308152967245,0.03511268502606883,0.03627304432658022,0.04325055680900515,0.9999998978188411,0.04325261428043891,0.9998593183170995,0.9993058929759647,0.04324937905771052,0.9997295698100691,0.0022104473916392444,0.04325062371368047,1.0,0.04325264486317877,0.9998551178474644,0.9992759628160847,0.0432494464995755,0.9997724683551713,0.002216694175062057,0.003071880353241348,0.9871472320951226,0.9874722168782905,0.053330815296724184,0.05600684126839114,0.851923639238972,0.008266570301505611,0.03264981499551884,0.03627304432658022,0.09461306452778495,0.03625248072508846,0.0949424047054875,0.09342356094488696,0.036629607577891334,0.09296297092300305,0.012547536465626927
eda_EDA_Phasic__number_peaks__n_1,0.04793320090759891,0.04552067297106053,0.0533308152967245,0.0,0.8320758392837878,0.01293674498501499,0.04217208463009859,0.05347344877418841,0.04216392999273302,0.05347033469095261,0.04298466099008517,0.042172020689750345,0.04793320090759891,0.059824133146087186,0.042171954443359694,0.05333081529672447,0.042163810828137006,0.053507420824613315,0.04269346134827851,0.042171890715741366,0.047479930948705555,0.059791368149780116,0.04794763769894775,0.08943779220426189,0.0881774184823678,0.9999999999999993,0.9750354130918805,0.2632243455937781,0.8142516703867437,0.9063064479887368,0.01293674498501499,0.039741559364217485,0.012692738237157594,0.03410359209336552,0.012066431142949483,0.013475804559276983,0.042781971240248094,0.00669043239247429
eda_EDA_Phasic__number_peaks__n_5,0.03500505738176443,0.03295286497988352,0.03511268502606883,0.8320758392837878,0.0,0.006056257306721762,0.04829513050767001,0.035122846545652384,0.04828044701994071,0.034719821579604036,0.028699080008681054,0.04829509568689838,0.03500505738176441,0.050819770308581896,0.04829501047326302,0.03511268502606885,0.048280168447160286,0.03471787290616674,0.028481585211589548,0.04829497569270612,0.034763817278890476,0.05079581231536646,0.048225987354010756,0.06259059962050174,0.06227366220710413,0.8320758392837865,0.8176308417876988,0.340825519418819,0.6655464299614816,0.9792032536026126,0.006056257306721762,0.011889239175643206,0.0058782234286640315,0.006706008066630151,0.011741585102489686,0.006458176352545879,0.01689685131473182,0.00977432562598128
eda_EDA_Sympathetic,0.036290802216957616,0.036423952719245804,0.03627304432658022,0.01293674498501499,0.006056257306721762,0.0,0.1495519014201474,0.03627632316979479,0.14954958607620966,0.03629333989321568,0.03682939624260526,0.1495518138861089,0.036290802216957636,0.15790482931473251,0.14955149412854302,0.03627304432658021,0.14954953986810568,0.036293142690957125,0.036846228015415296,0.14955140661899716,0.03628684020177145,0.15790292496529448,0.1575244262559212,0.03508304989465184,0.03508520636168617,0.012936744985014854,0.008478495932553258,0.07753725172434316,0.0005501614352373066,0.002545826882702117,1.0,0.7071560703563958,0.9999928803437891,0.7067294131423077,0.7079134046200093,0.9999921170142472,0.7153586912399926,0.395617013369728
eda_cc_mean,0.042540879991439615,0.04336024449257002,0.04325055680900515,0.04217208463009859,0.04829513050767001,0.1495519014201474,0.0,0.04324550520919888,0.9999999946663318,0.043225990383132,0.04331271817517376,0.999999999999255,0.04254087999143961,0.42409104727326746,0.9999999999922717,0.04325055680900514,0.9999999944423226,0.04323098516719445,0.043345873257847695,0.9999999999920316,0.042695638120663515,0.42410284650633234,0.4268559630965346,0.03976475111745996,0.03982426806565819,0.04217208463009638,0.04780251790214902,0.18499963371211017,0.017118266761102712,0.04913646861426931,0.14955190142014743,0.07990380732964895,0.1493938537199303,0.07983209452314345,0.07864950232014274,0.14961671744011357,0.07622831483450934,0.22097223007214303
eda_cc_std,0.9997284767745036,0.9998284271181663,0.9999998978188411,0.05347344877418841,0.035122846545652384,0.03627632316979479,0.04324550520919888,0.0,0.043247561738670684,0.9998556882945406,0.9992968267745439,0.04324432745171287,0.9997284767745036,0.002212936660138964,0.04324557210294095,0.9999998978188411,0.04324759230916908,0.9998514644132123,0.9992667166123391,0.043244394882930616,0.9997703500428662,0.002219178385952651,0.003072238977809406,0.9872053302121021,0.9875290350219865,0.0534734487741881,0.05609766499954854,0.8519399990500166,0.008094817053112564,0.032716221844064884,0.03627632316979479,0.09462803980581691,0.03625566207995612,0.0949556541828868,0.09343377582351864,0.03663299859896977,0.09297849995547683,0.01255111886456904
eda_cc_median,0.04254261612952901,0.04336200464423337,0.04325261428043891,0.04216392999273302,0.04828044701994071,0.14954958607620966,0.9999999946663318,0.043247561738670684,0.0,0.04322790723132528,0.04331359497868276,0.999999994663206,0.04254261612952899,0.4240903478805586,0.9999999946658816,0.043252614280438896,0.999999999997678,0.04323290347147514,0.04334673796137842,0.9999999946632605,0.04269739831251816,0.4241021573013395,0.42685428670824516,0.03976679384342067,0.039826320423429214,0.042163929992730796,0.0478068077025159,0.18499890086565288,0.017104621872032565,0.04912983301141705,0.14954958607620966,0.07990205952123454,0.14939155496935017,0.07983105834999026,0.07864943994787907,0.1496143965346106,0.0762258918334832,0.22097224908378865
eda_cc_iqr,0.99935701799882,0.9994735427875592,0.9998593183170995,0.05347033469095261,0.034719821579604036,0.03629333989321568,0.043225990383132,0.9998556882945406,0.04322790723132528,0.0,0.9997202739123063,0.04322481242102118,0.9993570179988199,0.002425365363484422,0.04322605652918895,0.9998593183170995,0.043227934815011214,0.999999954794373,0.9997022682686629,0.04322487910031784,0.9994390035127776,0.002431424480361024,0.003235895874315254,0.9847786832680563,0.9851161586307008,0.05347033469095256,0.056569537555551934,0.8493057557265058,0.012781622378304503,0.03109063551343577,0.036293339893215676,0.09486862472918046,0.03627711111873245,0.0953103974278473,0.09395017694229876,0.03665135695716293,0.09312455313212349,0.012358890182050776
