feature,reason,value
eda_tonic_std,|corr|>=0.95,1.0
eda_EDA_Sympathetic,|corr|>=0.95,1.0
eda_cc_mean_abs_diff,|corr|>=0.95,1.0
eda_EDA_Phasic__number_peaks__n_1,|corr|>=0.95,0.9999999999999993
eda_tonic_mean,|corr|>=0.95,0.9999999999992553
eda_cc_mean,|corr|>=0.95,0.999999999999255
eda_cc_median,|corr|>=0.95,0.999999999997678
eda_cc_rms,|corr|>=0.95,0.9999999999922717
eda_tonic_rms,|corr|>=0.95,0.9999999944393642
eda_cc_slope,|corr|>=0.95,0.9999999899988727
eda_tonic_iqr,|corr|>=0.95,0.999999954794373
eda_cc_std,|corr|>=0.95,0.9999998978188411
eda_cc_mad,|corr|>=0.95,0.999999614720939
eda_phasic_std,|corr|>=0.95,0.9999955676318728
eda_EDA_MAVFD,|corr|>=0.95,0.9999941355174815
eda_stress_skin_mean,|corr|>=0.95,0.9999928803437891
eda_stress_skin_rms,|corr|>=0.95,0.9999798068257014
eda_tonic_mean_abs_diff,|corr|>=0.95,0.9999303618546753
eda_EDA_Tonic_SD,|corr|>=0.95,0.9998593183170995
eda_cc_iqr,|corr|>=0.95,0.9997022682686629
eda_stress_skin_std,|corr|>=0.95,0.9992860444298368
eda_EDA_Range,|corr|>=0.95,0.998851518441166
eda_tonic_slope,|corr|>=0.95,0.9981947105302381
eda_stress_skin_iqr,|corr|>=0.95,0.997413654717393
eda_stress_skin_mean_abs_diff,|corr|>=0.95,0.9917421333156748
eda_phasic_rms,|corr|>=0.95,0.9820256104163612
eda_phasic_spectral_entropy,|corr|>=0.95,0.9792032536026126
eda_phasic_peak_rate,|corr|>=0.95,0.9750354130918778
