,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
eda_EDA_Phasic__number_peaks__n_5,0.48046585272102665,-0.23179587896606746,0.16249936675048007,0.02037075316476878,-0.020225346414663004,-0.02422535464497362,-0.7065048056418984,-0.09060316633191762,-0.30444063676040406,-0.2959125127191879
eda_tonic_median,-0.15308428869441074,-0.2360933135160931,0.0803993350098119,0.6331837668340615,0.4834353585730247,0.4803190131648512,-0.024069255652587537,-0.20421607767839456,0.08123896778400196,-0.01183243646984623
eda_tonic_mad,0.2125631853863761,0.12306933780023098,-0.6143202346204171,0.3556020938447994,-0.1601271102055161,-0.09969426856164677,0.11694366365972532,0.055776555656516236,0.22789373303358304,-0.5757834607793652
eda_phasic_mean,-0.18946647942727546,-0.2444444721168751,0.15218582051289745,0.6025326192716512,-0.48607301428928196,-0.4273810493291039,-0.013119060387321755,0.11920401842612187,-0.16403250481734458,0.24069350850500212
eda_phasic_interpeak_mean_sec,-0.4967586899518266,0.24931740482781073,-0.20953327214546508,-0.021810928165770828,0.011555595038995668,0.04450618626243036,-0.023674274808117277,-0.20903791948486275,-0.7344801585952317,-0.24669610465342634
eda_phasic_peak_prom_mean,0.3938336066326625,0.11758459011394636,-0.5389447171188025,0.1023219765237676,0.03369753375135902,0.10361955888517818,-0.04726911291790959,-0.13492028382466315,-0.25054835132624864,0.6595853957785072
eda_phasic_dom_freq_hz,0.45469376402366724,-0.25128599528195905,0.22851222674929905,0.003617333404803001,0.021682462685479405,0.02637476046755554,0.6942467480771123,-0.0688613576996922,-0.40401573282936043,-0.1635943254116609
eda_stress_skin_median,0.13962234102198753,0.4741996259513726,0.23767339241473953,0.1746971732171237,0.3301780592182572,-0.551077563471484,0.024259565704028995,-0.4947263335720012,0.10254454196771749,0.008395614761234075
eda_stress_skin_mad,0.1531299827120314,0.5233319305995625,0.21529355506372064,0.2371718861179125,0.19741033420374718,0.09439515999942578,-0.031337794773516454,0.7178289120994743,-0.1895444752645716,0.002069198054449625
eda_stress_skin_slope,0.11433895136833723,0.4216158269178046,0.277770829592173,0.10694273672036203,-0.5951856409687928,0.5001028899067566,0.008929102577018183,-0.32571693871949764,0.09983551133219638,-0.009278249281232592
