PC,feature,abs_loading
PC1,eda_phasic_interpeak_mean_sec,0.4967586899518249
PC1,eda_EDA_Phasic__number_peaks__n_5,0.480465852721027
PC1,eda_phasic_dom_freq_hz,0.4546937640236659
PC1,eda_phasic_peak_prom_mean,0.39383360663266254
PC1,eda_tonic_mad,0.21256318538637667
PC1,eda_phasic_mean,0.189466479427276
PC1,eda_stress_skin_mad,0.15312998271203299
PC1,eda_tonic_median,0.1530842886944113
PC2,eda_stress_skin_mad,0.5233319305995624
PC2,eda_stress_skin_median,0.4741996259513724
PC2,eda_stress_skin_slope,0.42161582691780414
PC2,eda_phasic_dom_freq_hz,0.2512859952819592
PC2,eda_phasic_interpeak_mean_sec,0.2493174048278114
PC2,eda_phasic_mean,0.24444447211687412
PC2,eda_tonic_median,0.23609331351609278
PC2,eda_EDA_Phasic__number_peaks__n_5,0.2317958789660688
PC3,eda_tonic_mad,0.6143202346204109
PC3,eda_phasic_peak_prom_mean,0.5389447171188005
PC3,eda_stress_skin_slope,0.27777082959217386
PC3,eda_stress_skin_median,0.237673392414742
PC3,eda_phasic_dom_freq_hz,0.22851222674929933
PC3,eda_stress_skin_mad,0.2152935550637241
PC3,eda_phasic_interpeak_mean_sec,0.2095332721454654
PC3,eda_EDA_Phasic__number_peaks__n_5,0.16249936675048074
PC4,eda_tonic_median,0.6331837668340605
PC4,eda_phasic_mean,0.6025326192716483
PC4,eda_tonic_mad,0.35560209384481006
PC4,eda_stress_skin_mad,0.2371718861179086
PC4,eda_stress_skin_median,0.17469717321711992
PC4,eda_stress_skin_slope,0.10694273672035623
PC4,eda_phasic_peak_prom_mean,0.10232197652377667
PC4,eda_phasic_interpeak_mean_sec,0.02181092816576706
PC5,eda_stress_skin_slope,0.5951856409688061
PC5,eda_phasic_mean,0.4860730142892716
PC5,eda_tonic_median,0.48343535857301206
PC5,eda_stress_skin_median,0.3301780592182714
PC5,eda_stress_skin_mad,0.19741033420374451
PC5,eda_tonic_mad,0.16012711020551407
PC5,eda_phasic_peak_prom_mean,0.0336975337513565
PC5,eda_phasic_dom_freq_hz,0.021682462685478337
PC6,eda_stress_skin_median,0.5510775634714763
PC6,eda_stress_skin_slope,0.5001028899067425
PC6,eda_tonic_median,0.4803190131648638
PC6,eda_phasic_mean,0.42738104932911636
PC6,eda_phasic_peak_prom_mean,0.10361955888517937
PC6,eda_tonic_mad,0.09969426856165113
PC6,eda_stress_skin_mad,0.09439515999943177
PC6,eda_phasic_interpeak_mean_sec,0.044506186262430435
PC7,eda_EDA_Phasic__number_peaks__n_5,0.7065048056418992
PC7,eda_phasic_dom_freq_hz,0.6942467480771116
PC7,eda_tonic_mad,0.11694366365972568
PC7,eda_phasic_peak_prom_mean,0.04726911291790976
PC7,eda_stress_skin_mad,0.031337794773514886
PC7,eda_stress_skin_median,0.02425956570402748
PC7,eda_tonic_median,0.0240692556525873
PC7,eda_phasic_interpeak_mean_sec,0.02367427480812078
PC8,eda_stress_skin_mad,0.717828912099474
PC8,eda_stress_skin_median,0.4947263335720007
PC8,eda_stress_skin_slope,0.32571693871949803
PC8,eda_phasic_interpeak_mean_sec,0.20903791948486297
PC8,eda_tonic_median,0.20421607767839464
PC8,eda_phasic_peak_prom_mean,0.13492028382466317
PC8,eda_phasic_mean,0.1192040184261219
PC8,eda_EDA_Phasic__number_peaks__n_5,0.0906031663319155
