,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
eda_cc_max,0.21896574318739606,-0.33067689655575017,0.5879720395236239,0.004148835756943532,-0.03593713124336612,-0.01742350665800675,0.4441842480992,-0.4400472491488292,0.2803208425638642,-0.16081791812499585
eda_cc_mean_abs_diff,-0.05719829262104593,0.0355584326873201,0.005105682546288579,0.24965259038033494,-0.8389865954211665,0.4416124726366855,-0.139258852719573,-0.05673830674912447,0.08905897198606676,-0.06039554634864679
eda_cc_slope,0.23987823776443856,-0.2460230022410548,0.588595101125346,0.07343910000978024,-0.07423363337275107,-0.1761706895090773,-0.4810960273009991,0.45489065650973576,-0.15718603353561209,0.17452944956991798
eda_cc_skew,-0.004438436151143477,0.03484793181849559,-0.13376622896568008,0.7903222262265941,-0.08489627447484464,-0.5748021859413529,0.13160867509216767,-0.027275102650467443,0.021764843435323113,0.010949122179776873
eda_cc_kurtosis,0.03977468463108372,0.12174420919061091,0.14946096416377236,0.542976745890393,0.5147665174764373,0.6222778814487241,-0.10209857335358477,-0.005633063275865857,0.05875403529710978,0.017657281869915744
eda_stress_skin_std,-0.5529489961756523,0.09909454021170802,0.2754214916019447,-0.0020986154005325965,-0.04174001740929779,0.008309858759195836,0.18984281153709823,-0.14097245875994247,-0.1373653989150222,0.7293642537577407
eda_stress_skin_min,-0.5119425812967793,0.06002017361033097,0.20275527201927845,-0.0016084615614361075,0.009131712043116684,0.0004427831503717587,0.29433102013777007,0.6058514476733873,0.3179298140511052,-0.371954846435913
eda_stress_skin_slope,-0.4294436902081669,0.22239806615986332,0.23791619931890215,-0.03097923659131994,0.08044854916962099,-0.20472870823426098,-0.5618170623539928,-0.45278399186603224,0.06528196859247443,-0.3677690617851483
eda_stress_skin_skew,0.19066150898061265,0.6242461082395153,0.2957772535404911,-0.018337139882226065,-0.0881987687785107,-0.00788281537454675,0.2824651463185836,0.026792911904709935,-0.5850947055308785,-0.2355061695251023
eda_stress_skin_kurtosis,0.31784834661020833,0.6002156169828399,0.080818536715207,-0.10736455135885813,-0.03210652500100698,-0.11817862039752831,-0.07754329893756083,0.052702911325973226,0.646768398405276,0.28028186242960257
