feature,reason,value
eda_scr_count,|corr|>=0.95,1.0000000000000002
eda_scl_mean,|corr|>=0.95,0.9999999999999878
eda_phasic_mean,|corr|>=0.95,0.9999989370406489
eda_scl_std,|corr|>=0.95,0.9999979974508669
eda_scl_max,|corr|>=0.95,0.9999946788115736
eda_scl_auc,|corr|>=0.95,0.9999946643826169
eda_phasic_std,|corr|>=0.95,0.9997434798459531
eda_scl_range,|corr|>=0.95,0.9979187544305811
eda_phasic_auc,|corr|>=0.95,0.9949124706036293
eda_phasic_max,|corr|>=0.95,0.9617097804939814
eda_scr_amp_sum,|corr|>=0.95,0.9508792013430896
