PC,feature,abs_loading
PC1,eda_scr_rate,0.5709363849610078
PC1,eda_scl_slope,0.5594717771968182
PC1,eda_phasic_energy,0.5574888689536424
PC1,eda_scl_min,0.22411857540301608
PC2,eda_scl_min,0.9591021835874239
PC2,eda_scl_slope,0.26375158753449474
PC2,eda_phasic_energy,0.10087893293930515
PC2,eda_scr_rate,0.01953311034872596
PC3,eda_phasic_energy,0.8008879551330674
PC3,eda_scr_rate,0.547865175331912
PC3,eda_scl_slope,0.2416158018066703
PC3,eda_scl_min,0.00663606047485777
PC4,eda_scl_slope,0.7476952821240666
PC4,eda_scr_rate,0.61114143337389
PC4,eda_phasic_energy,0.19392804130550273
PC4,eda_scl_min,0.17277102852773385
