,eda_scl_mean,eda_scl_std,eda_scl_min,eda_scl_max,eda_scl_range,eda_scl_slope,eda_scl_auc,eda_scr_count,eda_scr_rate,eda_scr_amp_sum,eda_phasic_mean,eda_phasic_std,eda_phasic_max,eda_phasic_auc,eda_phasic_energy
eda_scl_mean,0.0,0.6387825851394839,0.9999999406110891,0.9999999407189591,0.6387807962753363,0.05331534324823636,1.000000000000002,0.007895910350106457,0.007895910350106457,0.28233604035675325,0.638142948568773,0.638235021267729,0.6382623830096257,0.6381422788618903,0.574466787676622
eda_scl_std,0.6387825851394839,0.0,0.6385173844124193,0.6390474691503798,0.9999999992774724,0.5554893413209616,0.6387825858482505,0.5016636078210953,0.5016636078210953,0.7904945422242277,0.9999723994757589,0.9999885865225978,0.9999610973223974,0.9999710465113283,0.9539259409781213
eda_scl_min,0.9999999406110891,0.6385173844124193,0.0,0.9999997626602537,0.6385155950297805,0.053081716538237435,0.9999999406107688,0.008122935778945451,0.008122935778945451,0.282062677018397,0.6378775765714614,0.6379696698662304,0.637997052322762,0.6378769072516298,0.5742038144206171
eda_scl_max,0.9999999407189591,0.6390474691503798,0.9999997626602537,0.0,0.639045680791646,0.053548649009259104,0.9999999407192761,0.0076691885692905595,0.0076691885692905595,0.28260904780539325,0.6384080024047799,0.6385000574738895,0.6385273996167391,0.6384073322565174,0.5747294301989992
eda_scl_range,0.6387807962753363,0.9999999992774724,0.6385155950297805,0.639045680791646,0.0,0.5554911922290073,0.6387807969842049,0.5016663377528351,0.5016663377528351,0.7904958228083941,0.9999723205252434,0.9999884482441423,0.999960907515542,0.9999709675847931,0.9539257114346342
eda_scl_slope,0.05331534324823636,0.5554893413209616,0.053081716538237435,0.053548649009259104,0.5554911922290073,0.0,0.053315344685355794,0.8994780518614672,0.8994780518614672,0.9475158830281829,0.5575297835495535,0.5568096085892579,0.5566489684094896,0.5575431323286055,0.6862962488801111
eda_scl_auc,1.000000000000002,0.6387825858482505,0.9999999406107688,0.9999999407192761,0.6387807969842049,0.053315344685355794,0.0,0.007895908962717711,0.007895908962717711,0.28233604167516557,0.638142949288836,0.6382350219642525,0.6382623836973609,0.6381422795823872,0.5744667885673568
eda_scr_count,0.007895910350106457,0.5016636078210953,0.008122935778945451,0.0076691885692905595,0.5016663377528351,0.8994780518614672,0.007895908962717711,0.0,1.0,0.8580586795606909,0.5034734543714842,0.5027420079265396,0.5025750103280446,0.503486802399352,0.5466610420302832
eda_scr_rate,0.007895910350106457,0.5016636078210953,0.008122935778945451,0.0076691885692905595,0.5016663377528351,0.8994780518614672,0.007895908962717711,1.0,0.0,0.8580586795606909,0.5034734543714842,0.5027420079265396,0.5025750103280446,0.503486802399352,0.5466610420302832
eda_scr_amp_sum,0.28233604035675325,0.7904945422242277,0.282062677018397,0.28260904780539325,0.7904958228083941,0.9475158830281829,0.28233604167516557,0.8580586795606909,0.8580586795606909,0.0,0.7919745899599829,0.7914747757064873,0.7913629112851118,0.791983496704319,0.8674723102727563
eda_phasic_mean,0.638142948568773,0.9999723994757589,0.6378775765714614,0.6384080024047799,0.9999723205252434,0.5575297835495535,0.638142949288836,0.5034734543714842,0.5034734543714842,0.7919745899599829,0.0,0.9999597670884519,0.9999178848141078,0.9999999809561113,0.9544886862645878
eda_phasic_std,0.638235021267729,0.9999885865225978,0.6379696698662304,0.6385000574738895,0.9999884482441423,0.5568096085892579,0.6382350219642525,0.5027420079265396,0.5027420079265396,0.7914747757064873,0.9999597670884519,0.0,0.9999873900885535,0.99995805051349,0.9542415266924004
eda_phasic_max,0.6382623830096257,0.9999610973223974,0.637997052322762,0.6385273996167391,0.999960907515542,0.5566489684094896,0.6382623836973609,0.5025750103280446,0.5025750103280446,0.7913629112851118,0.9999178848141078,0.9999873900885535,0.0,0.9999156851323858,0.9541475832515366
eda_phasic_auc,0.6381422788618903,0.9999710465113283,0.6378769072516298,0.6384073322565174,0.9999709675847931,0.5575431323286055,0.6381422795823872,0.503486802399352,0.503486802399352,0.791983496704319,0.9999999809561113,0.99995805051349,0.9999156851323858,0.0,0.9544930103266054
eda_phasic_energy,0.574466787676622,0.9539259409781213,0.5742038144206171,0.5747294301989992,0.9539257114346342,0.6862962488801111,0.5744667885673568,0.5466610420302832,0.5466610420302832,0.8674723102727563,0.9544886862645878,0.9542415266924004,0.9541475832515366,0.9544930103266054,0.0
