feature,nan_ratio,variance
acc_x_dyn__smoothing_by_binomial_filter,1.0,
acc_y_dyn__moving_average,1.0,
acc_y_dyn__smoothing_by_binomial_filter,1.0,
acc_y_dyn__first_order_difference,1.0,
acc_x_dyn__moving_average,1.0,
acc_x_dyn__weighted_moving_average,1.0,
acc_x_dyn__first_order_difference,1.0,
acc_x_dyn__second_order_difference,1.0,
acc_y_dyn__weighted_moving_average,1.0,
acc_z_dyn__smoothing_by_binomial_filter,1.0,
acc_z_dyn__second_order_difference,1.0,
acc_z_dyn__moving_average,1.0,
acc_z_dyn__weighted_moving_average,1.0,
acc_z_dyn__first_order_difference,1.0,
acc_y_dyn__second_order_difference,1.0,
acc_z_dyn__log_return,0.7643736130724228,3.127296915608416
acc_x_dyn__log_return,0.7559007464192051,3.204199091530812
acc_y_dyn__log_return,0.7536816622957434,3.119292473455912
acc_y_dyn__geometric_mean,0.0008069396812588259,977.680014133958
acc_y_dyn__harmonic_mean,0.0008069396812588259,375.86660462404353
acc_z_dyn__geometric_mean,0.00040346984062941297,897.9733124858077
acc_x_dyn__geometric_mean,0.00040346984062941297,923.7544077800337
acc_x_dyn__harmonic_mean,0.00040346984062941297,334.4051817724656
acc_z_dyn__harmonic_mean,0.00040346984062941297,329.9344188473938
acc_z_dyn__trimmed_mean_0.25,0.0,196.15572131389413
acc_z_dyn__trimmed_mean_0.3,0.0,212.43972945673335
acc_z_dyn__mean_of_abs,0.0,1453.9804466722046
acc_z_dyn__trimmed_mean_0.2,0.0,174.7919933181838
acc_z_dyn__trimmed_mean_0.15,0.0,159.8001719417552
acc_z_dyn__trimmed_mean_0.1,0.0,145.56730514460133
acc_x_dyn__mean,0.0,106.0248334825584
acc_z_dyn__mean,0.0,136.5379397771329
acc_y_dyn__number_cwt_peaks_5,0.0,2.58550253991875
acc_y_dyn__number_cwt_peaks_1,0.0,1.2496268392337917
acc_y_dyn__benford_correlation,0.0,0.03490123020013125
acc_y_dyn__cid_ce,0.0,1.2090258317725804
acc_y_dyn__lempel_ziv_complexity,0.0,0.0011320094365469301
acc_y_dyn__large_std,0.0,0.0
acc_y_dyn__min_has_duplicates,0.0,0.0
acc_y_dyn__max_has_duplicates,0.0,0.0
acc_y_dyn__has_duplicates,0.0,0.0
acc_y_dyn__adf_usedlag,0.0,0.00040330705271711533
acc_y_dyn__adf_pvalue,0.0,0.0851622852055626
acc_y_dyn__adf_teststats,0.0,1.741477129211871
acc_z_dyn__geometric_mean_of_abs,0.0,698.7243151633144
acc_z_dyn__trimmed_mean_abs_0.3,0.0,1105.8751657369967
acc_z_dyn__harmonic_mean_of_abs,0.0,208.61954964232547
acc_z_dyn__max_of_abs,0.0,14121.846916675198
acc_z_dyn__quantile_0.75,0.0,1249.5881441133797
acc_z_dyn__quantile_0.7,0.0,831.3921499196955
acc_z_dyn__quantile_0.6,0.0,393.89338001874097
acc_z_dyn__quantile_0.4,0.0,389.94467859247766
acc_z_dyn__quantile_0.3,0.0,805.2068338275102
acc_z_dyn__quantile_0.25,0.0,1196.967398097326
acc_z_dyn__quantile_0.2,0.0,1834.4840100963554
acc_z_dyn__quantile_0.1,0.0,4187.018588720824
acc_z_dyn__iqr,0.0,4139.561749924957
