feature,reason,value
acc_x_dyn__moving_average,nan_ratio>0.1,1.0
acc_x_dyn__weighted_moving_average,nan_ratio>0.1,1.0
acc_x_dyn__first_order_difference,nan_ratio>0.1,1.0
acc_x_dyn__second_order_difference,nan_ratio>0.1,1.0
acc_x_dyn__smoothing_by_binomial_filter,nan_ratio>0.1,1.0
acc_y_dyn__moving_average,nan_ratio>0.1,1.0
acc_y_dyn__weighted_moving_average,nan_ratio>0.1,1.0
acc_y_dyn__first_order_difference,nan_ratio>0.1,1.0
acc_y_dyn__second_order_difference,nan_ratio>0.1,1.0
acc_y_dyn__smoothing_by_binomial_filter,nan_ratio>0.1,1.0
acc_z_dyn__moving_average,nan_ratio>0.1,1.0
acc_z_dyn__weighted_moving_average,nan_ratio>0.1,1.0
acc_z_dyn__first_order_difference,nan_ratio>0.1,1.0
acc_z_dyn__second_order_difference,nan_ratio>0.1,1.0
acc_z_dyn__smoothing_by_binomial_filter,nan_ratio>0.1,1.0
acc_z_dyn__log_return,nan_ratio>0.1,0.7643736130724228
acc_x_dyn__log_return,nan_ratio>0.1,0.7559007464192051
acc_y_dyn__log_return,nan_ratio>0.1,0.7536816622957434
acc_x_dyn__count,variance<=1e-08,0.0
acc_x_dyn__value_count_0,variance<=1e-08,0.0
acc_x_dyn__value_count_1,variance<=1e-08,0.0
acc_x_dyn__value_count_-1,variance<=1e-08,0.0
acc_x_dyn__percentage_of_reoccurring_datapoints_to_all_datapoints,variance<=1e-08,0.0
acc_x_dyn__percentage_of_reoccurring_values_to_all_values,variance<=1e-08,0.0
acc_x_dyn__ratio_beyond_r_sigma_6,variance<=1e-08,0.0
acc_x_dyn__ratio_beyond_r_sigma_7,variance<=1e-08,0.0
acc_x_dyn__ratio_beyond_r_sigma_10,variance<=1e-08,0.0
acc_x_dyn__ratio_value_number_to_sequence_length,variance<=1e-08,0.0
acc_x_dyn__sum_of_reoccurring_values,variance<=1e-08,0.0
acc_x_dyn__sum_of_reoccurring_data_points,variance<=1e-08,0.0
acc_x_dyn__has_duplicates,variance<=1e-08,0.0
acc_x_dyn__max_has_duplicates,variance<=1e-08,0.0
acc_x_dyn__min_has_duplicates,variance<=1e-08,0.0
acc_x_dyn__large_std,variance<=1e-08,0.0
acc_y_dyn__count,variance<=1e-08,0.0
acc_y_dyn__value_count_0,variance<=1e-08,0.0
acc_y_dyn__value_count_1,variance<=1e-08,0.0
acc_y_dyn__value_count_-1,variance<=1e-08,0.0
acc_y_dyn__percentage_of_reoccurring_datapoints_to_all_datapoints,variance<=1e-08,0.0
acc_y_dyn__percentage_of_reoccurring_values_to_all_values,variance<=1e-08,0.0
acc_y_dyn__ratio_beyond_r_sigma_6,variance<=1e-08,0.0
acc_y_dyn__ratio_beyond_r_sigma_7,variance<=1e-08,0.0
acc_y_dyn__ratio_beyond_r_sigma_10,variance<=1e-08,0.0
acc_y_dyn__ratio_value_number_to_sequence_length,variance<=1e-08,0.0
acc_y_dyn__sum_of_reoccurring_values,variance<=1e-08,0.0
acc_y_dyn__sum_of_reoccurring_data_points,variance<=1e-08,0.0
acc_y_dyn__has_duplicates,variance<=1e-08,0.0
acc_y_dyn__max_has_duplicates,variance<=1e-08,0.0
acc_y_dyn__min_has_duplicates,variance<=1e-08,0.0
acc_y_dyn__large_std,variance<=1e-08,0.0
acc_z_dyn__count,variance<=1e-08,0.0
acc_z_dyn__value_count_0,variance<=1e-08,0.0
acc_z_dyn__value_count_1,variance<=1e-08,0.0
acc_z_dyn__value_count_-1,variance<=1e-08,0.0
acc_z_dyn__percentage_of_reoccurring_datapoints_to_all_datapoints,variance<=1e-08,0.0
acc_z_dyn__percentage_of_reoccurring_values_to_all_values,variance<=1e-08,0.0
acc_z_dyn__ratio_beyond_r_sigma_6,variance<=1e-08,0.0
acc_z_dyn__ratio_beyond_r_sigma_7,variance<=1e-08,0.0
acc_z_dyn__ratio_beyond_r_sigma_10,variance<=1e-08,0.0
acc_z_dyn__ratio_value_number_to_sequence_length,variance<=1e-08,0.0
acc_z_dyn__sum_of_reoccurring_values,variance<=1e-08,0.0
acc_z_dyn__sum_of_reoccurring_data_points,variance<=1e-08,0.0
acc_z_dyn__has_duplicates,variance<=1e-08,0.0
acc_z_dyn__max_has_duplicates,variance<=1e-08,0.0
acc_z_dyn__min_has_duplicates,variance<=1e-08,0.0
acc_z_dyn__large_std,variance<=1e-08,0.0
