feature,reason,value
acc_y_dyn__count_below,|corr|>=0.95,1.0000000000000049
acc_y_dyn__count_above,|corr|>=0.95,1.000000000000004
acc_y_dyn__entropy,|corr|>=0.95,1.0000000000000036
acc_y_dyn__sum_of_absolute_changes,|corr|>=0.95,1.000000000000003
acc_z_dyn__count_above,|corr|>=0.95,1.0000000000000016
acc_z_dyn__count_below,|corr|>=0.95,1.0000000000000013
acc_x_dyn__tsallis_entropy,|corr|>=0.95,1.0000000000000004
acc_x_dyn__cumulative_sum,|corr|>=0.95,1.0000000000000002
acc_x_dyn__ratio_positive,|corr|>=0.95,1.0000000000000002
acc_y_dyn__mean,|corr|>=0.95,1.0000000000000002
acc_z_dyn__differential_entropy,|corr|>=0.95,1.0000000000000002
acc_z_dyn__min,|corr|>=0.95,1.0
acc_y_dyn__shape_factor,|corr|>=0.95,1.0
acc_x_dyn__rms_to_mean_of_abs,|corr|>=0.95,1.0
acc_y_dyn__last_location_of_minimum,|corr|>=0.95,1.0
acc_z_dyn__shape_factor,|corr|>=0.95,1.0
acc_x_dyn__first_location_of_minimum,|corr|>=0.95,1.0
acc_y_dyn__signal_resultant,|corr|>=0.95,1.0
acc_y_dyn__mode,|corr|>=0.95,1.0
acc_z_dyn__range,|corr|>=0.95,1.0
acc_z_dyn__total_sum,|corr|>=0.95,1.0
acc_z_dyn__first_location_of_minimum,|corr|>=0.95,1.0
acc_x_dyn__total_sum,|corr|>=0.95,1.0
acc_y_dyn__range,|corr|>=0.95,1.0
acc_z_dyn__avg_amplitude_change,|corr|>=0.95,1.0
acc_x_dyn__percentage_of_positive_values,|corr|>=0.95,1.0
acc_x_dyn__first_location_of_maximum,|corr|>=0.95,1.0
acc_x_dyn__avg_amplitude_change,|corr|>=0.95,1.0
acc_z_dyn__no._of_zero_crossings,|corr|>=0.95,1.0
acc_y_dyn__total_sum,|corr|>=0.95,1.0
acc_x_dyn__min,|corr|>=0.95,1.0
acc_x_dyn__zero_crossing_rate,|corr|>=0.95,1.0
acc_z_dyn__percentage_of_negative_values,|corr|>=0.95,1.0
acc_y_dyn__last_location_of_maximum,|corr|>=0.95,1.0
acc_y_dyn__mean_absolute_change,|corr|>=0.95,1.0
acc_y_dyn__no._of_zero_crossings,|corr|>=0.95,1.0
acc_z_dyn__rms,|corr|>=0.95,1.0
acc_z_dyn__last_location_of_maximum,|corr|>=0.95,1.0
acc_z_dyn__entropy,|corr|>=0.95,1.0
acc_y_dyn__percentage_of_negative_values,|corr|>=0.95,1.0
acc_z_dyn__cumulative_sum,|corr|>=0.95,1.0
acc_x_dyn__count_below,|corr|>=0.95,1.0
acc_x_dyn__range,|corr|>=0.95,1.0
acc_x_dyn__percentage_of_negative_values,|corr|>=0.95,0.9999999999999999
acc_y_dyn__differential_entropy,|corr|>=0.95,0.9999999999999998
acc_z_dyn__count_above_mean,|corr|>=0.95,0.9999999999999998
acc_x_dyn__signal_resultant,|corr|>=0.95,0.9999999999999998
acc_x_dyn__binned_entropy,|corr|>=0.95,0.9999999999999997
acc_y_dyn__ratio_negative,|corr|>=0.95,0.9999999999999996
acc_z_dyn__ratio_negative,|corr|>=0.95,0.9999999999999994
acc_x_dyn__count_below_mean,|corr|>=0.95,0.9999999999999994
acc_y_dyn__count_below_mean,|corr|>=0.95,0.9999999999999991
acc_x_dyn__sum_of_absolute_changes,|corr|>=0.95,0.9999999999999976
