,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
acc_x_dyn__first_location_of_minimum,-0.017873107975173157,0.0115276922660824,0.17163855435435327,0.5259283236324646,0.04866380700453295,0.03401416711861267,0.12005054239099663,0.10267396136515089,-0.017287526044096627,-0.03711287929701159,0.03876751613540042,0.03498322051604168,0.03989834240855044,-0.0003729880097084761,-0.08494718511256273,-0.04281087319903169,-0.008111573856965378,-0.21311679922692536,-0.04073342370227511,0.16864003444143255,-0.01227667880066037,-0.265170849229676,0.5720413225825453,-0.18098431150898925,0.322497541007638,-0.19763030016561975,-0.025373777062273298,-0.010172299967351126,-0.010883170518967282,-4.98069226899594e-05
acc_x_dyn__histogram_bin_frequencies_6,-0.12905362945927856,0.08241202970272514,0.22340798642453394,-0.1426951548887389,0.1478737322554734,-0.3112230560185182,0.3103194382023087,-0.08905826149490616,0.1982964300119761,0.08314907592153241,-0.13263086765950627,0.03424096229824393,0.1046851517775266,-0.16940892452911308,0.2394850335371779,-0.12527814322505465,-0.13323628541765953,-0.34669957038425303,-0.21816644769985985,-0.20709101606210684,-0.3720690946229117,-0.27213021566931017,-0.19242314603507865,-0.08487866714549847,0.04056252975181587,0.07679755134456781,-0.08474714750503601,0.0632184714533169,0.03993207337807698,0.01209194115436111
acc_x_dyn__histogram_bin_frequencies_7,-0.0161155952813956,0.1643654361603308,0.363294299886594,-0.08774759388401347,0.10568905875014994,-0.31056703285475123,-0.09140985320716379,0.013709843978996938,-0.08300053845603622,0.1013535845996367,-0.23091553428020653,-0.07389042072399762,0.04882611212050104,0.10962722272693849,0.05051889276372738,-0.2789838953073895,-0.27093538236267845,-0.1955260274344822,0.0892430399875402,0.268617755716824,0.46488406005035254,0.227456988544745,0.13478661163003136,0.07677650196572201,-0.24013180878853288,0.014231513622514139,0.031730061787281556,0.0576932234865529,0.015633029342455328,-0.005360729466497984
acc_x_dyn__min,0.39730962035187006,-0.12123845727519024,-0.03557044512965808,0.07540452046121594,0.12511518082654777,-0.0392004771308321,-0.23911023394932363,-0.11262065016019411,-0.029793928371379334,0.026845010943579682,0.030609823595741936,-0.0415955361991743,-0.10184287609795444,-0.10226064302118514,0.07628343486093857,0.10407336254174938,-0.03985313844339458,-0.03709209405517018,0.08070163092218526,0.07999280540850195,0.0023945888921128506,-0.10987637254327601,-0.05591341028395259,-0.040748863393485005,-0.01075434578409174,-0.026222448051584503,-0.4088682852234814,0.6334710961805753,0.21978093332769466,0.20343455463126625
acc_x_dyn__moment_order_4,-0.28168371070792947,0.264131046829938,-0.017666439286833816,-0.043564044661296424,-0.0649410154768564,0.04097316286505818,0.14003938285903023,0.04719758764750638,-0.001194894475215685,-0.028677644917719812,0.013565874136524337,0.10172112370139277,0.20737324335479343,0.09718710375550504,-0.1776380874531635,-0.23908410685075418,0.3959803645849767,0.07584325814262198,-0.28502227501218363,-0.18043864145238697,0.012923684835669129,0.318566966448953,0.1502754237323202,0.12237852713063158,-0.0007905443562638801,-0.07366126091029176,-0.28044381543038815,0.35966605040453803,-0.046263497176109065,0.19310337127621804
acc_x_dyn__stochastic_oscillator_value,-0.08153399299564953,0.09324593872853458,0.10888782905644803,-0.1279844833740933,0.22796489248510404,-0.2484045233046652,0.33943570199362455,-0.28683671572494523,0.07722855368349439,0.05715901989637818,-0.07207352147815013,-0.31964677852842843,-0.09418390571821626,-0.1786358903535224,0.06938942982478492,0.4213730988643346,0.22760598087586134,0.3888245739667869,0.11460731301351253,0.08027840009812505,0.12638438864701762,0.022094477625824862,0.21729227218936456,0.052355953608007856,0.1149932753110735,-0.04756321869718756,0.02408161579167096,0.020675845226437957,0.0029724048155707313,0.003972371684198023
acc_y_dyn__adf_teststats,-0.007513352269092981,-0.009847490900396967,-0.18162794377739394,-0.04151017349036738,0.12203325222343955,0.04377935935053315,0.3243318120810162,-0.16214531193053128,0.19834221751727696,-0.22099913996590875,0.6009800587966467,0.04740159395470375,-0.3549848737739364,-0.12447374095107587,0.12123466950216606,-0.3135576147800275,-0.09190100807636938,-0.12599342509556816,-0.018937555716820736,0.15758197352260836,0.2034704549645802,0.13562359306182534,-0.01690143756552842,-0.009903923186857252,-0.002035003271592945,0.01422243070483284,0.016469525392015294,0.021268207030671393,-0.0025053995603809965,0.009515707922169324
acc_y_dyn__area_under_squared_curve,-0.2621056075991775,0.36515155831379936,-0.09076691788274621,0.07436879531992603,0.21857640671173714,0.05078048400901022,-0.3236601372266206,-0.13769171206519648,0.023019552051940943,-0.0028598909927598413,0.048144436612137895,0.12131829285020695,-0.008170536240496715,-0.1417709146738037,-0.023895139652769633,0.02242019567018306,0.08920030697450404,-0.045331025060944524,-0.009949604139056536,0.009467721231659199,-0.02991347447312817,0.006352622925622497,-0.01714923420911601,0.0065884594331278275,0.01597912400938136,-0.04452041768552409,0.15706509219189008,0.02717086298072434,0.6195730483407517,-0.3851287982353335
acc_y_dyn__count_above_mean,0.021207630338947476,0.07907135454217536,-0.45151739801610535,0.1458459501479432,0.049578753293232226,-0.17270930858423644,0.10614545109114139,-0.009865364702076,-0.012223337240094058,0.008435980003705313,-0.11547174795148403,0.001005516456750079,0.044760413337110456,0.31276397176352233,0.2407122505447727,-0.01223928640665735,0.05225997144362308,-0.2103274226190575,0.34615844343110835,-0.025978684249034326,-0.1310212912243406,0.035236309644952474,0.19328413280859927,0.4241379049695958,0.10793141853933995,0.367412726616606,-0.03633872935996171,-0.011599627906048082,0.039753466943847515,0.015167066566234249
acc_y_dyn__histogram_bin_frequencies_2,-0.004815967472237325,0.06070542448759584,0.4831844205218075,-0.0811121303541771,-0.2645626808166439,0.06578711985747795,-0.14323685796151822,-0.08908687746193611,0.0792885899068889,-0.053254476120242665,0.11391599586171375,0.1248238048936654,-0.059849900950256524,0.026814012267969343,0.002651563826250287,0.05164171978789373,0.18820102642872122,-0.09266195088756962,0.141866474394828,0.17625406733101273,0.019365128641125686,0.09373885861293749,-0.21395812521841479,0.13232987652231237,0.5755244394659412,0.3294007081704789,-0.007782539863102198,0.014813355005712627,-0.007835984495850594,0.033043710542351265
acc_y_dyn__histogram_bin_frequencies_5,-0.08658512218146774,-0.18222770665235058,-0.3248963011938305,0.04283389373220233,0.18177524072710302,-0.04964378406417078,0.09498661909937053,0.10439038105395429,-0.3109146183094507,0.12164399349484259,-0.09486006271631059,-0.17466460914025822,0.2877561972794187,-0.35806918292517526,-0.14962793831148,-0.060008010850012825,-0.1439032998843737,-0.0820541328662981,-0.12481826809937843,0.1482349784516638,0.1531260386485371,0.23227882121783386,-0.23688431254797299,-0.07710333590183309,0.4404385464029198,0.0975770122549962,-0.006974558936594989,0.012029749091164142,-0.002105350900547095,-0.01842946669455687
acc_y_dyn__histogram_bin_frequencies_8,0.1394222598475658,0.2879275364779912,-0.17602215326331022,0.074121936270559,0.13118115551157392,-0.013234052673590044,-0.035554975670830026,0.01008430009625498,0.17634371698226273,0.027056472878871043,-0.24537818982509793,-0.05323102635671348,-0.22125050746540875,0.43851953511308833,0.13934373397491756,-0.17199593351302495,-0.054990371219569074,0.2782660982543958,-0.25081657239850663,-0.05622915331707694,0.21190898612015258,-0.12427514540246234,-0.20332871191554322,-0.30239363711003975,0.33571694761716864,0.010404369942034253,0.030826556681024186,0.013781757098740398,-0.06050329547809844,-0.005691713794602587
acc_y_dyn__last_location_of_maximum,-0.07767528272221813,-0.04787112975920663,0.1684532836920586,0.5322351555931821,0.06799271831905493,-0.039759312499166054,0.06602454896052906,-0.058354384336359075,-0.013386637185043388,0.05656379556562613,0.07186067377478396,-0.06367592119033444,-0.02761142128576413,0.015491147599042517,-0.023131998721845532,0.04830073503007322,0.023421994882708172,0.14683040780908185,-0.02844074066164721,-0.06371426537295286,-0.10846692251531735,0.27695686082641713,-0.09367178567309654,-0.34707680249903156,-0.29651977316413003,0.5623742242567425,-0.0013078868227482546,0.01282163839345487,0.020709496249592268,0.011019368817886907
acc_y_dyn__lin_trend_intercept,0.0029789839401245517,-0.05140584010650397,0.08874095348320998,-0.10047979846305341,0.3387971580097836,0.4921616608913953,0.14495029577150448,0.06427368075730655,-0.08770840522009928,0.03182127711025615,-0.11195984783896262,-0.040991482068818585,0.21859239938382463,0.04718397947573326,0.30601637896291595,-0.16738746409069624,0.43530846618253166,-0.09733541398822894,0.24616592161391382,0.21612338724625743,0.06792415304019343,-0.15235824050391,-0.126363931394658,-0.18175787380267083,-0.1354189150721287,0.017206253093087456,0.017157016052236556,-0.009306291691048716,-0.018405879180227513,0.013254840964377007
acc_y_dyn__mean_relative_change,-0.05149793346432892,-0.016941069376946442,0.026867600327839383,0.007354536258456511,0.10421374425167858,0.020935674198904533,-0.20151838224280472,0.07553686575617355,0.4765621573036816,-0.23629074562493446,0.28073621958748673,-0.47591999163842547,0.5212275399386146,0.20222794860814713,-0.01613177971154027,0.10239511914891662,-0.14797516914486009,-0.026360761519280237,0.014994621863513661,-0.00897587179527032,0.010823683099731226,0.019646667693525556,-0.036902103553523774,0.013417308449193645,0.021023317689072802,-0.028977848428395455,-0.026219456567747372,0.00890996382218936,-0.007496577037701574,0.006880869626511026
acc_y_dyn__moment_order_3,0.1838347139432721,-0.3495576946774887,0.11840207785854859,-0.08998394208319714,-0.27135843992183645,-0.02978573991897418,0.3979275089254799,0.18502695430457958,-0.03176875487122317,-0.03720345898153701,-0.022221931647600324,-0.11369714394623193,0.0654494139136168,0.23251695826981109,-0.02329234395973166,-0.13426220333590697,0.02762910368076389,0.1377007356718447,-0.048908109082825266,-0.056882491732563975,0.047788736721579204,0.015193416611558059,0.03014768701253167,0.009083432822779692,0.03410875215279417,0.02065704056613591,-0.010134580294770611,0.12807901585264256,0.4853946973600419,-0.4236741578985161
acc_y_dyn__renyi_entropy,-0.35380368712638066,-0.3247928231562044,-0.018997183087952618,0.003953649250336124,-0.0031278323069420214,-0.043413956310162184,-0.12429565820741431,-0.0951832624149784,-0.02624277440059746,-0.004112317814031828,-0.01735937354248558,-0.009126507714065446,-0.06906378706266146,0.11932507311899225,0.09819407693993659,-0.04410251774813178,-0.004552792350318626,0.012988259910578214,0.00540705196256478,-0.00561646181837091,-0.05440072531862115,-0.06671835765368846,0.033237223850113864,0.00010375452982083165,0.04309507434789525,-0.02466540502228464,0.5699540518434686,0.5612198748416299,-0.23000079028131995,-0.0831841318116291
acc_y_dyn__spectral_coefficient_of_variation,-0.0004972915270963655,0.011156930620829418,-0.016510043529943307,-0.02302162195175905,-0.01728342714400073,0.0007918357729788802,-0.023110037718592318,0.10881510164898205,0.128770783270747,0.8989673062251988,0.3574587899224682,-0.0782637796995636,-0.02290319572133368,0.11517662093598878,-0.05178521645486189,-0.013938251247959164,0.06295140901986535,-0.036303797707544494,0.015356607664352342,0.007384684825188205,0.0015617339723609082,-0.041036762971357534,0.0030147838259267914,0.032278395975313866,0.013225861629576409,-0.046659071913108516,0.019296875088948225,-0.005427760963452524,-0.0006161833939956433,-0.0065861758685683966
acc_y_dyn__total_sum,0.03559546773077376,-0.06771000606752739,0.22795179094786244,-0.04471122998786987,0.3429874630440799,0.4974119284275254,0.017710378465435907,-0.05033424540255455,-0.052837372585239545,0.092061594495823,-0.03378738599157713,0.05276102456338453,-0.039178353107318896,0.00405063190563209,0.1574143195243645,0.004074015953606982,-0.4327458861723005,0.17985183699974067,-0.14687355713364456,-0.2719811292385236,-0.08206245762319386,0.18402123901263387,0.22022542539750734,0.31455517792415144,0.13345445004800874,0.09066572459331383,-0.03313358118331634,0.012155676440496317,0.0071000569423910476,-0.014540885158181052
acc_y_dyn__tsallis_entropy,-0.2457551307755205,-0.28948834647342037,0.011893394032622857,0.011053465763453164,0.03566004491796265,-0.11480161740052937,-0.16216493617081162,-0.15622721415873272,-0.04522249387375701,0.025322769129950427,-0.044872595824740534,-0.05128978931835875,-0.12448917589647425,0.2323851499772831,0.23611647662969226,-0.10977960351432045,0.006239756451716856,0.10647470796897161,-0.06983972954533665,0.3774996198949759,-0.41051052016083833,0.30236940072839524,-0.019897469820999374,-0.05113641968253119,0.05739278691776519,-0.29935633694033315,-0.28783707723794144,-0.2090856510215063,0.06677443550650712,0.009901960519969067
acc_z_dyn__cumulative_sum,-0.03483172201836677,-0.03862765480087888,0.061787732754551246,-0.11006377975942468,0.3006893876550941,0.020724039783346384,0.009159641968630875,0.49958115198010256,0.09609602219556024,-0.09230167201663267,-0.1150715025954853,-0.2141267858342971,-0.47671650443428576,0.09645683416811902,-0.259067343314241,0.22226201093458656,0.1362326045469087,-0.351656558717095,-0.008307907022597795,-0.06103519157599894,-0.11419532570624222,0.2161374825667902,-0.03536572612021617,-0.011179812587285442,0.013337995409747004,-0.017851700177034833,0.03183617182242033,0.034439365721150854,0.028685159470084237,0.016209515414266285
acc_z_dyn__exponential_moving_average,-0.015375846669450565,-0.0065096641405428335,-0.007956586336166267,-0.007839892443916363,-0.08094230849287154,-0.16706083144013448,-0.20876044316076262,0.5883263492407534,0.1525813324734917,-0.024504511360873404,0.03942955351017324,0.0524965625899043,-0.02602397268415244,-0.38530863750031985,0.503687969313454,-0.11748750068408288,0.08981926654775678,0.2850281349815049,-0.019240874751090507,-0.01635125104062738,0.015105583557677832,0.04430856727586028,0.16952053507104858,0.0005257058842240797,0.039120696781773934,0.0866256382751104,0.0152376897380704,-0.0021651319675455635,0.004189235327297343,0.020634162671918817
