PC,feature,abs_loading
PC1,acc_x_dyn__min,0.39730962035187006
PC1,acc_z_dyn__range_of_abs,0.3846478945704755
PC1,acc_z_dyn__var_of_abs,0.36040269887863924
PC1,acc_y_dyn__renyi_entropy,0.35380368712638066
PC1,acc_x_dyn__moment_order_4,0.28168371070792947
PC1,acc_y_dyn__area_under_squared_curve,0.2621056075991775
PC1,acc_z_dyn__longest_strike_above_mean,0.2554423833668429
PC1,acc_y_dyn__tsallis_entropy,0.2457551307755205
PC2,acc_y_dyn__area_under_squared_curve,0.36515155831379936
PC2,acc_y_dyn__moment_order_3,0.3495576946774887
PC2,acc_y_dyn__renyi_entropy,0.3247928231562044
PC2,acc_z_dyn__fisher_information,0.29387833931290047
PC2,acc_y_dyn__tsallis_entropy,0.28948834647342037
PC2,acc_y_dyn__histogram_bin_frequencies_8,0.2879275364779912
PC2,acc_z_dyn__longest_strike_above_mean,0.27236787195768164
PC2,acc_x_dyn__moment_order_4,0.264131046829938
PC3,acc_y_dyn__histogram_bin_frequencies_2,0.4831844205218075
PC3,acc_y_dyn__count_above_mean,0.45151739801610535
PC3,acc_x_dyn__histogram_bin_frequencies_7,0.363294299886594
PC3,acc_y_dyn__histogram_bin_frequencies_5,0.3248963011938305
PC3,acc_y_dyn__total_sum,0.22795179094786244
PC3,acc_x_dyn__histogram_bin_frequencies_6,0.22340798642453394
PC3,acc_y_dyn__adf_teststats,0.18162794377739394
PC3,acc_y_dyn__histogram_bin_frequencies_8,0.17602215326331022
PC4,acc_z_dyn__first_location_of_maximum,0.5345627881406877
PC4,acc_y_dyn__last_location_of_maximum,0.5322351555931821
PC4,acc_x_dyn__first_location_of_minimum,0.5259283236324646
PC4,acc_y_dyn__count_above_mean,0.1458459501479432
PC4,acc_x_dyn__histogram_bin_frequencies_6,0.1426951548887389
PC4,acc_z_dyn__histogram_bin_frequencies_1,0.12944685022808114
PC4,acc_x_dyn__stochastic_oscillator_value,0.1279844833740933
PC4,acc_z_dyn__cumulative_sum,0.11006377975942468
PC5,acc_y_dyn__total_sum,0.3429874630440799
PC5,acc_y_dyn__lin_trend_intercept,0.3387971580097836
PC5,acc_z_dyn__histogram_bin_frequencies_3,0.306259884447317
PC5,acc_z_dyn__cumulative_sum,0.3006893876550941
PC5,acc_y_dyn__moment_order_3,0.27135843992183645
PC5,acc_y_dyn__histogram_bin_frequencies_2,0.2645626808166439
PC5,acc_z_dyn__histogram_bin_frequencies_1,0.2546798493029879
PC5,acc_x_dyn__stochastic_oscillator_value,0.22796489248510404
PC6,acc_y_dyn__total_sum,0.4974119284275254
PC6,acc_y_dyn__lin_trend_intercept,0.4921616608913953
PC6,acc_x_dyn__histogram_bin_frequencies_6,0.3112230560185182
PC6,acc_x_dyn__histogram_bin_frequencies_7,0.31056703285475123
PC6,acc_x_dyn__stochastic_oscillator_value,0.2484045233046652
PC6,acc_z_dyn__histogram_bin_frequencies_1,0.23484002037012278
PC6,acc_z_dyn__histogram_bin_frequencies_3,0.22490615658442423
PC6,acc_y_dyn__count_above_mean,0.17270930858423644
PC7,acc_y_dyn__moment_order_3,0.3979275089254799
PC7,acc_x_dyn__stochastic_oscillator_value,0.33943570199362455
PC7,acc_y_dyn__adf_teststats,0.3243318120810162
PC7,acc_y_dyn__area_under_squared_curve,0.3236601372266206
PC7,acc_x_dyn__histogram_bin_frequencies_6,0.3103194382023087
PC7,acc_x_dyn__min,0.23911023394932363
PC7,acc_z_dyn__exponential_moving_average,0.20876044316076262
PC7,acc_y_dyn__mean_relative_change,0.20151838224280472
PC8,acc_z_dyn__exponential_moving_average,0.5883263492407534
PC8,acc_z_dyn__cumulative_sum,0.49958115198010256
PC8,acc_x_dyn__stochastic_oscillator_value,0.28683671572494523
PC8,acc_z_dyn__histogram_bin_frequencies_3,0.1929196638279306
PC8,acc_y_dyn__moment_order_3,0.18502695430457958
PC8,acc_y_dyn__adf_teststats,0.16214531193053128
PC8,acc_z_dyn__range_of_abs,0.15833940679620156
PC8,acc_y_dyn__tsallis_entropy,0.15622721415873272
