PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.14504816316885108,0.14504816316885108
PC2,0.08708483324886578,0.23213299641771684
PC3,0.07246670299138437,0.3045996994091012
PC4,0.06790971814195515,0.3725094175510564
PC5,0.047550790536157676,0.42006020808721406
PC6,0.04537604679680972,0.4654362548840238
PC7,0.042794831350993705,0.5082310862350174
PC8,0.040953361136186264,0.5491844473712038
PC9,0.03635389429019773,0.5855383416614015
PC10,0.03347943905909496,0.6190177807204965
PC11,0.032767218023653684,0.6517849987441502
PC12,0.03198176572609856,0.6837667644702488
PC13,0.030614964247864807,0.7143817287181136
PC14,0.02950382067772544,0.743885549395839
PC15,0.028550642370613565,0.7724361917664525
PC16,0.025572942618109076,0.7980091343845616
PC17,0.02415063104195353,0.8221597654265151
PC18,0.02248385821922959,0.8446436236457447
PC19,0.022349477482829994,0.8669931011285748
PC20,0.020331735707528747,0.8873248368361035
PC21,0.01914150500103364,0.9064663418371371
PC22,0.018246958325964423,0.9247133001631016
PC23,0.016081735759081794,0.9407950359221834
PC24,0.015238627540707017,0.9560336634628904
PC25,0.014067132202998612,0.970100795665889
PC26,0.013882183506933588,0.9839829791728226
PC27,0.00691197548907886,0.9908949546619015
PC28,0.004115090005789447,0.9950100446676909
PC29,0.0031222037264327725,0.9981322483941237
PC30,0.0018677516058763883,1.0000000000000002
