feature,pca_energy_score
acc_x_dyn__local_minima,0.04419857799742707
acc_z_dyn__approximate_entropy_0.3,0.043867830612466234
acc_z_dyn__quantile_0.6,0.0436834164183628
acc_x_dyn__higuchi_fractal_dimensions_k=5,0.04351058029932049
acc_x_dyn__local_maxima,0.0434007188217029
acc_y_dyn__approximate_entropy_0.3,0.04330059100302863
acc_x_dyn__higuchi_fractal_dimensions_k=10,0.043144267005196316
acc_z_dyn__lower_complete_moment,0.04269228943875036
acc_z_dyn__sample_entropy,0.04256742877722737
acc_z_dyn__hjorth_mobility,0.04247109091334569
acc_x_dyn__lower_complete_moment,0.04241808346020899
acc_z_dyn__var_of_abs,0.04229574579762613
acc_z_dyn__higuchi_fractal_dimensions_k=20,0.04224663974964668
acc_z_dyn__harmonic_mean_of_abs,0.04218724792716852
acc_x_dyn__longest_strike_above_mean,0.04218492456591631
acc_z_dyn__local_maxima,0.04211517861952301
acc_x_dyn__quantile_0.7,0.04209258638427303
acc_y_dyn__sample_entropy,0.04208635337984461
acc_z_dyn__local_minima,0.042001988028381135
acc_x_dyn__higuchi_fractal_dimensions_k=20,0.04191088016330008
acc_z_dyn__variance_of_absolute_differences,0.04185986237417976
acc_z_dyn__permutation_entropy,0.04183741269658722
acc_x_dyn__hjorth_mobility,0.041779865248464707
acc_x_dyn__permutation_entropy,0.0417695015450725
acc_x_dyn__approximate_entropy_0.3,0.04164004838640397
acc_z_dyn__max,0.04163368268837156
acc_y_dyn__harmonic_mean_of_abs,0.04161919740481331
acc_y_dyn__higuchi_fractal_dimensions_k=10,0.04158684329054408
acc_z_dyn__svd_entropy,0.04158173458261983
acc_x_dyn__mean_of_auto_corr_lags,0.04158122871924489
acc_z_dyn__approximate_entropy_0.5,0.04154750676931874
acc_z_dyn__quantile_0.7,0.04141284199909863
acc_y_dyn__local_minima,0.041318349909207595
acc_y_dyn__higuchi_fractal_dimensions_k=20,0.041315475787919186
acc_y_dyn__approximate_entropy_0.2,0.04124697121935971
acc_z_dyn__no._of_mean_crossings,0.041240384835204646
acc_z_dyn__quantile_0.3,0.04123311967663887
acc_x_dyn__sample_entropy,0.041176350216992195
acc_x_dyn__quantile_0.4,0.041159534597353976
