,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
acc_x_dyn__local_minima,0.21451295841412485,0.06056573124292459,0.1369202388873885,0.33962436827682174,0.16982848679321255,-0.09295914731036417,-0.11818652642865109,-0.020807710741196774,0.21144741442243842,0.08432115372610086,0.01806782153790543,0.04381537695560213,-0.037917160936974406,-0.0043976948673945405,-0.3104881803908656,0.15640601891506115,-0.13118238107875937,0.21322289766924016,0.017805139137560738,0.05209643122908736,-0.004633036059519288,-0.053587414944016976,0.14370840221570647,0.6937365848725582,-0.03614256077349164,-0.12213960555637367,-0.009231416334611794,0.031627822729149054,0.010448921318683165,0.0035048422555972797
acc_z_dyn__approximate_entropy_0.3,0.18422016253267137,0.041286601743815265,-0.08079435084641974,-0.30106511610397774,0.23809152331025848,-0.3439686743885043,-0.04077216515627252,0.13571127753339335,0.0807355498018382,-0.20741401948649332,-0.13180935543493016,0.0916729220921726,-0.39277251492113463,0.035900201252779304,0.019401902132075502,0.06295414367349711,-0.22816181962782942,-0.13530904212849193,-0.03011075976538142,-0.42277606890717884,-0.13743505761019828,-0.36473037826819626,-0.051483757883008595,-0.02801618777916126,-0.05365343208066241,-0.011097617741106049,0.05920848942906888,0.054559787066131696,0.10824027296319287,-0.1016284640853937
acc_z_dyn__quantile_0.6,-0.07540672105839967,0.2443784776630998,-0.029420537438172863,0.028998932705086033,0.15672073366477077,-0.19396174453000828,0.2630816425332201,0.388036690078749,-0.30362062205273993,0.5368545897990937,-0.26291196054953775,-0.12895460960008595,0.0710329304149699,-0.13437241068831796,-0.14818092475887787,-0.12499628108818601,-0.19786651095069013,-0.09071683774143079,-0.20284629380743147,0.11537069199733638,-0.001561973578098553,-0.025988420389251494,0.026022665748726085,-0.01368050871198753,0.03219217383999396,0.0785906719426047,0.0176811798345731,0.008542553894660703,0.06955497276884447,0.0909378642047159
acc_x_dyn__higuchi_fractal_dimensions_k=5,0.2330789293199694,0.07121286298148773,0.10874581239741615,0.31713944189219917,0.03663352822061507,0.0369938659094286,-0.12296715244678338,0.1334604469064895,-0.2521421534757192,-0.17113053092180236,0.11103407188411996,0.024457011775767142,-0.019613734747528214,0.045575757984431725,-0.03354792579526567,-0.19600040444374742,-0.031130616589462423,0.07600750709040267,0.0034081016214853065,-0.012820756686679126,-0.0012125979268081586,-0.1295339429637367,-0.5146928417934565,-0.06110877868486918,0.4471015395562083,0.014260232095211297,-0.35396577963966247,-0.12014319104520944,0.11020742439740665,-0.021081947093358065
acc_x_dyn__local_maxima,0.21058256306178913,0.06377820147092217,0.1427249790959352,0.34301591811285015,0.1806689389880493,-0.08135713689761451,-0.12274199335097685,-0.04504144568538357,0.2008111121630611,0.10352165659585888,0.006624503494167789,0.05269649667746789,-0.036728277025997125,-0.03652005173296575,-0.30441504857674123,0.1434265655390242,-0.1290673488782948,0.15311732345312118,0.1594450595943301,-0.068064077694035,0.024465265963291096,0.1562413953907221,0.1473186652924545,-0.6653867488616378,-0.10764257383527627,0.11362598646046489,0.052018038322027255,-0.0034294971510155673,-0.024088151408108098,-0.003277281239617774
acc_y_dyn__approximate_entropy_0.3,0.14620066937887347,0.010937565067664155,-0.3213842537351004,-0.14295969324350494,0.39457681646080234,0.2166164287943733,0.013226164470134142,-0.11841639208366998,0.049289920231195064,0.07249507091208136,0.05953693243716601,0.03368914475720083,0.1444232437378057,0.3111198352427963,-0.19037383194920296,-0.26462380813590375,0.06091221397812179,-0.04933537437636819,-0.05394728399403785,-0.05959802078558235,-0.5388232377907662,0.3060768801852915,-0.01909915692477803,0.03361527062318735,0.05339014845209121,-0.0014243506116372211,0.0037617797051184153,0.0070018501464028165,0.025539821636254782,0.0006932344314956138
acc_x_dyn__higuchi_fractal_dimensions_k=10,0.2551726505878743,0.10096919388598642,0.008284033591413713,0.24352256790575189,-0.06751030461552442,0.016757828928737846,-0.09211900143448465,0.09983567305907534,-0.33658325913636467,-0.1825903321272861,0.06408512559361827,-0.01971608944355869,-0.02273851019295371,0.05803525572772846,0.12959712856508473,-0.2272354347924354,0.065904060782823,-0.03697022590432897,-0.05335351449172964,-0.004171410232977674,-0.040033825176849266,-0.023914724263681113,0.09866811584543378,-0.002220608869882893,-0.16758428822632312,-0.023402586263153245,0.2776898379777325,0.6492460586004383,-0.2519774390404738,0.08569197017562423
acc_z_dyn__lower_complete_moment,-0.08554669644272174,0.3561908232419357,-0.0026434171540791825,0.020611046195426676,0.02769214583091541,0.085904701765359,0.2270683641452222,0.3345327050841292,0.10176273145138695,0.02399645615312128,0.041175760205182016,-0.2375375653944961,-0.10345003860953408,0.13812070112716204,0.02609645110894698,0.11333262173645413,0.3868274427253533,0.22489247689583253,0.24318350585471635,-0.13977016608712692,-0.06661375195536492,-0.03266440012116682,-0.05308828978829294,0.017615543250253936,-0.05578524879351787,-0.024268560314520474,-0.05807198989394551,-0.039513540545542576,-0.3106107740307999,-0.4344779804900037
acc_z_dyn__sample_entropy,0.2235511122650113,0.02232750056146216,-0.00942929784089884,-0.2770248436489733,0.17066445976262423,-0.23037451480964466,-0.10788848551088012,0.21960097859866817,0.020891344417754747,-0.15548770833897801,-0.01996488322207312,0.07998798085112627,-0.36691752627819296,-0.01671717091532418,0.07306305922844243,-0.019854953747690855,0.10817933172928455,0.019902942640623138,0.030347969477744523,0.5431292696399261,0.18054397670963027,0.4463399058920734,-0.0009282364621947594,0.021328151996655498,0.023528313099999667,0.011754023127300174,-0.07738984834841293,-0.04972735430082751,-0.08912488919537129,0.03469916155754268
acc_z_dyn__hjorth_mobility,0.2515235599199411,0.04647360168378796,0.12976918987353742,-0.2347032494048651,-0.19157982948584415,0.03908291280394213,-0.18780839915940814,0.16112617290154851,0.07312837582422717,0.17777725713437864,0.09483575279456241,0.07162757412875845,0.2602858085949067,-0.011392974647030771,-0.020386991557600664,-0.020849166769215555,0.09837854988342194,0.06898105680160002,-0.013601592527234349,0.06915265306145627,0.03066064286504797,0.022046757273923676,-0.17439688202484746,-0.013146784994162403,-0.31001279274544674,-0.014480295496687593,-0.003338703380329229,0.20746079648402405,0.5710737112452878,-0.3556260034467968
