PC,feature,abs_loading
PC1,acc_x_dyn__svd_entropy,0.11919370988625665
PC1,acc_z_dyn__svd_entropy,0.11752226282962945
PC1,acc_y_dyn__renyi_entropy,0.11660697368332953
PC1,acc_y_dyn__svd_entropy,0.11530814664260057
PC1,acc_x_dyn__local_maxima,0.11148594363169494
PC1,acc_x_dyn__higuchi_fractal_dimensions_k=20,0.11045371144205378
PC1,acc_y_dyn__number_of_inflection_points,0.11033901180928776
PC1,acc_z_dyn__number_of_inflection_points,0.10996144695239353
PC2,acc_z_dyn__binned_entropy,0.13732165209820646
PC2,acc_z_dyn__ratio_beyond_r_sigma_0.5,0.1342597990295225
PC2,acc_z_dyn__shape_factor,0.13424255503924645
PC2,acc_x_dyn__shape_factor,0.13399871291289148
PC2,acc_x_dyn__differential_entropy,0.13396446750973023
PC2,acc_x_dyn__ratio_beyond_r_sigma_0.5,0.13237703155367775
PC2,acc_y_dyn__rms_to_mean_of_abs,0.1323691130393672
PC2,acc_y_dyn__ratio_beyond_r_sigma_0.5,0.1317069821725832
PC3,acc_z_dyn__range_of_abs,0.15210741096830876
PC3,acc_y_dyn__range_of_abs,0.1507091048249478
PC3,acc_x_dyn__min,0.15043998435049866
PC3,acc_x_dyn__range_of_abs,0.15012732207907456
PC3,acc_z_dyn__var_of_abs,0.14952162008479103
PC3,acc_x_dyn__var_of_abs,0.14800874605733388
PC3,acc_y_dyn__min,0.14540582600752744
PC3,acc_z_dyn__min,0.14431162924982893
PC4,acc_y_dyn__energy_ratio_by_chunks_0,0.22639567408138772
PC4,acc_x_dyn__energy_ratio_by_chunks_0,0.22528246964604612
PC4,acc_z_dyn__energy_ratio_by_chunks_0,0.22312038809330315
PC4,acc_x_dyn__energy_ratio_by_chunks_3,0.2190850735180203
PC4,acc_y_dyn__energy_ratio_by_chunks_3,0.21257554479755958
PC4,acc_z_dyn__energy_ratio_by_chunks_3,0.20906363806973635
PC4,acc_y_dyn__last_location_of_maximum,0.20454381109566191
PC4,acc_x_dyn__first_location_of_minimum,0.1994599521524996
PC5,acc_z_dyn__skewness,0.24661789833632122
PC5,acc_x_dyn__skewness,0.2326475232319053
PC5,acc_z_dyn__histogram_bin_frequencies_2,0.19731622715095815
PC5,acc_x_dyn__histogram_bin_frequencies_3,0.17764914657129383
PC5,acc_z_dyn__count_above_mean,0.17678676330260432
PC5,acc_x_dyn__histogram_bin_frequencies_7,0.17354281249585957
PC5,acc_z_dyn__histogram_bin_frequencies_6,0.16467730265266972
PC5,acc_z_dyn__histogram_bin_frequencies_7,0.1625334047897077
PC6,acc_x_dyn__energy_ratio_by_chunks_3,0.16558125641072477
PC6,acc_y_dyn__energy_ratio_by_chunks_3,0.1640770586993222
PC6,acc_z_dyn__energy_ratio_by_chunks_3,0.1588119765307792
PC6,acc_y_dyn__ratio_beyond_r_sigma_5,0.15554146829662782
PC6,acc_y_dyn__ratio_beyond_r_sigma_2,0.15355728613144323
PC6,acc_x_dyn__ratio_beyond_r_sigma_2,0.15232757368847283
PC6,acc_y_dyn__ratio_beyond_r_sigma_6,0.14769536538465824
PC6,acc_x_dyn__ratio_beyond_r_sigma_6,0.14330511443706537
PC7,acc_y_dyn__trimmed_mean_0.1,0.2887878711273836
PC7,acc_y_dyn__moment_order_3,0.28578359427036526
PC7,acc_y_dyn__median,0.26624723127074723
PC7,acc_y_dyn__area_under_squared_curve,0.21764130412553256
PC7,acc_y_dyn__median_second_derivative_central,0.2131318248298185
PC7,acc_x_dyn__median,0.2119120630569421
PC7,acc_x_dyn__median_second_derivative_central,0.2104132666029682
PC7,acc_x_dyn__trimmed_mean_0.1,0.16974369004757006
PC8,acc_y_dyn__autoregressive_model_coefficients_3,0.23935950066675454
PC8,acc_y_dyn__autoregressive_model_coefficients_2,0.23007119127686934
PC8,acc_y_dyn__autoregressive_model_coefficients_4,0.22374074124887694
PC8,acc_y_dyn__autoregressive_model_coefficients_1,0.19204334390362685
PC8,acc_x_dyn__winsorized_mean,0.16243658820281714
PC8,acc_x_dyn__autoregressive_model_coefficients_4,0.1558288915928881
PC8,acc_x_dyn__histogram_bin_frequencies_2,0.1547090596134117
PC8,acc_x_dyn__trimmed_mean_0.1,0.1504698234592653
