PC,feature,abs_loading
PC1,acc_y_dyn__renyi_entropy,0.13007410262229938
PC1,acc_x_dyn__renyi_entropy,0.12734117621975216
PC1,acc_x_dyn__quantile_0.9,0.12543747568185787
PC1,acc_z_dyn__renyi_entropy,0.12483011036728991
PC1,acc_x_dyn__peak_to_peak_distance,0.1239111154834889
PC1,acc_x_dyn__geometric_mean,0.12385138626059208
PC1,acc_x_dyn__quantile_0.1,0.1220178283199114
PC1,acc_x_dyn__mean_abs_deviation,0.12100823703831856
PC2,acc_x_dyn__approximate_entropy_0.9,0.13410036814274937
PC2,acc_x_dyn__approximate_entropy_0.7,0.1322389821663567
PC2,acc_x_dyn__svd_entropy,0.13123916832055024
PC2,acc_x_dyn__hjorth_mobility,0.12517183095880086
PC2,acc_x_dyn__approximate_entropy_0.5,0.12486840690657262
PC2,acc_x_dyn__katz_fractal_dimension,0.12251954641678243
PC2,acc_x_dyn__no._of_mean_crossings,0.12059263512016212
PC2,acc_x_dyn__no._of_zero_crossings,0.11858765484609544
PC3,acc_z_dyn__kurtosis,0.16951941618313593
PC3,acc_z_dyn__clearance_factor,0.16942383862661484
PC3,acc_z_dyn__binned_entropy,0.1682714756826336
PC3,acc_z_dyn__crest_factor,0.16505520729754958
PC3,acc_z_dyn__rms_to_mean_of_abs,0.16386239723454749
PC3,acc_z_dyn__skewness_of_abs,0.1625483012433048
PC3,acc_y_dyn__clearance_factor,0.16172573436450824
PC3,acc_x_dyn__differential_entropy,0.16045939841370188
PC4,acc_y_dyn__longest_strike_above_mean,0.15093789957287185
PC4,acc_y_dyn__mean_of_auto_corr_lags,0.14810705101832097
PC4,acc_z_dyn__higuchi_fractal_dimensions_k=5,0.13011317804573083
PC4,acc_x_dyn__skewness,0.12853103514219638
PC4,acc_z_dyn__local_maxima,0.12552385952287456
PC4,acc_z_dyn__higuchi_fractal_dimensions_k=10,0.12530229664845804
PC4,acc_y_dyn__svd_entropy,0.12254769916124195
PC4,acc_x_dyn__count_above_mean,0.12238450779919607
PC5,acc_x_dyn__skewness,0.16016630308926494
PC5,acc_x_dyn__trimmed_mean_0.25,0.15970232490127428
PC5,acc_x_dyn__median,0.15503364674455078
PC5,acc_x_dyn__count_above_mean,0.14904984959210682
PC5,acc_x_dyn__count_above,0.14814490956965387
PC5,acc_x_dyn__histogram_bin_frequencies_1,0.13089405655459338
PC5,acc_x_dyn__histogram_bin_frequencies_2,0.1262057413429986
PC5,acc_x_dyn__quantile_0.4,0.12611756655296683
PC6,acc_y_dyn__autoregressive_model_coefficients_3,0.19920073063823504
PC6,acc_y_dyn__energy_ratio_by_chunks_0,0.19215684916075274
PC6,acc_y_dyn__autoregressive_model_coefficients_4,0.191696738965486
PC6,acc_x_dyn__autoregressive_model_coefficients_3,0.19089764898198724
PC6,acc_y_dyn__autoregressive_model_coefficients_2,0.18604900897798785
PC6,acc_x_dyn__energy_ratio_by_chunks_0,0.18419062473501693
PC6,acc_x_dyn__autoregressive_model_coefficients_4,0.18404069479658056
PC6,acc_z_dyn__autoregressive_model_coefficients_4,0.17989601341399286
PC7,acc_y_dyn__trimmed_mean_0.25,0.21959473021291057
PC7,acc_y_dyn__median,0.21922503475910418
PC7,acc_y_dyn__quantile_0.6,0.1744431906855821
PC7,acc_y_dyn__moment_order_3,0.17398035515292615
PC7,acc_y_dyn__trimmed_mean_0.1,0.1731433030741682
PC7,acc_y_dyn__lower_complete_moment,0.15412602844951473
PC7,acc_y_dyn__quantile_0.4,0.14000776412825644
PC7,acc_y_dyn__percentage_of_positive_values,0.1392561840359762
PC8,acc_y_dyn__energy_ratio_by_chunks_3,0.15499967490403954
PC8,acc_x_dyn__energy_ratio_by_chunks_3,0.15117268549331242
PC8,acc_z_dyn__skewness,0.1507078610331175
PC8,acc_z_dyn__energy_ratio_by_chunks_3,0.14589374024420562
PC8,acc_z_dyn__count_below_mean,0.1407500624190011
PC8,acc_z_dyn__cardinality,0.11823533194588508
PC8,acc_z_dyn__histogram_bin_frequencies_2,0.11660567610689614
PC8,acc_z_dyn__energy_ratio_by_chunks_0,0.11551241184255684
