PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.210185994222186,0.210185994222186
PC2,0.12410581755805755,0.3342918117802436
PC3,0.062270337399823995,0.3965621491800676
PC4,0.03003129764898857,0.4265934468290562
PC5,0.025395105541979435,0.45198855237103563
PC6,0.024589402083761785,0.47657795445479745
PC7,0.02058358801183469,0.49716154246663213
PC8,0.018314603178424697,0.5154761456450568
PC9,0.017253166945332295,0.5327293125903891
PC10,0.01545617816331698,0.5481854907537062
PC11,0.014830069843046561,0.5630155605967527
PC12,0.01401015802406155,0.5770257186208143
PC13,0.01311636767494333,0.5901420862957576
PC14,0.012071364217319523,0.6022134505130771
PC15,0.011380799405317133,0.6135942499183942
PC16,0.010682115084163717,0.6242763650025579
PC17,0.010369111739769205,0.6346454767423271
PC18,0.009338328569793832,0.643983805312121
PC19,0.008992419281170247,0.6529762245932912
PC20,0.008627548261450322,0.6616037728547415
PC21,0.007973223196291974,0.6695769960510335
PC22,0.007625800854831285,0.6772027969058648
PC23,0.007475296531735994,0.6846780934376008
PC24,0.0071639047754920165,0.6918419982130928
PC25,0.007003042953031396,0.6988450411661242
PC26,0.006782100520953525,0.7056271416870777
PC27,0.0066263614042548265,0.7122535030913326
PC28,0.00636638340379522,0.7186198864951279
PC29,0.006324679071980523,0.7249445655671084
PC30,0.005945969351815419,0.7308905349189239
PC31,0.005707998598344069,0.7365985335172679
PC32,0.00553604430058782,0.7421345778178557
PC33,0.005288737737780074,0.7474233155556358
PC34,0.005228859933621171,0.752652175489257
PC35,0.004973459606820641,0.7576256350960776
PC36,0.004875747378971083,0.7625013824750487
PC37,0.004828724763644028,0.7673301072386928
PC38,0.004527869705873409,0.7718579769445661
PC39,0.0044623963713071365,0.7763203733158733
PC40,0.004389032561210069,0.7807094058770834
PC41,0.0043103659047148656,0.7850197717817983
PC42,0.004206265872921701,0.78922603765472
PC43,0.00416605496423042,0.7933920926189504
PC44,0.004022672202656719,0.7974147648216071
PC45,0.003932716548984153,0.8013474813705913
PC46,0.003848167141935772,0.8051956485125271
PC47,0.0037492589267382474,0.8089449074392654
PC48,0.003606152969174547,0.8125510604084399
PC49,0.003590162914214879,0.8161412233226548
PC50,0.0034979351819433915,0.8196391585045982
PC51,0.003476893152361998,0.8231160516569602
PC52,0.0033942712603656994,0.826510322917326
PC53,0.0033590210630480358,0.829869343980374
PC54,0.003285939118192999,0.833155283098567
PC55,0.0032475485882096653,0.8364028316867766
PC56,0.0031893931879867915,0.8395922248747635
PC57,0.0031114656123655956,0.8427036904871291
PC58,0.003085923407545709,0.8457896138946748
PC59,0.0029937375786116675,0.8487833514732864
PC60,0.0029457643524029398,0.8517291158256893
PC61,0.00292486417328458,0.8546539799989739
PC62,0.002828503722419676,0.8574824837213936
PC63,0.002779664166915275,0.8602621478883089
PC64,0.0027649553158012735,0.8630271032041101
PC65,0.002725359108914871,0.865752462313025
PC66,0.002627911064011896,0.868380373377037
PC67,0.0025999581340565726,0.8709803315110936
PC68,0.0025423213746353507,0.873522652885729
PC69,0.0024968148486777947,0.8760194677344068
PC70,0.0024695198022588226,0.8784889875366656
PC71,0.0024059161337979824,0.8808949036704636
PC72,0.0023860752403228047,0.8832809789107865
PC73,0.0023111835357645786,0.885592162446551
PC74,0.0022747461193744303,0.8878669085659254
PC75,0.0022563635636718917,0.8901232721295973
PC76,0.0021847953784661952,0.8923080675080635
PC77,0.0021757473983821133,0.8944838149064456
PC78,0.0021564372386641104,0.8966402521451097
PC79,0.0021100569353555538,0.8987503090804653
PC80,0.0020483666403236134,0.9007986757207889
PC81,0.002002395113864483,0.9028010708346533
PC82,0.001975100440086961,0.9047761712747403
PC83,0.0019318299353204497,0.9067080012100608
PC84,0.0019210658517761208,0.9086290670618369
PC85,0.0018398385882019467,0.9104689056500388
PC86,0.0018276163430602497,0.9122965219930991
PC87,0.001782658955952465,0.9140791809490515
PC88,0.0017567049200734404,0.9158358858691249
PC89,0.001739258794655143,0.9175751446637801
PC90,0.0017059733430446562,0.9192811180068248
PC91,0.0016632970342985696,0.9209444150411233
PC92,0.0016231638149243341,0.9225675788560477
PC93,0.0015609841161068957,0.9241285629721546
PC94,0.0015305896075244801,0.9256591525796791
PC95,0.0014999830666360635,0.9271591356463151
PC96,0.001470021486476588,0.9286291571327917
PC97,0.00144264254058813,0.9300717996733798
PC98,0.0014218030561209893,0.9314936027295008
PC99,0.0014016233600480676,0.9328952260895489
PC100,0.0013754850531343843,0.9342707111426832
PC101,0.0013509509872196466,0.9356216621299028
PC102,0.001329571350976023,0.9369512334808788
PC103,0.0013049814247017245,0.9382562149055805
PC104,0.0012983057424676653,0.9395545206480482
PC105,0.00124676866429742,0.9408012893123456
PC106,0.0012336920323708187,0.9420349813447164
