PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.12794310563869982,0.12794310563869982
PC2,0.08133828309651743,0.20928138873521723
PC3,0.05540050117260479,0.26468188990782204
PC4,0.034855596842113507,0.2995374867499355
PC5,0.031186493438642993,0.3307239801885785
PC6,0.02674070181461509,0.3574646820031936
PC7,0.02474631355876508,0.38221099556195864
PC8,0.023159152234175074,0.40537014779613373
PC9,0.021595750292186706,0.4269658980883204
PC10,0.020901593951405256,0.44786749203972565
PC11,0.019138954926323268,0.4670064469660489
PC12,0.018730436189354376,0.4857368831554033
PC13,0.017231852047399864,0.5029687352028032
PC14,0.0149252806087066,0.5178940158115097
PC15,0.012507632755424165,0.530401648566934
PC16,0.012370441194248767,0.5427720897611827
PC17,0.011824381082339129,0.5545964708435218
PC18,0.010872022053463434,0.5654684928969852
PC19,0.009975765290137968,0.5754442581871232
PC20,0.009186837031428748,0.5846310952185519
PC21,0.00878267584642393,0.5934137710649758
PC22,0.008492505432511175,0.601906276497487
PC23,0.008084835901636347,0.6099911123991233
PC24,0.00758525360173487,0.6175763660008582
PC25,0.007513992359252045,0.6250903583601103
PC26,0.006933463822993995,0.6320238221831043
PC27,0.006766656091814155,0.6387904782749184
PC28,0.006402215100577334,0.6451926933754958
PC29,0.0062342416833383145,0.6514269350588341
PC30,0.005993882445158764,0.6574208175039928
PC31,0.005785469225588405,0.6632062867295813
PC32,0.005675394573087755,0.668881681302669
PC33,0.005483928236838143,0.6743656095395072
PC34,0.0051652921288957475,0.6795309016684029
PC35,0.005064904430830516,0.6845958060992334
PC36,0.0047773683809435785,0.689373174480177
PC37,0.0046324081703314176,0.6940055826505084
PC38,0.004541091126990877,0.6985466737774992
PC39,0.0044897533715531675,0.7030364271490525
PC40,0.004421393489223846,0.7074578206382763
PC41,0.004265720807116625,0.711723541445393
PC42,0.0042007566319240755,0.7159242980773171
PC43,0.0040915250962413,0.7200158231735584
PC44,0.004036528292374723,0.7240523514659332
PC45,0.003938186993200017,0.7279905384591332
PC46,0.0038823013116436903,0.7318728397707769
PC47,0.0038017734109110964,0.735674613181688
PC48,0.0037656575845590855,0.7394402707662471
PC49,0.0037107513724050447,0.7431510221386521
PC50,0.0036699520296618526,0.746820974168314
PC51,0.0036395650896103617,0.7504605392579243
PC52,0.0035485171194458006,0.7540090563773701
PC53,0.003464574927461921,0.757473631304832
PC54,0.0034432024822720823,0.7609168337871041
PC55,0.0034400135241874044,0.7643568473112915
PC56,0.0033888493881613947,0.7677456966994529
PC57,0.003344165885327762,0.7710898625847806
PC58,0.0032861302175188393,0.7743759928022995
PC59,0.003276463789189116,0.7776524565914886
PC60,0.003256389261044601,0.7809088458525333
PC61,0.003207500054884142,0.7841163459074174
PC62,0.0031866919019472697,0.7873030378093647
PC63,0.003172905840908593,0.7904759436502733
PC64,0.003141731736655179,0.7936176753869285
PC65,0.0031060643597531834,0.7967237397466816
PC66,0.0030860122085255904,0.7998097519552072
PC67,0.0030096323928096693,0.8028193843480169
PC68,0.0029709666425811773,0.8057903509905981
PC69,0.0029393846079459065,0.8087297355985441
PC70,0.002890710795508993,0.8116204463940531
PC71,0.0028762894687817788,0.8144967358628349
PC72,0.0027859277750425532,0.8172826636378775
PC73,0.0027166981138876597,0.8199993617517651
PC74,0.0026913010485897057,0.8226906628003549
PC75,0.002659050167897707,0.8253497129682525
PC76,0.0026570237613484826,0.828006736729601
PC77,0.002614508518467916,0.8306212452480689
PC78,0.0025679533618941978,0.8331891986099631
PC79,0.002542344071372995,0.8357315426813361
PC80,0.0024791831382445194,0.8382107258195806
PC81,0.0024606611023503928,0.840671386921931
PC82,0.002445044042576111,0.8431164309645071
PC83,0.00242298236959483,0.8455394133341019
PC84,0.0023941271907826304,0.8479335405248845
PC85,0.0023618169332932253,0.8502953574581776
PC86,0.0023347453640482725,0.852630102822226
PC87,0.0022933575140317007,0.8549234603362577
PC88,0.0022746939594397208,0.8571981542956973
PC89,0.0022321921127198066,0.8594303464084172
PC90,0.002212969915910598,0.8616433163243278
PC91,0.0021847411683611337,0.8638280574926889
PC92,0.002164634337862574,0.8659926918305515
PC93,0.0021337046914027065,0.8681263965219542
PC94,0.002115919356500858,0.8702423158784551
PC95,0.0020799200742617177,0.8723222359527169
PC96,0.0020566861696304094,0.8743789221223472
PC97,0.002039579385072655,0.87641850150742
PC98,0.0020215759251351758,0.8784400774325551
PC99,0.0020079589223199585,0.8804480363548751
PC100,0.0019919687953025684,0.8824400051501777
PC101,0.0019485738284055617,0.8843885789785833
PC102,0.0019358115141681553,0.8863243904927514
PC103,0.001908781853166579,0.8882331723459179
PC104,0.0018736394943372147,0.8901068118402551
PC105,0.0018502093793794057,0.8919570212196345
PC106,0.001816069037638151,0.8937730902572727
PC107,0.0018036847154588303,0.8955767749727315
PC108,0.0017849652542549078,0.8973617402269863
PC109,0.0017657881854850914,0.8991275284124715
PC110,0.00173472048155377,0.9008622488940252
PC111,0.0017188347537439007,0.9025810836477691
PC112,0.0016893361248849494,0.9042704197726541
PC113,0.001672599127873152,0.9059430189005272
PC114,0.001657369577124486,0.9076003884776517
PC115,0.0016463310984178277,0.9092467195760695
PC116,0.0016049697744096654,0.9108516893504792
PC117,0.0015942854623599634,0.9124459748128392
PC118,0.001586010593826453,0.9140319854066656
PC119,0.001545448347426638,0.9155774337540923
PC120,0.0015306087129489045,0.9171080424670411
PC121,0.0015149747220410913,0.9186230171890822
PC122,0.0014808735789668334,0.9201038907680491
PC123,0.0014460854917592609,0.9215499762598084
PC124,0.0014321293054061564,0.9229821055652145
PC125,0.0014276388334801735,0.9244097443986947
PC126,0.0014080677112145177,0.9258178121099092
PC127,0.0013831891169707026,0.9272010012268799
PC128,0.0013659112339877546,0.9285669124608676
PC129,0.0013559790896133831,0.929922891550481
PC130,0.0013406045850412067,0.9312634961355223
PC131,0.001293081976023916,0.9325565781115462
PC132,0.0012848269939631806,0.9338414051055094
PC133,0.0012776995869797358,0.9351191046924892
PC134,0.0012542379787071794,0.9363733426711963
PC135,0.0012289606997271025,0.9376023033709234
PC136,0.0012221983813471874,0.9388245017522706
PC137,0.0012096900810417235,0.9400341918333124
PC138,0.0011941925363374302,0.9412283843696498
PC139,0.0011842707228462814,0.9424126550924962
PC140,0.0011450299327404496,0.9435576850252366
PC141,0.0011402871272693505,0.944697972152506
PC142,0.0011367525884804094,0.9458347247409864
PC143,0.001111896048014448,0.9469466207890008
PC144,0.001093818594099363,0.9480404393831002
PC145,0.0010711197443940108,0.9491115591274942
PC146,0.0010356809300907427,0.950147240057585
PC147,0.0010088587171130673,0.9511560987746981
PC148,0.0009946764311925848,0.9521507752058906
PC149,0.000972947788049749,0.9531237229939404
PC150,0.0009407229128611339,0.9540644459068016
PC151,0.0009353193790246326,0.9549997652858262
PC152,0.0009113198376402622,0.9559110851234665
PC153,0.0008875548595229694,0.9567986399829894
PC154,0.0008562758741413548,0.9576549158571308
PC155,0.0008515231761637759,0.9585064390332946
PC156,0.0008416988391151655,0.9593481378724097
PC157,0.000829795779692277,0.9601779336521019
PC158,0.0008173404132285071,0.9609952740653305
PC159,0.0008104104651028348,0.9618056845304334
PC160,0.0008035464292669452,0.9626092309597003
PC161,0.0007961340706373958,0.9634053650303377
PC162,0.0007786161094847269,0.9641839811398224
PC163,0.0007731827547142645,0.9649571638945367
PC164,0.0007579213127561595,0.9657150852072929
PC165,0.0007410555611881214,0.966456140768481
PC166,0.0007243893906105763,0.9671805301590916
PC167,0.0007117768580002217,0.9678923070170917
PC168,0.0007018853402538668,0.9685941923573456
PC169,0.0006898003808864187,0.969283992738232
PC170,0.000682521684294633,0.9699665144225266
PC171,0.0006660967091397158,0.9706326111316663
PC172,0.0006469480610059941,0.9712795591926723
PC173,0.0006379976759361871,0.9719175568686085
PC174,0.0006177826847388723,0.9725353395533474
PC175,0.0006062923882869477,0.9731416319416343
PC176,0.0005990268954486137,0.9737406588370829
PC177,0.000581474827682785,0.9743221336647657
PC178,0.000579759675835836,0.9749018933406015
PC179,0.0005652210764912042,0.9754671144170927
PC180,0.0005592162762431141,0.9760263306933358
PC181,0.0005539953489415436,0.9765803260422773
PC182,0.0005383529445387136,0.977118678986816
PC183,0.0005275390392529045,0.977646218026069
PC184,0.0005034960931671358,0.9781497141192361
PC185,0.0004943231965777642,0.9786440373158138
PC186,0.0004893795901430348,0.9791334169059569
PC187,0.00046886795117407167,0.979602284857131
PC188,0.0004635383903108074,0.9800658232474417
PC189,0.0004604093412910145,0.9805262325887327
PC190,0.0004545818514352018,0.9809808144401679
PC191,0.00044780511413298763,0.9814286195543009
PC192,0.00044431289645458026,0.9818729324507556
PC193,0.0004368171481032771,0.9823097495988589
PC194,0.00042392774405518655,0.9827336773429141
PC195,0.00040892102114881113,0.9831425983640628
PC196,0.00040227920657116205,0.983544877570634
PC197,0.000399003393324833,0.9839438809639589
PC198,0.0003980523454317836,0.9843419333093907
PC199,0.000382262482393471,0.9847241957917842
PC200,0.00037618783148155255,0.9851003836232657
PC201,0.0003692184140005658,0.9854696020372663
PC202,0.00036718556963872867,0.9858367876069051
PC203,0.00036113453423518635,0.9861979221411402
PC204,0.00035612858769955806,0.9865540507288397
PC205,0.00034806479150317076,0.9869021155203429
PC206,0.0003442103823131867,0.987246325902656
PC207,0.0003374980206991705,0.9875838239233552
PC208,0.0003308900698280498,0.9879147139931832
PC209,0.0003187222740382548,0.9882334362672215
PC210,0.0003121955487379973,0.9885456318159594
PC211,0.0003044428084820802,0.9888500746244415
