feature,nan_ratio,variance
acc_x_dyn__harmonic_mean_of_abs,0.0,42.986321136630224
acc_x_dyn__quantile_0.4,0.0,119.522021866029
acc_z_dyn__katz_fractal_dimension,0.0,0.09856104343575312
acc_x_dyn__katz_fractal_dimension,0.0,0.10082066254304878
acc_x_dyn__harmonic_mean,0.0,2.996818293651887e-26
acc_z_dyn__lower_complete_moment,0.0,64868484.75777168
acc_y_dyn__quantile_0.3,0.0,528.830021796695
acc_x_dyn__approximate_entropy_0.1,0.0,0.015295828699787522
acc_z_dyn__harmonic_mean_of_abs,0.0,53.48815908899626
acc_x_dyn__quantile_0.9,0.0,2821.3395684425313
acc_x_dyn__quantile_0.3,0.0,337.54419421242613
acc_x_dyn__variance_of_absolute_differences,0.0,495071.18962144974
acc_x_dyn__cardinality,0.0,14.45667912787537
acc_y_dyn__katz_fractal_dimension,0.0,0.10618476058320181
acc_y_dyn__tsallis_entropy,0.0,0.005990899807006571
acc_y_dyn__quantile_0.4,0.0,139.10167452029762
acc_x_dyn__max,0.0,20087.11030108599
acc_y_dyn__variance_of_absolute_differences,0.0,185200.83711580705
acc_z_dyn__sample_entropy,0.0,0.04703323416545156
acc_x_dyn__quantile_0.6,0.0,77.2970591873428
acc_z_dyn__variance_of_absolute_differences,0.0,162062.7355374464
acc_z_dyn__quantile_0.6,0.0,106.69914151138603
acc_y_dyn__avg_amplitude_change,0.0,101.30952831317828
acc_z_dyn__sum_of_absolute_changes,0.0,8348172.970698868
acc_y_dyn__sample_entropy,0.0,0.05250397063500897
acc_y_dyn__harmonic_mean_of_abs,0.0,41.44852888355885
acc_x_dyn__sample_entropy,0.0,0.0483862936656533
acc_z_dyn__quantile_0.4,0.0,99.51206760437671
acc_z_dyn__approximate_entropy_0.1,0.0,0.01637338967381482
acc_x_dyn__approximate_entropy_0.9,0.0,0.005836877951362402
