,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
acc_x_dyn__harmonic_mean_of_abs,0.2016480233950623,0.08335389001541083,0.24041797788211677,-0.11175124461311302,-0.10340496132744326,-0.1438680974909123,0.08983651522409226,0.16650090993267816,-0.2669054092030413,0.19328284202152163,-0.2578884355800998,0.23459983841186816,0.2785961865088173,0.00992040251413121,0.6237136040330648,0.0800741651708157,-0.029461125201686863,0.18040333119240537,-0.09804692716697751,0.03823422961941176,0.0009916492961243666,0.1776301739586844,-0.04012154550596316,-0.1462986516021412,0.07585750680615488,0.03589042861464543,0.07279309665178875,0.0014695718477983667,0.015292972485377218
acc_x_dyn__quantile_0.4,-0.1962237427934074,-0.041450505191490045,-0.15225624571668256,0.11977311204377082,0.20162018822862401,0.40618767943539463,-0.3234157402601132,-0.21290262521901218,0.09763586364658045,0.30893081999763283,0.11977243826585568,-0.09913065965907474,0.07641337197243968,0.1618160240812392,0.15851650992315308,-0.022924422314311566,-0.05946015053949861,0.199941305634635,-0.04355513964216575,-0.006333651107373645,-0.14891063260377543,0.21823677420846654,0.06743157600275426,-0.10705205613675398,0.1351513440694032,-0.0077884521767464495,0.47300139393105217,0.07197930171644595,-0.037019511442673174
acc_z_dyn__approximate_entropy_0.1,0.16587043481696837,-0.29130299644541213,0.05101836528356149,0.02563601680061313,-0.20103883177958354,0.09187989094145611,-0.22063878470099946,0.13622555356460123,-0.06688609557115391,-0.09002439322399386,0.13852756484883721,-0.2413685367605384,0.021749192298158297,-0.19478335251188592,0.05948829023263721,-0.17541460749425006,0.4002358791623606,0.24997838856761365,-0.17350438359287887,-0.21274627130994073,0.09594468342151914,0.12311062241598508,-0.1446457791605718,-0.0012230342745019965,-0.3855406836103756,-0.10108892924113745,-0.02830853699885738,0.3201888329628357,0.00339178981120891
acc_z_dyn__quantile_0.4,-0.20690391155269303,-0.08558551789349671,-0.05154684336955486,-0.00819113132160447,0.03977425348227136,0.05430102755312275,0.1723619932281238,0.5457888626081601,0.3296560331448785,-0.003101838860578225,0.10461612881577756,-0.008428373657557685,-0.16302076621275768,0.302986413715382,0.24288911278881503,0.2619773505388194,0.20737440547713024,-0.0394877142554599,0.3006033112354074,-0.31806137354843544,-0.0248276239141714,-0.008930278408808083,-0.018108672592297672,-0.03968546222829569,0.010206138522775136,0.08959588786581212,0.0009150416556860269,0.011194138250858842,-0.04867582557232368
acc_x_dyn__sample_entropy,0.17699838495223438,-0.30064333461294057,0.0049826727341666524,0.10759711703726789,-0.0675412372985647,0.08905823911527058,-0.01898403571499644,0.07327491712927377,-0.22671303794496425,-0.0688794106914226,-0.10669973494493618,-0.012808123049875086,-0.09891281008577016,0.1469964515215571,-0.1287570641616345,0.22493657719876423,-0.2640869562910331,0.058262716578695195,0.08756558880991186,0.011014615299268154,-0.02945767537669307,-0.06561876800121078,0.007040601844752178,0.09231514447628754,0.43958981764828275,-0.017257485779608756,-0.09482832176721308,0.6181228072552277,0.054090629823890464
acc_y_dyn__harmonic_mean_of_abs,0.18428150263763057,0.11122116346008269,0.250100765043306,-0.022793834342441203,0.1439253126276391,0.25031083952075567,0.10853812108216895,-0.06975300611353806,0.1452434141174419,-0.45595627437931335,-0.10162941453341184,-0.3260269988975351,0.5659856337691659,0.28386157997904554,-0.01998049332138834,-0.07961701800107149,-0.04716202918838762,0.03914956504521061,0.1473717638804019,-0.04119791717250122,-0.06559154579635502,-0.04737238818199176,0.0007225015031713281,0.021182458107038886,-0.02736777980810346,0.04374643539801005,-0.014484172463807458,-0.015841574465634597,-0.0048286896246774475
acc_y_dyn__sample_entropy,0.15546348763810028,-0.3138289078984251,0.0253732400407795,0.10834227167916376,-0.10700201380367151,0.061201387444826776,-0.1579646154378418,0.08323846373858346,0.029739310622774427,-0.07526004672856952,0.15466785865509902,0.40078227293409746,0.16800722325722697,0.2146694453914078,-0.08433743823855663,0.04499437740598629,-0.22199712999855387,-0.4211049450507105,-0.23937007942912975,-0.07238800468458684,-0.16849718872775293,0.001856824282976682,0.18133233985333552,-0.2864291124998065,-0.31916040255366,0.08415111746842119,0.035839992218077786,-0.023434022910049687,-0.009695417302807464
acc_z_dyn__sum_of_absolute_changes,0.22945572481595836,0.1288701697211171,-0.17814260016798394,0.0424694549010111,-0.014604493787106187,-0.13277000562964303,0.04287166760159299,-0.08882844478234724,-0.040655027177281707,0.028378720954045016,-0.04584098658587008,-0.023804060635937947,-0.11461608870892553,-0.013214036697807302,-0.10526447640387655,-0.15541559875721014,-0.05690406780488488,0.23404929915338582,0.1579783213571013,-0.16478229672170086,-0.20133392402752645,-0.1320283693553464,-0.13187202165795883,-0.4111144234835397,-0.03258471604531018,0.43424674104033867,-0.010157511215349073,0.07206532016646768,-0.5162692700667116
acc_y_dyn__avg_amplitude_change,0.22061775881537174,0.13017478790827233,0.03458648051584346,0.021835543679408886,0.32023650274616855,0.13078667682632886,0.0935174255869506,0.1340156664881978,0.021421011474056208,0.0014510936919465837,0.11572484776235858,-0.004014507430591359,-0.11534046818241969,-0.26885240697573665,-0.08956702778366071,0.09191349506664828,-0.04147153044599669,0.12132596027340375,-0.004859995071928979,-0.0020187372944059567,-0.029158358422771848,-0.10801544964747538,-0.06956777816599748,-0.3544140608826383,-0.04289997021577646,0.23155962036864244,0.07211282019813271,0.02226412305780052,0.670695155533657
acc_z_dyn__quantile_0.6,0.20333407197451067,0.10070473327664493,-0.08459080066184894,0.19189116696423694,-0.26538665770109254,0.14244469542868948,0.3693194915195188,-0.032437676836177175,0.0905253794585896,-0.05740618484682371,0.19560638755083581,0.04909817852911566,-0.22167423064072048,0.19489943237524288,0.13207043298770904,-0.1484931387218288,0.1536801509589304,0.19844742463664033,-0.11968169070315192,0.33185095646284046,-0.47038425318087695,-0.06601180758327174,0.14611675954456016,0.034444997057862234,-0.002291307010418689,-0.23240066800079823,-0.05429405131420668,-0.012512830763678809,0.0697317824378076
