feature,pca_energy_score
acc_z_dyn__variance_of_absolute_differences,0.14667190005568867
acc_x_dyn__quantile_0.4,0.1458145836709484
acc_y_dyn__variance_of_absolute_differences,0.14497466799313563
acc_x_dyn__harmonic_mean_of_abs,0.14478011668383922
acc_z_dyn__lower_complete_moment,0.14463419757367368
acc_x_dyn__max,0.1444597347011371
acc_x_dyn__quantile_0.9,0.14423957865471973
acc_z_dyn__harmonic_mean_of_abs,0.14422928544909366
acc_x_dyn__quantile_0.3,0.14384269198794514
acc_y_dyn__avg_amplitude_change,0.14206135555953253
acc_z_dyn__katz_fractal_dimension,0.14024827728596048
acc_x_dyn__variance_of_absolute_differences,0.13855581507584472
acc_y_dyn__quantile_0.4,0.13823217537730162
acc_y_dyn__quantile_0.3,0.1371894263855441
acc_z_dyn__sum_of_absolute_changes,0.13603035687233547
acc_x_dyn__approximate_entropy_0.9,0.13401924322478576
acc_z_dyn__quantile_0.4,0.13314795346161887
acc_x_dyn__quantile_0.6,0.13259391588352806
acc_z_dyn__quantile_0.6,0.13242269834297857
acc_x_dyn__katz_fractal_dimension,0.1291012973305606
acc_y_dyn__harmonic_mean_of_abs,0.127171976576605
acc_x_dyn__cardinality,0.12667853593188436
acc_y_dyn__katz_fractal_dimension,0.12624863094528152
acc_z_dyn__sample_entropy,0.12400514325726605
acc_x_dyn__sample_entropy,0.12090064399574701
acc_y_dyn__tsallis_entropy,0.11648437065600797
acc_y_dyn__sample_entropy,0.11465194981359365
acc_x_dyn__approximate_entropy_0.1,0.09630651214473554
acc_z_dyn__approximate_entropy_0.1,0.08717893978177607
