,acc_x_dyn__harmonic_mean_of_abs,acc_x_dyn__quantile_0.4,acc_z_dyn__approximate_entropy_0.1,acc_z_dyn__quantile_0.4,acc_x_dyn__sample_entropy,acc_y_dyn__harmonic_mean_of_abs,acc_y_dyn__sample_entropy,acc_z_dyn__sum_of_absolute_changes,acc_y_dyn__avg_amplitude_change,acc_z_dyn__quantile_0.6,acc_z_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.6,acc_z_dyn__sample_entropy,acc_y_dyn__variance_of_absolute_differences,acc_x_dyn__max,acc_y_dyn__quantile_0.4,acc_y_dyn__tsallis_entropy,acc_y_dyn__katz_fractal_dimension,acc_x_dyn__cardinality,acc_x_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.3,acc_x_dyn__quantile_0.9,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__approximate_entropy_0.1,acc_y_dyn__quantile_0.3,acc_z_dyn__lower_complete_moment,acc_x_dyn__harmonic_mean,acc_x_dyn__katz_fractal_dimension,acc_z_dyn__katz_fractal_dimension,acc_x_dyn__approximate_entropy_0.9
acc_x_dyn__harmonic_mean_of_abs,0.0,0.6117554215186564,0.3136667672435656,0.39639018967381157,0.27799144664259673,0.5863971153807275,0.2512154510308216,0.7079079508641245,0.6760937496640201,0.5316364423823102,0.4394611094364361,0.6522186936880743,0.3208787052951799,0.550064656990099,0.7720767723650733,0.4107775628468548,0.093907941737126,0.31951461665677283,0.45474794371160043,0.5889944111086168,0.7940371648828148,0.8181859176160047,0.6085383259525425,0.31327908551208494,0.6075668260957929,0.48196627356771127,0.0029173725233738257,0.3786506112858173,0.39794299789659116,0.35344868850171307
acc_x_dyn__quantile_0.4,0.6117554215186564,0.0,0.22966632524548244,0.2466737783246484,0.23075050468014863,0.43747020133293024,0.20965136789789246,0.5209613214627777,0.5119646954742781,0.4225806601969093,0.2767372160385952,0.07299407785454995,0.2543763319517361,0.3747759455401121,0.6102803608494255,0.31759721404920654,0.0746422156365668,0.2683860412903097,0.3532056452472419,0.37198075062730346,0.8738736414808359,0.6094171469837124,0.41945822315861564,0.22162382659647822,0.44767829898936573,0.2674441837476189,0.01624248538317678,0.3140601977283402,0.31755840317241,0.27568657574471117
acc_z_dyn__approximate_entropy_0.1,0.3136667672435656,0.22966632524548244,0.0,0.2064102902006516,0.518385129931393,0.2811824712856386,0.4894027847392099,0.2731195520575944,0.23986392804651274,0.23284860084960085,0.14477292094435532,0.2509625809720405,0.49456648154888677,0.14056250488159447,0.3654904762482532,0.1970350653391057,0.05745058787453382,0.40317343872838257,0.7258360696519358,0.16030408388547926,0.3151230148184778,0.362527746923922,0.3201376455596033,0.6164290291975068,0.2830874096966681,0.1907517973947167,0.01664231892300389,0.4477290938610469,0.41286016244188894,0.5321910139551224
acc_z_dyn__quantile_0.4,0.39639018967381157,0.2466737783246484,0.2064102902006516,0.0,0.21713376736395215,0.3513331558762297,0.18115445991749057,0.500666395001016,0.43245926750169933,0.0006979409986480268,0.2877014412846574,0.43601302484901133,0.1869000003763165,0.31922448641377277,0.4856281611252948,0.38178229168568273,0.0584917174470035,0.21606783352853923,0.3197897169451314,0.3109750080701123,0.4030615953869855,0.5033896623864392,0.5204710916204704,0.2053681655198185,0.45132634371447106,0.14306977124733206,0.009268341921291303,0.2802873668897079,0.2658693081772523,0.27172548889970016
acc_x_dyn__sample_entropy,0.27799144664259673,0.23075050468014863,0.518385129931393,0.21713376736395215,0.0,0.2745837510772196,0.7360371559572096,0.3781905683052638,0.37025875341324754,0.24271711454054698,0.1844461509516987,0.238806713805329,0.7696659810340515,0.2384086635962285,0.3158063810065391,0.22543258639356756,0.19487829543129673,0.6907397079470452,0.7526928844447853,0.17447612064009205,0.30353961958604897,0.3163862516478681,0.2957213989545113,0.4685146063933918,0.3076977465066248,0.16777747169933743,0.02891925151950788,0.8250213078401407,0.7188046455818572,0.8728758994572318
acc_y_dyn__harmonic_mean_of_abs,0.5863971153807275,0.43747020133293024,0.2811824712856386,0.3513331558762297,0.2745837510772196,0.0,0.15189307989698636,0.6725104304745483,0.7018180794729707,0.5218233911857034,0.43268894693321613,0.4736225153609962,0.24981751351504375,0.604041535691727,0.6344551763084618,0.43847300413793233,0.06777033939331614,0.22929218207484084,0.40826070656448377,0.42505385114175454,0.5800717209470954,0.6495704060956565,0.5889217707981788,0.2611923843643452,0.7437626122947837,0.5731026841978542,0.0015359479792564227,0.3437101164772075,0.32793202485461387,0.3459955366734396
acc_y_dyn__sample_entropy,0.2512154510308216,0.20965136789789246,0.4894027847392099,0.18115445991749057,0.7360371559572096,0.15189307989698636,0.0,0.2937311383205961,0.28126746277691095,0.17492440732187298,0.13873852574293488,0.20753951938170065,0.7432746988065018,0.14060821604134618,0.27771763090560087,0.15320046657789604,0.2820068493934385,0.8142479420170543,0.7209079732091646,0.17602671080643056,0.274133033468191,0.27783975071373274,0.22216903351158807,0.46783215424408103,0.18985881404295588,0.10054833881286947,0.003859554013372267,0.6937759570127284,0.6904598417471296,0.7378992600380676
acc_z_dyn__sum_of_absolute_changes,0.7079079508641245,0.5209613214627777,0.2731195520575944,0.500666395001016,0.3781905683052638,0.6725104304745483,0.2937311383205961,0.0,0.8892226423347491,0.6244143322217461,0.7737272879857299,0.603110494688879,0.3624599427119215,0.7739023191652276,0.7767042201620629,0.44908210972314255,0.10670763114393557,0.42855822668001686,0.4675289261748786,0.69280871039074,0.7158150852843252,0.775564825957522,0.7088820157393525,0.24523673440500834,0.7064646051811247,0.656405950963834,0.009958365491121965,0.5261565401355882,0.5185476931552756,0.48812272729550654
acc_y_dyn__avg_amplitude_change,0.6760937496640201,0.5119646954742781,0.23986392804651274,0.43245926750169933,0.37025875341324754,0.7018180794729707,0.28126746277691095,0.8892226423347491,0.0,0.5497228701912795,0.5804243595068859,0.55806151227257,0.37639992851945786,0.8853580696162222,0.7185912054265579,0.47878079640995347,0.10785794727081366,0.4808031240378603,0.45213252037686585,0.6159451668673837,0.6849806298100006,0.7216619550037422,0.6229066703448328,0.2295840958614578,0.7432821648305634,0.5233697833650334,0.009265110955495407,0.544301491109754,0.5310496457966818,0.4743762470357104
acc_z_dyn__quantile_0.6,0.5316364423823102,0.4225806601969093,0.23284860084960085,0.0006979409986480268,0.24271711454054698,0.5218233911857034,0.17492440732187298,0.6244143322217461,0.5497228701912795,0.0,0.4416959029230838,0.3756132321107304,0.20044877660709692,0.47557891836465804,0.5248892031334353,0.20525920519170932,0.0778414392210064,0.21925547749770244,0.32221872815814706,0.38904035451873675,0.5474358216416669,0.5400443471216178,0.6539156865475891,0.2007641364086568,0.4800281347523163,0.7003146840403477,0.004187127882729337,0.2913870500771389,0.2513277167671617,0.2911851497090787
