,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
acc_y_dyn__quantile_0.3,-0.21002466200266254,-0.1367754220550939,0.11644185493194323,0.2224421455084982,0.09580066854802828,-0.30282320714139277,0.024830138235794434,0.30267879654443614,-0.07665065047844047,0.058758232540790094,0.055468875604652496,0.03883276757873473,0.06067976457568917,-0.021539133727305763,0.023071011145873347,0.029409005378652972,0.03510882537392946,0.040114758775362955,0.08342906153095514,0.04086273066534983,-0.04555924367139664,0.031068626057584644,0.03217814394577311,0.08019796600769198,0.3422277668050976,-0.2565130499593809,-0.6514557901844783,0.02728338301768899,-0.13959345304700954,-0.1097829739889005
acc_x_dyn__variance_of_absolute_differences,0.17825395495283375,0.15489994334164,0.1801227820549582,-0.06467063315332344,0.04643576129977221,-0.3133477992682555,0.07526990922698393,0.17692304580910162,0.3748354099939485,-0.16619464124168137,-0.20886324107898555,0.13325847274137512,-0.028038938199155806,-0.2777612438017939,-0.3370793016231927,-0.10768639281352206,0.40161058904830943,-0.14182423827944957,-0.12525180695162025,-0.2447488914313278,-0.13370820308156262,0.05910515117876254,0.001079885925749442,0.10436381455901321,-0.13994276235460415,0.0885300837211551,-0.0024073284282572667,-0.07674521108260926,-0.12208341563634911,0.012382794358302163
acc_z_dyn__harmonic_mean_of_abs,0.19963162098748916,0.13386365332411757,-0.04349289325012803,0.13750440922342264,-0.15988725363728784,0.10616461138613355,-0.08282526466487462,0.09647844715539228,-0.3083277718366399,0.3664517708316544,-0.12300259796960901,-0.18461145277586688,0.16812948090679825,-0.2529796522568983,-0.11653153876546976,-0.20200125051487827,0.33172639268078913,-0.011319902710250173,0.07944960667036022,0.4932127073829389,-0.27439558148201865,0.0171839942980317,-0.011366893260342261,-0.07047625281388123,-0.003991881111251392,0.04107042288455341,0.020398147611285555,-0.0021241674447819363,0.0005756652313832273,0.025726742088181195
acc_x_dyn__katz_fractal_dimension,0.198615157793812,-0.2466831088235091,0.15012066259258008,-0.09009227721488994,0.05594808015173173,-0.03321289404816015,0.04298243464415328,-0.10286787394581916,-0.1497075554438662,0.037207111866840496,-0.07256541251299373,0.17664910007730175,0.08088161165116371,-0.1958640183820684,0.08300516388859798,0.24113854517376973,0.04382634990436467,0.2414728293871812,-0.27965107517166593,-0.1806449008746126,-0.20374752363134796,-0.1346550946462454,-0.15332345064196332,-0.42994264504936003,0.32653955554016323,0.3277352692630154,-0.05512781161367981,0.07311091958614274,0.1433797327048525,0.01108982591516378
acc_x_dyn__cardinality,0.2065682418873969,-0.24450774816821103,-0.14651308269081334,0.13629030281293647,-0.13291785896084538,-0.04264324019510354,0.00986752766715704,-0.05532428679353802,0.05465749401356454,0.008737159762052195,0.03185879645242278,-0.0012331922071896258,-0.010926175140327994,0.0075086634474185576,-0.03924015106220647,0.012920607170474187,-0.046995268897861785,0.18328192953455558,-0.1012546894229734,0.09988235448256756,0.0931525819178486,-0.39987681965923516,0.44184169514911015,0.3420339847742716,-0.22151287725995705,0.4105557844900185,-0.2675959982673668,-0.04891368932380625,-0.003133878025947164,0.021067755108495564
acc_y_dyn__avg_amplitude_change,0.23564814927080988,0.11749542185521854,0.14439374701352897,-0.13271884437459494,0.062036411263209586,-0.018481752857304565,0.03184043785868223,-0.12925069436747733,-0.045973060214740305,-0.021010847639961926,0.3620001567949163,-0.06298617106089323,0.23879766791249488,-0.08470444872545367,-0.015384032171524939,0.019214285279895677,-0.1374797569839227,-0.03275982665378163,0.05063165468176661,0.008756042993939653,0.008109714354377691,-0.0014174753845880921,-0.12863531340467846,-0.1589902956894182,-0.345058485946821,0.021006378080664197,-0.18367560359850604,-0.10611880602507932,-0.17149977243824155,-0.6399189966665049
acc_x_dyn__approximate_entropy_0.9,0.19727943284531135,-0.2694815060032933,0.11296207882593137,-0.016689643586279137,-0.02073767662425751,-0.0302371095736145,0.04814932466912714,-0.09695665180802782,-0.09891103006398384,0.06768076786584763,-0.16710895295297615,0.27458526363126046,-0.01380217266131719,-0.16106885832659432,-0.07222587454559298,0.1658878923901994,-0.024503409086689902,0.048649915483764156,-0.12143373284938257,0.103705031280709,0.08850568145390146,-0.2492082301909024,0.1904372425121681,-0.014785892785278195,-0.13077218511464028,-0.6896844675549637,0.21528340583995612,-0.031550165339035256,-0.0948815137762178,-0.042434905823124286
acc_y_dyn__variance_of_absolute_differences,0.1938857239089147,0.16222161007241573,0.28474117528918175,-0.1026668956089472,0.0073462570659945155,-0.08776711315311632,0.061117410295335045,-0.16771776555975512,0.10849889020380929,-0.017943518129444114,0.4371081850375623,-0.02840567802248899,0.30868159835199954,-0.06539132493066345,0.030951472871633974,0.10145584528449694,-0.04606610836136691,-0.37676989989875004,0.03099770424582917,0.13318674812250375,0.011664581944373004,-0.1756096246787688,0.11698496568995224,0.2051815705072673,0.3598801234547534,-0.02510016085373662,0.08380484884673198,0.06872998215667002,0.08872371712329385,0.3012923948438604
acc_x_dyn__quantile_0.9,0.23362889978935317,0.13327502643234665,-0.19514965551172841,0.01669012525642943,0.0338561325171509,-0.0978472512189719,0.0017603789646786054,0.16360329242305763,-0.07040068789862677,-0.14889836556567693,-0.04441723815604315,0.09541156345356509,-0.11602962720311227,-0.01349718302678454,-0.12418330099399146,-0.03802912247282283,-0.3981743265600173,0.02619711190259787,-0.05438527111729916,0.20295045019022848,0.06388778547829785,0.03341533874020559,-0.022334242898188375,-0.09965476598773948,0.29765907175574724,0.14523849020021828,0.15357387825926172,-0.19872906623341413,-0.6199025552228089,0.08385437815566939
acc_z_dyn__katz_fractal_dimension,0.19452401671643813,-0.2453212788843413,0.1128377552882797,-0.10517159331392148,0.09447137276222507,-0.0960860109851666,0.030791928865128097,-0.047190057519692685,-0.10670905495263511,-0.10506139964039489,0.0913048183851503,-0.09782386758125061,-0.147089662818175,-0.006012964152713992,0.24075658770285513,-0.4592499815206227,0.06740180232652616,0.21050871215464356,-0.20923806078747487,0.0721832646954762,0.023751907736087877,0.0013063898551568956,-0.44064342554714797,0.4563535606987387,0.0932393878018069,-0.059160311914923734,0.09775909858690487,0.01677054700890796,0.00846185214704916,-0.055074961025662755
acc_x_dyn__quantile_0.3,-0.2179843660385785,-0.1182197578866371,0.23845226610465045,-0.07915842580221344,-0.3512793309985623,0.0463489702599134,-0.04147600639347691,-0.03391980020176104,0.04995332351339506,-0.027470996174878488,0.04168735434654966,0.015199092087106276,-0.04285181118298187,-0.10022989392665313,-0.13379991395558555,-0.08750696627682288,0.021387376461116506,0.006902959597340546,-0.05975321579310144,0.14488263316619845,0.3080850036526758,0.037129459694689705,-0.0740297653797933,-0.11879377049014524,0.10484006989405718,0.0429103940709502,-0.0655501294791542,-0.7129055826470071,0.193217759170207,0.02555901743151417
acc_z_dyn__quantile_0.6,0.1687710658234131,0.13554098434975823,0.15463970626322374,0.4283787311286237,0.0637672341199097,0.275730177700971,-0.06073361202980129,-0.04929346895091556,-0.20420583913278906,-0.07768454490029333,-0.16664910010038886,-0.17267646027745878,0.15802346666854925,-0.2727189828623682,-0.06991730893658508,-0.16734655481796903,-0.08435275497127327,0.07450064642964307,0.1551945004588046,-0.4671502631898706,0.3318325838995971,-0.010352466876885052,0.09260072724818554,0.09001575721031906,0.18190608573325548,-0.019258866380991505,0.04435812820375884,-0.005582992173134064,0.02384563177595008,-0.06356626679983213
acc_x_dyn__max,0.23113824822682072,0.13043130824797977,-0.17739588022174627,0.0282301792729751,0.05017396875070453,-0.15146634432298053,0.026542973153431307,0.13084391629031794,0.03286447476318395,-0.11557020445818855,-0.05601901416184441,0.11355044755000161,-0.14683193523005902,-0.13198996750579403,-0.27730209359430164,-0.1273271699120671,-0.40902857385404834,-0.06209390673451426,-0.06400655929444073,0.20621799416172912,0.07963605574530959,0.0970120475781051,-0.0438079685631387,-0.05823723688159649,0.02471733741265052,-0.06679640343981258,-0.12567266800294574,0.1700622688702417,0.6280246600023883,-0.09168008931192806
acc_y_dyn__quantile_0.4,-0.14623253094502045,-0.08162150816717342,0.20661877104666235,0.41451380782254355,0.07555964051722437,-0.2952276679835542,0.0014553293269180222,0.34682081455211416,-0.24305178300619668,0.13111255243536862,0.39846213868553265,0.2011908362574143,-0.07231612393455772,0.0269709174343798,-0.043374153862033415,0.003968700527775579,-0.028415673471016846,0.015469004413313798,-0.00469174169283912,-0.05593774694742524,0.01138680631074172,-0.012036261961638772,-0.006678756548343104,-0.05359745804633145,-0.23711155507931247,0.1646129076031555,0.40184220661586484,-0.01411879008404107,0.08085452635753694,0.04465480587923871
acc_z_dyn__lower_complete_moment,0.15883771182334042,0.19234796325845652,0.268907825777574,0.3299082544331054,-0.17181719378716817,0.18913935640318133,-0.07142503293206225,-0.0157008686554684,-0.010622044412486166,0.11455344341102369,-0.1238252512022897,-0.024080948185117333,-0.23788703402526887,0.33413543158756487,0.09638948854772604,0.1142782531527058,-0.08266573741608849,-0.3308904301689274,-0.538144484028789,-0.02519996493276072,-0.13914336909102437,0.03315208972794009,-0.06514992915702635,0.05385728150624077,-0.03631440619835172,-0.030199761803765775,-0.14936663540562983,-0.03352139197261806,-0.029959917085134947,-0.07429582150753399
acc_z_dyn__variance_of_absolute_differences,0.16436942753179015,0.1660790521212605,0.3666482135493534,0.03720660758554944,-0.09659874141001286,-0.1641691891125108,0.028508531452070475,0.05838031787971651,0.39784996105543763,0.22328462069764476,-0.2044650342469562,-0.02809241510714767,-0.15281921587804137,0.17314854703381957,0.2751589385034386,0.016411944585636724,-0.04210825993349395,0.3163915071758004,0.32209501461387097,0.16026411060010246,0.06746218047046523,-0.018004833972639946,0.13670661888418656,-0.056389861121984027,0.166606770034451,0.06045605536461909,0.18226307610011863,0.061163163608389505,0.06121729315321705,-0.2426073073923779
