,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
acc_x_dyn__harmonic_mean_of_abs,-0.19057862581148308,-0.1081870684916913,-0.2882785648621557,0.3963609833567906,0.16702506761492633,-0.057002066376693306,0.014876877843006479,-0.007695590025541558,0.05573184638228019,-0.17924987677957108,0.14113665983003604,-0.3269737022376729,-0.12438139769164097,-0.006737751675848736,-0.04946564202463993,0.5613158201442724,-0.03331121661572904,0.12358642119856851,-0.27289941301349474,-0.05589127875957004,0.03607769878715449,0.00021202195983287682,0.181542722000205,-0.14950029970500298,0.15783912236973596,0.09864679225818836
acc_x_dyn__quantile_0.4,0.212142098187383,0.09540962940680417,0.20565249771896155,-0.34001884022602485,0.012666136171258054,0.11113878470775924,0.15266745552933308,0.10424677509125849,-0.019172607007405907,0.07365444245392654,0.24561002394810288,-0.09112220412305207,-0.04628671596747568,-0.06902090526900419,-0.2505485955585272,0.21925191018969423,0.5453660352187599,-0.039772137447878594,0.1348578580963614,-0.005495678376261742,0.2699873238532772,-0.10075656004434107,0.2889849529990622,-0.2211902489287011,0.12813131207386638,-0.0021534147347414823
acc_z_dyn__quantile_0.4,0.23429399913206572,0.07242213490208531,0.1394956337146977,0.19071710370958872,-0.17502699552072773,-0.014089922556872867,0.04524078807475521,-0.06472782092694596,0.04064577496623596,0.04803049405929934,0.1684324750117571,-0.0900216135192432,0.14072648369794744,-0.06192774950354653,0.27420264929537674,-0.04832038541638225,-0.014284300406178552,0.45589124332272546,-0.004521061128853551,-0.2948397605863381,0.4419024899557521,0.29995553172250755,-0.30521481648000987,-0.17505525922529241,-0.01861108818982667,-0.031254658032635343
acc_y_dyn__harmonic_mean_of_abs,-0.21727215633302896,-0.042381564672205024,-0.26010738860110805,-0.13652124185757575,0.15544303965358633,0.2784142890893673,-0.109026405117118,-0.04354325758458897,0.1207864720827161,0.34786285976066,0.11273120397917076,-0.2408152059819173,0.0019723132337139807,-0.13558158155302835,-0.18239198902093537,0.028365667971301023,-0.07380473068283257,-0.2745158066539047,0.22200893489130308,-0.011597273237303064,0.08701433932523299,0.5472119736972492,-0.1682055718573616,0.040637383501704614,-0.0031240793952210964,-0.1526162145628072
acc_y_dyn__sample_entropy,-0.14881466630443088,0.36377052218156675,-0.10399683792438717,0.015135795790257839,0.09587571061530087,-0.21522897613753428,-0.08047754724688579,0.06553223162123897,-0.4176643449062458,0.11475332243993118,0.117958797465659,0.0380347504591733,0.08003722800183943,-0.06402843150565496,0.2516933292952171,0.05572384043930592,-0.337543242667622,-0.16884662486174412,0.24642257952024144,0.08063132663526684,0.40922328370674754,-0.18200842889073912,0.2305947843828558,0.027116421181254007,0.11402157645277441,-0.10530862893961913
acc_z_dyn__sum_of_absolute_changes,-0.2304855281254584,-0.12714246883889627,0.12251127561923057,-0.11523088878280613,-0.1503670969628094,-0.14142515360546265,-0.1971938231393323,-0.09854169861784447,0.006883917428754169,0.0446253872720662,-0.21732517416904049,-0.141180879739465,-0.11230995455771507,-0.13787298139839307,0.054175596408443015,-0.24914376626067103,0.023222324522160415,0.10054209242637992,0.027707681527273945,-0.08783605651437039,-0.09422306949973804,0.026359413853963225,0.05932838821426221,-0.2128939028388192,0.7520934715747978,-0.046837049138348096
acc_y_dyn__avg_amplitude_change,-0.22920905417618526,-0.12340580212077608,-0.0006187877060557144,-0.02330181006677866,-0.21155260755521266,0.3310081155748443,0.03972025222612744,-0.01808934116341432,-0.07052146890809105,0.01494223531314131,-0.1354261334467358,-0.07216393686728477,-0.059434110211392686,-0.08230820282942469,0.038875377453868626,-0.18602685520787918,-0.023143323518433227,-0.043911795852445624,-0.12348886227171182,0.10505424152860386,0.367957485498118,-0.001578731959660014,0.13890287264180998,0.08595784740553196,-0.08079547411720465,0.7091831050902937
acc_z_dyn__quantile_0.6,-0.22821560853019676,-0.07248450077630139,-0.10214564764232593,-0.14341574560687254,0.0036992204493921663,-0.1016709530493445,-0.26695515335627656,-0.23917566736476084,0.12094827168395997,0.1864573045731324,0.24222892114702654,0.22123401420336755,0.27401560719631,-0.3267912599380772,-0.24525085252277407,-0.06434471236463767,-0.0081948168983399,0.4235590714978086,-0.1480211922085132,-0.08696954276734022,0.0003297631071225255,-0.13245042348752334,0.28768659032181454,0.17315763050958277,-0.16424747712991347,-0.058742118528889706
acc_z_dyn__variance_of_absolute_differences,-0.18025118096131892,-0.16565771031086254,0.29556220887394746,-0.2565884012732583,-0.27087524608312946,-0.2358286598678421,-0.1796056654693992,-0.041105295030848685,-0.3010370733058639,-0.12260851364820291,-0.20708985553141948,-0.365818632258404,-0.11744817696711973,-0.006703634042739206,-0.07809353621496883,0.19600792077828405,-0.10403385452769197,0.03192664092835555,0.04145426187485938,-0.07203624818574367,-0.019485508721652514,0.11196533205760469,0.052562567750341946,-0.14267725623487437,-0.4586414431767205,-0.1344473838722794
acc_x_dyn__quantile_0.6,-0.22541315190920905,-0.0973689668759384,-0.19125872219190387,0.258662381707822,0.021500581473098166,-0.1012405266257402,-0.11281410703742314,-0.011554088596637835,0.033556065558753324,-0.07064535891928611,-0.035805220340637454,-0.10973630017212521,-0.12514608727998341,-0.1490931438499566,0.008315364635087665,-0.08635559200643705,0.4061900279417059,0.039383300438597744,0.5409228957891835,-0.13358792987888118,0.056952430453478586,-0.3782224685434022,-0.308511802251588,0.0697746264912216,-0.1487129644247563,0.048455681135696
acc_z_dyn__sample_entropy,-0.17366748756326902,0.33007112311769465,-0.07485966325432149,0.11975870474858133,-0.05885614540334882,-0.05713779992880983,-0.1200626521505929,0.1613879084132005,-0.3251362771853444,0.004011044954248622,0.13519916049129777,0.10939868455134616,0.27961221475860687,0.07001191944533963,-0.20473645952101127,-0.05807354758100801,0.15424493871188644,0.12451719281573849,0.04626385774632668,0.1933532409404307,-0.3310630606152699,0.21602489850039314,-0.1512101059242844,-0.42531071315140667,-0.026660920250759106,0.2997499284575341
acc_y_dyn__variance_of_absolute_differences,-0.17069046682435635,-0.16746192440177562,0.028599398125746175,0.07481207691577747,-0.42064928209659397,0.5412291062273592,0.19159692488683502,0.010975664739052373,-0.31184385553389954,-0.1450938426506515,0.2091109246231698,0.15908268839602502,0.07977854134082464,0.018082181519190412,-0.08150260706917811,0.17558105939823365,-0.1388448491767337,0.07946138534093647,0.14429081829450557,-0.09338713055209698,-0.1200865678167152,-0.13037203306094616,-0.06585556119674595,0.10761493658653266,0.16278202537665187,-0.26313277737779217
acc_x_dyn__max,-0.12539799853552897,-0.2877529092891942,0.3768642084342479,0.21860563846495046,0.1381835041383348,-0.10490568861041058,0.2519041567244065,0.08220488439205349,-0.08575386590966423,0.5102512184060888,-0.19137439373741613,0.04270226414889611,0.3761880008036806,-0.1475238874234554,0.1591954336542267,0.2717717122245476,0.10482875051299922,-0.08763920206912827,0.005952694993539627,0.02618609593692743,-0.10440889189360524,-0.025425955992394403,-0.039801600220397325,0.06500973772856064,0.025866714883374026,0.07270368236164523
acc_y_dyn__quantile_0.4,0.18811769340949264,0.046801833814923845,0.09503941561479043,0.36395856189305065,-0.44075515262460724,-0.06958091896562438,-0.2894316559280071,-0.2729235640727457,0.11829852308496096,0.14122295085084094,0.08929966367227145,0.12027950189821958,-0.07542432712716692,-0.20928834266667237,-0.15909652562854262,0.07459373365130338,0.024867891052606752,-0.439120022025648,-0.17328899495799263,0.20856155151876302,0.10942499331223225,-0.09254092306489839,-0.08721133233093674,-0.15613750356674877,-0.018436704511751154,-0.08353388467990969
