PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.43695998394355623,0.43695998394355623
PC2,0.19731883160052663,0.6342788155440828
PC3,0.05860580301539414,0.692884618559477
PC4,0.05178811068364358,0.7446727292431206
PC5,0.042671423912487856,0.7873441531556085
PC6,0.04056733072722455,0.827911483882833
PC7,0.02453519041493259,0.8524466742977655
PC8,0.01977037714709824,0.8722170514448638
PC9,0.017071403682781542,0.8892884551276454
PC10,0.014182903493234505,0.9034713586208799
PC11,0.012673128655288577,0.9161444872761685
PC12,0.012102570418850666,0.9282470576950191
PC13,0.009565856719308666,0.9378129144143278
PC14,0.008987487589475754,0.9468004020038036
PC15,0.008545282504616262,0.9553456845084198
PC16,0.007323642725523296,0.9626693272339432
PC17,0.005832172195636869,0.9685014994295801
PC18,0.005048381983615389,0.9735498814131954
PC19,0.0047348297744869,0.9782847111876823
PC20,0.004243363903969735,0.9825280750916521
PC21,0.0033057766356382446,0.9858338517272903
PC22,0.0030770289444427717,0.988910880671733
PC23,0.0026550365801588397,0.9915659172518919
PC24,0.0023656256270142757,0.9939315428789062
PC25,0.0019473808063757755,0.995878923685282
PC26,0.0016177292503939489,0.9974966529356759
PC27,0.0011071871099064632,0.9986038400455823
PC28,0.0009056451291677838,0.9995094851747501
PC29,0.0004905148252498275,1.0
