,acc_x_dyn__harmonic_mean_of_abs,acc_x_dyn__quantile_0.4,acc_z_dyn__approximate_entropy_0.1,acc_z_dyn__quantile_0.4,acc_x_dyn__sample_entropy,acc_y_dyn__harmonic_mean_of_abs,acc_y_dyn__sample_entropy,acc_z_dyn__sum_of_absolute_changes,acc_y_dyn__avg_amplitude_change,acc_z_dyn__quantile_0.6,acc_z_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.6,acc_z_dyn__sample_entropy,acc_y_dyn__variance_of_absolute_differences,acc_x_dyn__max,acc_y_dyn__quantile_0.4,acc_y_dyn__tsallis_entropy,acc_y_dyn__katz_fractal_dimension,acc_x_dyn__cardinality,acc_x_dyn__variance_of_absolute_differences,acc_x_dyn__quantile_0.3,acc_x_dyn__quantile_0.9,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__approximate_entropy_0.1,acc_y_dyn__quantile_0.3,acc_z_dyn__lower_complete_moment,acc_x_dyn__katz_fractal_dimension,acc_z_dyn__katz_fractal_dimension,acc_x_dyn__approximate_entropy_0.9
acc_x_dyn__harmonic_mean_of_abs,0.0,0.7269269555197131,0.06037736688326689,0.5179751358367396,0.021988101606341043,0.5085098791464354,0.06003016022659643,0.6374735708228911,0.7138774645875675,0.40468145667396904,0.43391404333819694,0.46737117809320244,0.02693644469269291,0.5424067601079555,0.6931471551723899,0.6058136047041457,0.18283741726702402,0.017528808004466177,0.2533401371062619,0.4441649372693631,0.8303473016866036,0.8009778072593785,0.6048695723075237,0.04754063462703221,0.7121735804709052,0.43896682253451524,0.019798146410963995,0.02251655816189082,0.03015644681040946
acc_x_dyn__quantile_0.4,0.7269269555197131,0.0,0.06974694850211159,0.5132271056603611,0.005240394606473897,0.5488724685778797,0.024303737962052437,0.6011699347447088,0.7760889003275189,0.3593210532744658,0.41370495341897356,0.03452744972607081,0.012246413632106358,0.6166949256710572,0.6993433702991345,0.6002649887698945,0.17410235670262292,0.08893275694533763,0.2298744240573043,0.35855518060493774,0.9182788519440719,0.8028104616133674,0.6202830093962979,0.05642234023929267,0.7532606862000072,0.4532988783833852,0.047635829743269,0.010799517281863324,0.017982439077782228
acc_z_dyn__approximate_entropy_0.1,0.06037736688326689,0.06974694850211159,0.0,0.0488227059099158,0.4080616804050301,0.050062215421391124,0.3607930350775601,0.024263450977933566,0.02918314733590323,0.08212513806049153,0.06425197726926685,0.07344959495869183,0.500598601117681,0.009726803232857071,0.061979632239538146,0.002360662476363971,0.35080539274999806,0.17295682386658895,0.059836442430496656,0.003349196210147193,0.08088097875136133,0.01462439777154717,0.0880419614744017,0.5923011763137852,0.03143917675370195,0.01386887050981488,0.17918588258502216,0.09902128219272309,0.1348984121812253
acc_z_dyn__quantile_0.4,0.5179751358367396,0.5132271056603611,0.0488227059099158,0.0,0.01173384654082092,0.2898173767301083,0.030400084220030054,0.5549266283782321,0.45979443291841693,0.08082908954227624,0.3285774417424756,0.2750330823867444,0.04340769278875715,0.28215614226538593,0.5146782675559297,0.4821646284687452,0.15562592608541967,0.032359000636333596,0.2503935282735076,0.26677372211541406,0.5845058909714005,0.5379456599209563,0.6371616355971587,0.05455231374099482,0.44476698000266224,0.2068391371647809,0.044667653892899,0.07107178904041231,0.05058703636135842
acc_x_dyn__sample_entropy,0.021988101606341043,0.005240394606473897,0.4080616804050301,0.01173384654082092,0.0,0.0316964614886622,0.7319620399440814,0.045640323019516996,0.007219877714921151,0.04845965696138515,0.012362942112146773,0.01928293807846171,0.7717453463413616,0.009937129381763946,0.19315991847101227,0.03584718862612989,0.5037169956977886,0.5814854606126574,0.27987724733972286,0.01196692032973266,0.0033437134510624377,0.11188840082527514,0.03213206740883021,0.48787809583179553,0.03416514915213545,0.01367170449425862,0.7418844807109389,0.6113295081729508,0.7361419326873324
acc_y_dyn__harmonic_mean_of_abs,0.5085098791464354,0.5488724685778797,0.050062215421391124,0.2898173767301083,0.0316964614886622,0.0,0.1288529011107427,0.5916587652283328,0.7027464387421402,0.5211368993013149,0.4091079258993844,0.31281658849139643,0.04311178301294656,0.6126472737601957,0.6087378721716068,0.32019399678358024,0.16707001739429114,0.0410714142550464,0.21984688275290581,0.3642217173824907,0.6075231069031585,0.6627810929800392,0.5987292965948633,0.06967977420781962,0.6352970122381931,0.6091879963704614,0.0005068737097917903,0.04291990444790542,0.024955225647440172
acc_y_dyn__sample_entropy,0.06003016022659643,0.024303737962052437,0.3607930350775601,0.030400084220030054,0.7319620399440814,0.1288529011107427,0.0,0.0651276779784249,0.07986095557068792,0.01528013708480412,0.07037391453410984,0.04063174495853407,0.6607768310652268,0.10721318123185927,0.20658198532164224,0.056735851685757,0.582083743482185,0.754989005696276,0.24480960497022922,0.01801588176131533,0.04002372025968942,0.1376258519554133,0.03125071671796337,0.41718871529380924,0.10626622223070997,0.08937773749910342,0.5481254457443423,0.4981696089050945,0.5032350423258157
acc_z_dyn__sum_of_absolute_changes,0.6374735708228911,0.6011699347447088,0.024263450977933566,0.5549266283782321,0.045640323019516996,0.5916587652283328,0.0651276779784249,0.0,0.7734229244364824,0.6213987399508166,0.8177120382338618,0.4876226250425681,0.024047677422148903,0.6560131821916279,0.8236049627916089,0.3930493903684131,0.1263082428847372,0.09642666791775141,0.31860044365790047,0.6704087483344475,0.7359428023034827,0.7829089868644225,0.7217525950526416,0.03688834572042827,0.5611920632130243,0.7548238414019957,0.14876632967298753,0.04626936319471501,0.18461164895299198
acc_y_dyn__avg_amplitude_change,0.7138774645875675,0.7760889003275189,0.02918314733590323,0.45979443291841693,0.007219877714921151,0.7027464387421402,0.07986095557068792,0.7734229244364824,0.0,0.46207340529587737,0.5971182988139798,0.2411976557009956,0.03441659112630449,0.863241040278401,0.7815103667794004,0.6314622327039093,0.12505830782546226,0.10119363009227225,0.25839434562405644,0.5296656899426956,0.8279973203573474,0.8688877849269475,0.6731741692956854,0.03421437589299575,0.8742358479637756,0.6232452747702971,0.09788798412599742,0.02109636532770743,0.07233618068985175
acc_z_dyn__quantile_0.6,0.40468145667396904,0.3593210532744658,0.08212513806049153,0.08082908954227624,0.04845965696138515,0.5211368993013149,0.01528013708480412,0.6213987399508166,0.46207340529587737,0.0,0.4230230272895909,0.4260168467573344,0.017353082947404456,0.40229062604088767,0.48406449488054143,0.03378076364277829,0.1500966203265685,0.03762333467251097,0.20960716218375372,0.3466075480609485,0.45383137672346335,0.4908633535971542,0.6133217104487249,0.07463176659030232,0.298795129754769,0.7232052066540794,0.074649542499611,0.007297851504620013,0.06989573764446912
acc_z_dyn__variance_of_absolute_differences,0.43391404333819694,0.41370495341897356,0.06425197726926685,0.3285774417424756,0.012362942112146773,0.4091079258993844,0.07037391453410984,0.8177120382338618,0.5971182988139798,0.4230230272895909,0.0,0.30055340789795687,0.07419280619194803,0.6703388471724812,0.6979009649998323,0.3004232972598524,0.01804034762895467,0.07914444655623276,0.1587076655631971,0.8099293945463939,0.5205014204974197,0.5880449270090067,0.4384608316936615,0.03054680466633665,0.397558476203378,0.7064624692543426,0.10643893363525879,0.032762674774772516,0.13234004665471713
acc_x_dyn__quantile_0.6,0.46737117809320244,0.03452744972607081,0.07344959495869183,0.2750330823867444,0.01928293807846171,0.31281658849139643,0.04063174495853407,0.4876226250425681,0.2411976557009956,0.4260168467573344,0.30055340789795687,0.0,0.012613430336802619,0.10547543948814384,0.376563278257814,0.14263713582198959,0.13722787675656667,0.04043519453401593,0.2109814170219779,0.3320135952954504,0.3347612603949589,0.4019567929895622,0.3465921844022732,0.03292653984973923,0.1684820947988691,0.3048657217245154,0.029647537921346605,0.015537366473866191,0.015375811157604224
