PC,feature,abs_loading
PC1,acc_z_dyn__sum_of_absolute_changes,0.2291771887544422
PC1,acc_x_dyn__quantile_0.3,0.2211196739042743
PC1,acc_y_dyn__avg_amplitude_change,0.22110425988470794
PC1,acc_x_dyn__quantile_0.9,0.2185950928298957
PC1,acc_y_dyn__quantile_0.3,0.21586091197169618
PC1,acc_x_dyn__harmonic_mean_of_abs,0.20791363836005303
PC1,acc_x_dyn__max,0.20252987521023574
PC1,acc_x_dyn__quantile_0.6,0.20117980572276856
PC2,acc_y_dyn__sample_entropy,0.3176195436613396
PC2,acc_z_dyn__sample_entropy,0.2935436359082387
PC2,acc_x_dyn__sample_entropy,0.2928610424380686
PC2,acc_z_dyn__approximate_entropy_0.1,0.26782340870185933
PC2,acc_x_dyn__approximate_entropy_0.1,0.2612722835586814
PC2,acc_y_dyn__katz_fractal_dimension,0.24940474977709692
PC2,acc_x_dyn__approximate_entropy_0.9,0.23696921676796615
PC2,acc_x_dyn__cardinality,0.21932695561371865
PC3,acc_z_dyn__lower_complete_moment,0.5141116914080487
PC3,acc_y_dyn__quantile_0.4,0.42222857479700104
PC3,acc_z_dyn__quantile_0.6,0.36229245047441566
PC3,acc_z_dyn__quantile_0.4,0.3380755196940883
PC3,acc_x_dyn__quantile_0.4,0.2500442135771787
PC3,acc_z_dyn__variance_of_absolute_differences,0.23564246652942536
PC3,acc_x_dyn__quantile_0.3,0.20265321674927714
PC3,acc_x_dyn__max,0.20004051485504587
PC4,acc_y_dyn__tsallis_entropy,0.857393039203803
PC4,acc_x_dyn__cardinality,0.30844812662981463
PC4,acc_x_dyn__max,0.2123655217120883
PC4,acc_x_dyn__variance_of_absolute_differences,0.1328218058433232
PC4,acc_y_dyn__quantile_0.4,0.11522348696508031
PC4,acc_y_dyn__sample_entropy,0.11143973064812089
PC4,acc_y_dyn__quantile_0.3,0.09858924641792921
PC4,acc_x_dyn__approximate_entropy_0.9,0.09445151033217841
PC5,acc_y_dyn__variance_of_absolute_differences,0.3660380139831542
PC5,acc_x_dyn__variance_of_absolute_differences,0.34377016288712375
PC5,acc_x_dyn__approximate_entropy_0.1,0.30589201695091
PC5,acc_z_dyn__variance_of_absolute_differences,0.2965063066828273
PC5,acc_z_dyn__approximate_entropy_0.1,0.25282168849689873
PC5,acc_y_dyn__katz_fractal_dimension,0.23525764746133482
PC5,acc_x_dyn__katz_fractal_dimension,0.22256091668202707
PC5,acc_z_dyn__quantile_0.6,0.22161810698768672
PC6,acc_z_dyn__variance_of_absolute_differences,0.41352455685982936
PC6,acc_z_dyn__quantile_0.4,0.3611092011949879
PC6,acc_x_dyn__variance_of_absolute_differences,0.3417024217536715
PC6,acc_x_dyn__quantile_0.4,0.28069555438621474
PC6,acc_y_dyn__avg_amplitude_change,0.24680988335725207
PC6,acc_z_dyn__approximate_entropy_0.1,0.24513301246611202
PC6,acc_x_dyn__approximate_entropy_0.1,0.23035307916274383
PC6,acc_y_dyn__harmonic_mean_of_abs,0.22827035385536226
PC7,acc_y_dyn__harmonic_mean_of_abs,0.37635567543309434
PC7,acc_y_dyn__quantile_0.3,0.35004241750641524
PC7,acc_y_dyn__quantile_0.4,0.3498177512554948
PC7,acc_x_dyn__quantile_0.4,0.34245486652948465
PC7,acc_z_dyn__quantile_0.4,0.3190431129197433
PC7,acc_x_dyn__variance_of_absolute_differences,0.29523925366008824
PC7,acc_x_dyn__harmonic_mean_of_abs,0.2553626905304962
PC7,acc_x_dyn__quantile_0.3,0.23257370751416742
PC8,acc_z_dyn__quantile_0.4,0.5058262703576574
PC8,acc_y_dyn__quantile_0.4,0.4826637943483093
PC8,acc_z_dyn__harmonic_mean_of_abs,0.354525532366401
PC8,acc_x_dyn__quantile_0.6,0.2284680117296124
PC8,acc_z_dyn__approximate_entropy_0.1,0.22234656111535797
PC8,acc_x_dyn__approximate_entropy_0.1,0.20103038813492122
PC8,acc_x_dyn__variance_of_absolute_differences,0.19957713493971563
PC8,acc_y_dyn__quantile_0.3,0.19839631352548961
