feature,nan_ratio,variance
ppg_mean,0.0,2170926070.952797
ppg_std,0.0,153749320.65894595
ppg_p95_p5,0.0,1062964073.4350336
ppg_p99_p1,0.0,3716760833.2891507
ppg_trim_mean_10,0.0,2183759860.5891075
ppg_mean_abs,0.0,2170926070.952797
ppg_rms,0.0,2117687464.4652913
ppg_crest_factor,0.0,0.07233347551892447
ppg_shape_factor,0.0,0.0001751578974643683
ppg_impulse_factor,0.0,0.089348322204101
ppg_clearance_factor,0.0,0.09679220322611967
ppg_mean_cross_rate,0.0,0.00025345634666015533
ppg_tke_mean,0.0,6878366137090257.0
ppg_tke_std,0.0,1.1039249219474572e+18
ppg_tke_mean_abs,0.0,6878366137090257.0
ppg_tke_p95_abs,0.0,3103403.2004507645
ppg_dx_mean,0.0,11821.429115126533
ppg_dx_std,0.0,13197891.586473176
ppg_ddx_mean,0.0,45.34981175206751
ppg_ddx_std,0.0,26241194.511408623
ppg_dx_kurtosis,0.0,1274.2770562319665
ppg_p90_p10,0.0,661619051.1129501
ppg_p99,0.0,3687909416.554572
ppg_p95,0.0,1925816682.8586252
ppg_diff_mean,0.0,11821.429115126533
ppg_min,0.0,3131463790.2209377
ppg_max,0.0,3803357175.09731
ppg_range,0.0,3958672223.4905562
ppg_median,0.0,2240728103.8934593
ppg_iqr,0.0,274028580.91148525
ppg_mad,0.0,48983191.43195604
ppg_skew,0.0,1.1227787698720306
ppg_kurtosis,0.0,16.398081020507643
ppg_diff_std,0.0,13197891.586473176
ppg_p90,0.0,1808350806.6297812
ppg_diff_mean_abs,0.0,431656.7146951643
ppg_diff_rms,0.0,13194327.019246543
ppg_signal_rms,0.0,2117687464.4652913
ppg_signal_energy,0.0,3.688972049187724e+25
ppg_zcr,0.0,0.0
ppg_p1,0.0,3098461910.0789075
ppg_p5,0.0,2967189462.547408
ppg_p10,0.0,2831020252.2001023
ppg_ddx_kurtosis,0.0,682.7402019911196
