,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
ppg_std,0.3142010275124867,-0.0550764900704857,-0.10957935843205442,-0.029621223321853976,0.008328020995359954,-0.018069356790311637,-0.026800567922579333,0.05937968169635226,-0.10897350628550016,-0.0019280662197056079,0.08627700203163821,0.23421092554324033,-0.033195728014130836,-0.11058090063683906,0.03743877005349904,-0.049335669061103454,-0.06448118923916878,0.3887922572570717,0.7913044993177409,0.08477945214038225,0.02661531739564877
ppg_iqr,0.22848166018873528,-0.27004853324657246,-0.26614505980285935,-0.0028195884642843055,0.032634829382874465,0.05727046872206951,-0.00021287425649356195,-0.1736236601490148,-0.33078224180679855,-0.034306997115719114,-0.10750612336725518,-0.19201072705824795,-0.1246558408377441,-0.4400730918700163,0.5262936415948087,-0.27544494450645046,0.11276006885163027,-0.09529929508823749,-0.16290276890199623,0.007606948327221793,-0.008293667052371168
ppg_mad,0.22868299450619853,-0.2618964270339398,-0.21767230174699978,0.01982627098302863,-0.034008584385477596,0.0629347929389193,0.0074991387168836954,-0.24695151093611253,-0.352255412407052,-0.14973255383765144,-0.03555067192452077,-0.43254840622061785,0.15193062866178866,0.5685012549464162,-0.2579022234279328,0.024519453706301514,-0.11861211843084442,0.03279421301304321,0.03985867959460895,-0.011102631230459261,0.008249935746268032
ppg_skew,0.16716549451262833,0.21785792518272293,0.17837341282718372,-0.18669052547748882,0.08580385363401224,-0.2682804103626777,-0.1722306995844639,-0.7566644402142385,0.13718356978111934,-0.14329460133032557,-0.25536665605307396,0.1658404377132673,-0.13628404005549064,0.015529105409789223,0.051368076020852284,0.13246886783191195,-0.057753573179686456,0.030970974980205988,-0.012819654685869968,0.02872285513294328,-0.005382992287232321
ppg_kurtosis,0.17403670918405442,0.31024873812706466,0.20487017617263675,0.09116522035824119,0.08731504692317782,0.07545900116589416,0.07453717958089728,0.3947657108895212,-0.3026984913315448,-0.4027913318314634,-0.5772064660405026,0.05734847353716273,-0.07091821181637958,0.10091356776186926,0.12570920696200136,0.14454970460281924,-0.008821399789069175,-0.07605592862679877,0.010867786300446014,0.007242972199490493,0.013917000379276873
ppg_diff_mean_abs,0.2921582403239027,-0.010828915751639166,0.09614142183944158,0.16330254903027552,-0.22959533118491265,-0.06136101393079222,0.006461428608651833,0.02282174060804732,0.2763555436534538,-0.24827099241589284,0.22134032017712635,-0.19857908466709384,0.010452143305882063,0.07535084995538674,0.14650272520259314,0.26857494146120436,0.7009348162596906,0.034007835731108105,0.030566149372720543,0.04801149632117212,-0.007034123567425487
ppg_p10,-0.1687175827296355,0.35634714156794023,-0.3343528906436326,0.07698349033339262,-0.19156652872880778,-0.011632365645624516,0.011119294162376538,-0.02951803352212857,0.020435436536489604,0.044376591353812785,-0.07561031041153006,-0.21383354151713704,-0.02824464987947874,-0.06587644797537653,-0.007050554361121758,0.05086719072476318,-0.05379167081309195,0.11023664957509118,-0.02565322381858211,0.765715854576014,0.15930165957951867
ppg_p95,-0.012568605701837727,0.3072132798821053,-0.5389872730326113,0.1032349241769559,-0.2750471697060949,-0.014461749502365525,0.008451495944792595,-0.03728351395262615,0.0669566768248629,0.10434218076597074,-0.08221271587245069,0.1735977540321972,0.02906412724439478,0.17118498036467847,0.1558556389048782,0.05046838130184161,0.004232637757944256,-0.2361364321319743,0.11201852317049428,-0.26799815092518753,-0.5268525218324993
ppg_p99,0.14925866130447937,0.40952193709196166,-0.2714683546864546,0.012364771105994942,-0.14531065373017923,-0.08618723680978228,-0.05568757539932576,0.017181686329185125,-0.045180848827385815,-0.01026064136324131,0.028073452673097854,-0.09257147833051506,-0.03312037584071714,-0.1722136559088891,-0.2549519887102447,-0.14048962606505294,0.06390499769533005,0.17218998631152138,-0.12167372678693308,-0.48169027609876763,0.5446706695531653
ppg_p90_p10,0.2572308157699992,-0.259614733417806,-0.20833575316493128,0.028459825861177748,-0.004240341311354282,0.023431665819993286,0.010894593466755205,0.019579748504386325,-0.03465739217293903,0.026312152928169897,-0.10791274758309147,0.1607538258278542,-0.0672702051271032,-0.4081803256871031,-0.5083552794180102,0.4800052296179575,-0.008026980384611046,-0.3336801068843434,-0.04100957880029417,0.09218500227797963,-0.014696059860226679
