,ppg_mean,ppg_std,ppg_min,ppg_max,ppg_range,ppg_median,ppg_iqr,ppg_mad,ppg_skew,ppg_kurtosis,ppg_diff_mean,ppg_diff_std,ppg_diff_mean_abs,ppg_diff_rms,ppg_signal_rms,ppg_signal_energy,ppg_zcr,ppg_p1,ppg_p5,ppg_p10,ppg_p90,ppg_p95,ppg_p99,ppg_p90_p10,ppg_p95_p5,ppg_p99_p1,ppg_trim_mean_10,ppg_mean_abs,ppg_rms,ppg_crest_factor,ppg_shape_factor,ppg_impulse_factor,ppg_clearance_factor,ppg_mean_cross_rate,ppg_tke_mean,ppg_tke_std,ppg_tke_mean_abs,ppg_tke_p95_abs,ppg_dx_mean,ppg_dx_std,ppg_dx_rms,ppg_dx_mean_abs,ppg_dx_p95_abs,ppg_dx_kurtosis,ppg_ddx_mean,ppg_ddx_std,ppg_ddx_rms,ppg_ddx_mean_abs,ppg_ddx_p95_abs,ppg_ddx_kurtosis,ppg_hjorth_activity,ppg_hjorth_mobility,ppg_hjorth_complexity,ppg_perm_entropy_o3,ppg_perm_entropy_o4,ppg_sample_entropy_m2,ppg_dom_freq_hz,ppg_dom_bpm,ppg_dom_psd,ppg_bp_0p1_0p5,ppg_bp_0p5_1,ppg_bp_1_2,ppg_bp_2_3,ppg_bp_3_5,ppg_bp_0p5_3,ppg_bp_total_0p1_5,ppg_bp_ratio_0p5_1__0p5_3,ppg_bp_ratio_1_2__0p5_3,ppg_bp_ratio_2_3__0p5_3,ppg_bp_ratio_3_5__total,ppg_bp_ratio_hr_total,ppg_spectral_centroid,ppg_spectral_spread,ppg_spectral_skewness,ppg_spectral_kurtosis,ppg_spectral_entropy,ppg_spectral_slope,ppg_spectral_rolloff_80,ppg_spectral_rolloff_85,ppg_spectral_rolloff_90,ppg_spectral_rolloff_95,ppg_spectral_flatness,ppg_psd_peak_median_ratio,ppg_psd_peak_mean_ratio,ppg_dom_bandpower_pm0p1,ppg_snr_dom_band,ppg_harm2_bandpower_pm0p1,ppg_harm2_to_dom_power,ppg_autocorr_peak,ppg_autocorr_lag_sec,ppg_autocorr_peak_width_sec,ppg_autocorr_peak2,ppg_autocorr_lag2_sec,ppg_autocorr_peak2_peak1_ratio,ppg_autocorr_energy_hr
ppg_mean,0.0,0.13072546253875295,0.22070038975033296,0.10973603842872205,0.155025291057648,0.38310866168597907,0.09797712441041122,0.0995849606710836,0.1637985550240891,0.0692449368423849,0.2449176291697056,0.1530486332495811,0.1429078906308369,0.153050545740193,0.13096592447053487,0.09116670119299129,0.009368981673530143,0.2019062395759692,0.10715760423079056,0.11365002276417693,0.04785401790313375,0.09055278693431426,0.09112962830030427,0.08859811645482692,0.10461363348404855,0.1355800012990268,0.3228005820412006,0.12118579453871828,0.13096592447053487,0.03968351534980469,0.05798708757191301,0.06300440692431243,0.07116614163526032,0.03153493237803373,0.11818206061537817,0.12154297193112175,0.11184493764936504,0.0590863690930924,0.2449176291697056,0.1530486332495811,0.153050545740193,0.1429078906308369,0.17207138613860168,0.0919806685066555,0.6751670866473707,0.1606705984085904,0.16068142381310058,0.14048626650993917,0.10804154536185316,0.06757172817041837,0.09095009030264725,0.04100002064039049,0.0067590208975610525,0.010859555523974046,0.009890014061323995,0.022884341994273746,0.01256891347492766,0.012568913474927654,0.045668524532138245,0.05213207053350751,0.04242393238467801,0.03101633994073018,0.04428347060177648,0.047255899724597906,0.04027258411257546,0.04124571334002857,0.009756145148380548,0.011781253570375416,0.0003970036087841394,0.011462986787287542,0.020900537228353857,0.00847578537334803,0.0040764381120722525,0.04355216684365083,0.1428603494009179,0.0003270365202963377,0.003025792806372101,0.0014692162235266147,0.006408700458440949,0.015195488230052793,0.018264149814207205,0.03053049403644817,0.02370606683055754,0.0018430149743216989,0.047159151000497924,0.021390420378769225,0.026719955137025936,0.03724919475185238,0.03329689268127758,0.017572941012163435,0.05510238181618618,0.005210979920265011,0.03823351833011555,0.03357885034730496,0.024934674887735847
ppg_std,0.13072546253875295,0.0,0.9596975635268993,0.963666438877167,0.9835382295740813,0.19454572831276337,0.6661213174353611,0.6689531853054964,0.39289037861840487,0.24409247582546853,0.1614968192166969,0.9895704002917268,0.9567853440731123,0.9895705747729344,0.999999723445999,0.9328730587743134,0.09806084971637827,0.9603125048808648,0.976026396983998,0.9509732862818914,0.8099236873904522,0.8019640912682642,0.9591868948390851,0.9142890894295375,0.9433927251778222,0.9899120216331668,0.7447077736768676,0.9680437909457695,0.999999723445999,0.1207322673319573,0.1631067390466683,0.14109426206855502,0.04371566341285335,0.0597184878043139,0.9231387737839095,0.909915421187702,0.9237260861709924,0.8872219636924864,0.1614968192166969,0.9895704002917268,0.9895705747729344,0.9567853440731123,0.9581209115662499,0.5333222787746884,0.02692042056376792,0.9785609195311153,0.978562452952421,0.9499412734335596,0.9602119977568006,0.38989142521833275,0.9328094281368359,0.13365366843058846,0.2502559050601898,0.08191777006843869,0.08434627054286739,0.1516647988327558,0.06863325331399349,0.06863325331399338,0.8019637690272831,0.8224099343126422,0.7875837298746398,0.665663655750557,0.6229630089542814,0.7687806790118784,0.7583276390643876,0.7668236759113757,0.007101092782708039,0.006607286447692767,0.051107628107816466,0.021688180258333405,0.20263124410374758,0.0535685403618252,0.16407204384435908,0.1929821832687504,0.14527819940981618,0.29176161608600354,0.2322827040604616,0.025238621738327964,0.04303333491500654,0.0926231565704861,0.14022284651303157,0.2525651686699509,0.2140725876116746,0.30457608729802155,0.7634609068948308,0.173271963397833,0.7121125020342728,0.11440601225840967,0.19733352897838596,0.19649595462805935,0.3317987356830275,0.14803542300766181,0.049380962623280164,0.0499373852559822,0.11308791290601804
ppg_min,0.22070038975033296,0.9596975635268993,0.0,0.9085660404501507,0.9640563235555817,0.15255817402018562,0.5753612816841002,0.5779438333265083,0.2621074415204445,0.30003281796391545,0.1767547026073247,0.9657396211765411,0.9038063284234936,0.9657398799759382,0.9597435320279848,0.8826461175689593,0.09080848089471849,0.9902282182999349,0.911222800088268,0.8733080847383514,0.7579728852428779,0.7825390180437799,0.8891731914960104,0.8456146195254359,0.8947799100302614,0.9551871849922132,0.6339032673151083,0.9109347751260004,0.9597435320279848,0.1802188069885575,0.22211365630033117,0.20210471780114356,0.10499588137013421,0.07288003225102166,0.8894395200980314,0.8906099659587553,0.8920114439103857,0.8338717601818252,0.1767547026073247,0.9657396211765411,0.9657398799759382,0.9038063284234936,0.9240193820555608,0.6071233759943968,0.046442926170028945,0.9687581682502733,0.9687607837252088,0.9002717570430512,0.8929921333997987,0.4693983971118177,0.8825367309201148,0.1577571670572922,0.22838157857592248,0.07357163245769477,0.07599997569079957,0.19657627099632116,0.07071624128836787,0.07071624128836788,0.7408273484939898,0.7722890095477325,0.7266373571271101,0.6013590726474043,0.5588406595014959,0.7236538196327224,0.6916140160023342,0.7009636993711833,0.00414053189929694,0.01726704516081553,0.04169590564977861,0.0218605573785564,0.15786341637755313,0.03471664400632982,0.146160814186066,0.22181365877217504,0.25340766478464766,0.26814142165944915,0.20599869532179024,0.01106254806600677,0.026303473633244492,0.07405257367238983,0.1220566574265753,0.2366072954252312,0.2032228127630565,0.2861038697555725,0.7048741429499331,0.17691684594003904,0.6378865166344367,0.09320955054126874,0.22804109503673675,0.1873833739318962,0.31881663376157027,0.1840217374956307,0.06151089766328499,0.040413856595578466,0.14701478827136608
ppg_max,0.10973603842872205,0.963666438877167,0.9085660404501507,0.0,0.9869018332852523,0.24312881477563145,0.5272433021673085,0.5303688171856488,0.4593900352019106,0.3593016912731306,0.14998062906237197,0.9738740178691893,0.8923864629198399,0.9738737795137303,0.963639776526298,0.9322586766967851,0.11088115303886406,0.88724949624108,0.9102285896213174,0.869318983930771,0.6615936213856335,0.660101177521164,0.9967148083580649,0.8025117503913709,0.8433890641533452,0.9871238064841077,0.824915970510643,0.8815440299348041,0.963639776526298,0.2257660179613133,0.25169952698906806,0.24528617763422653,0.13287985591489215,0.07706480032700175,0.9441491820276401,0.9319307746117629,0.9346582182535429,0.8625779970942139,0.14998062906237197,0.9738740178691893,0.9738737795137303,0.8923864629198399,0.9000722503947681,0.5782286497247502,0.015185409643579909,0.9554288015471473,0.9554270137558605,0.8963363591689585,0.9383145813116316,0.4145531842436523,0.9322112453379194,0.14119206246289395,0.14976594946485908,0.04541569694328926,0.04815035909402815,0.20711204688782758,0.0430906026015612,0.04309060260156115,0.7618277667423444,0.7585373308944963,0.7657242260984556,0.7323175836802048,0.7013156876693339,0.748268589946583,0.789214091587921,0.7929527569693898,0.038672246549485194,0.01859039719089335,0.09358368199095382,0.01116113564436364,0.14734912979650078,0.07081891433576448,0.1394697650341922,0.09873282109640431,0.08114166409183823,0.2720998090453886,0.18196767805391986,0.04709047384138161,0.06172432206875646,0.09987344853990258,0.12821891155286963,0.23740836158040896,0.1504744872775426,0.29000506158126427,0.7358411925389662,0.1662011247482656,0.7785527951829085,0.13055330070804694,0.21553078661847858,0.11675014058229267,0.2506407440493289,0.17669027550140531,0.07492424565760698,0.02887069148702622,0.15441189870392477
ppg_range,0.155025291057648,0.9835382295740813,0.9640563235555817,0.9869018332852523,0.0,0.21355279665339225,0.5575362113232526,0.5605214688994884,0.3934078301839302,0.34439406134900585,0.1636514481560412,0.9923639067993376,0.9166177920093873,0.9923638551392834,0.9835390233573973,0.9338063252388443,0.10559239095164741,0.9467246255568192,0.9308300737387147,0.8901683612661613,0.7135080378280712,0.7220456605100586,0.9773232701527885,0.8369820660064103,0.8819679500306864,0.9967161277305312,0.7694739309611497,0.9124744678942832,0.9835390233573973,0.21319134701679912,0.24586477642614696,0.23405867677723902,0.1250631748071621,0.07716046515370915,0.9439925540397428,0.9366732210533177,0.9389491882157619,0.8706514683374801,0.1636514481560412,0.9923639067993376,0.9923638551392834,0.9166177920093873,0.929312031059466,0.6022304468674002,0.02759362595174495,0.9817978005320671,0.9817976734702083,0.9177650941363678,0.9416534817119612,0.4449409777278641,0.9337339146669242,0.1507252080397923,0.18345200268798356,0.057297614888275034,0.05997472475151507,0.20764364481295688,0.05471608841578494,0.05471608841578477,0.7706392320153941,0.7806961618436287,0.7676376711570959,0.6980103266187107,0.6618724210199011,0.755383106884339,0.7690528429346705,0.7750413942726303,0.022997916341126173,0.005156007927347366,0.07562446415755489,0.015540908933642445,0.15468234795680394,0.05845005196135715,0.14515152534248302,0.14845678085105307,0.14946906333954021,0.276614917105431,0.19528967300868605,0.034223277325656255,0.04941660442949574,0.09212036667408682,0.12868712686932432,0.24237220451593017,0.17418692742155384,0.2949399597692498,0.7402265758793899,0.17403086337163795,0.7415235776353271,0.11903179808652373,0.22514923890212624,0.14662024763069864,0.28253579342763757,0.18344607175099914,0.07140850272282043,0.03396965465100432,0.1549850268067054
ppg_median,0.38310866168597907,0.19454572831276337,0.15255817402018562,0.24312881477563145,0.21355279665339225,0.0,0.20722839935817156,0.20446899428043314,0.27733180985716777,0.06077729016134251,0.09242105620530426,0.2115702407245266,0.22053730539388305,0.21157087792527657,0.19467105966902026,0.16298971238175705,0.00011177922256973318,0.12214624783461386,0.14492035297577183,0.17668772332465713,0.17371173110087368,0.1366137010839635,0.24151323782892664,0.17968254104704068,0.14734704950801636,0.2043480159261637,0.38107118470714335,0.1920321804535248,0.19467105966902026,0.01966554120571138,0.003494235353914554,0.019051694792461604,0.009709333842000503,0.017618499296508067,0.19401702303620624,0.18248072538819046,0.17942503856052308,0.11124987086726434,0.09242105620530426,0.2115702407245266,0.21157087792527657,0.22053730539388305,0.21220789465207893,0.07599331845076342,0.2131355383951381,0.19442478458402876,0.1944305557830901,0.2085976628759672,0.21021523272692072,0.045131998055226864,0.16287022571820872,0.09452883262866388,0.013656628462646632,0.026858687238753443,0.03132099646657252,0.016444147971643668,0.04932419167303133,0.04932419167303135,0.18076456700925464,0.19075274579870774,0.1846906503828053,0.22957182602083637,0.268899849089935,0.1952035012655448,0.22857423413273448,0.2278908270995203,0.11317943266614701,0.10517603659700704,0.10201839882394348,0.04889587217579665,0.04964880985371563,0.10047195842891193,0.07838060198438351,0.025477362006686273,0.04844460064832694,0.05445463674650882,0.07900104017323802,0.10534681761162112,0.11025129061180201,0.10019992728365776,0.07353280166077769,0.07315217337662688,0.050657020980227487,0.02911863504691575,0.17245847424331867,0.008783600481131384,0.25291588845609453,0.04257880742114051,0.004351551866052227,0.027714130284042134,0.05421418761500057,0.048902985771784466,0.019847667983286348,0.02756471267156253,0.01698987572607059
ppg_iqr,0.09797712441041122,0.6661213174353611,0.5753612816841002,0.5272433021673085,0.5575362113232526,0.20722839935817156,0.0,0.998703087624485,0.2960895900457529,0.2301588818781075,0.15554383823906012,0.6144885949657216,0.80983441796699,0.6144899875899978,0.6662013949010599,0.46605631022488747,0.019012572540308376,0.6047541344096431,0.6909556529404457,0.8086903269868086,0.9068955906760743,0.7505528736021508,0.5310746237048669,0.8696233725059335,0.743659610637597,0.5755022619480004,0.37503464510105805,0.8193567075361585,0.6662013949010599,0.28310005800779436,0.3042807823274842,0.30328052380770615,0.3414174871542228,0.08492707924161852,0.43562992700009767,0.4049534435684445,0.43928535208501096,0.4469468190722913,0.15554383823906012,0.6144885949657216,0.6144899875899978,0.80983441796699,0.7171432827092425,0.04145104038443481,0.05889037056419237,0.5900620062740728,0.590079580777293,0.7550259382384812,0.6391451071663747,0.03249091381670916,0.4659738494033714,0.10856819830854604,0.4542530879182034,0.2120467479578857,0.20934495191706423,0.270117397611723,0.08535741981203272,0.08535741981203258,0.45493237329817116,0.4950373245395662,0.40487474912285165,0.2907085359992024,0.2674793442877868,0.37548138856580465,0.3591700949774512,0.36689495575724035,0.004305776926317205,0.005592743622216842,0.0015063241847498214,0.020306972597649443,0.36826946180068715,0.07320705371813385,0.2441924093138858,0.31464871129406363,0.12566954775890896,0.33085206004730644,0.3540373274319864,0.04910996644038161,0.07373760715037637,0.12618433124967596,0.18414726755194055,0.2868371720994726,0.3596254718481552,0.28240861219816954,0.39513442012629346,0.14825457596753422,0.3296462688411264,0.11619646464216211,0.06873301624389117,0.41409587620435223,0.446741731316645,0.015538589169043191,0.14125609775320547,0.1453996877556745,0.0025367111654622746
ppg_mad,0.0995849606710836,0.6689531853054964,0.5779438333265083,0.5303688171856488,0.5605214688994884,0.20446899428043314,0.998703087624485,0.0,0.2965924067599269,0.22561780480864652,0.15380988295663103,0.6175882042163806,0.8127473539379738,0.6175895954883757,0.6690360958144211,0.46817296712371065,0.016194973611239588,0.6070091317712466,0.6937199466725041,0.811763296919714,0.9092958084333751,0.7516211822843728,0.5340543474944686,0.8724861735740179,0.7458326550120684,0.578304151652551,0.37999679069190123,0.8217348667458907,0.6690360958144211,0.2784314970998556,0.29912587662077705,0.29858525091971677,0.3373341040187828,0.08219967363519333,0.4379218228099852,0.40702238347963493,0.4415965541922112,0.44996393530313056,0.15380988295663103,0.6175882042163806,0.6175895954883757,0.8127473539379738,0.7207462384385924,0.04493381093395793,0.05500476202346736,0.5930257540672527,0.5930431509845452,0.7579617270755128,0.6420966813179911,0.0349929505255584,0.46808723905876765,0.10604093056853707,0.4527997156135524,0.20973065042508318,0.20706395956100987,0.265443037960739,0.08989175844145532,0.0898917584414551,0.45705383878547545,0.4954839424973666,0.40748517095882414,0.2928242633184456,0.2694551330828381,0.3782478107291421,0.3616301602277429,0.36932556504172914,0.007663078017741392,0.009523245301379537,0.0012242396072480216,0.02249954564877531,0.3654751973463558,0.07016545289637462,0.24290178119449946,0.3120562112279545,0.12502471954367073,0.3334359057244016,0.35091300183893537,0.04723579570312146,0.07180004187485003,0.12433260774945575,0.1820964906279989,0.28886798099410477,0.357112885092291,0.2863628526224065,0.3978041088524859,0.1550244736782735,0.33287080677008934,0.11660060981065501,0.07536909846334829,0.4153153637522183,0.44650680147476973,0.01036651398469122,0.1435483712008259,0.1475190811373691,0.004772873599018842
ppg_skew,0.1637985550240891,0.39289037861840487,0.2621074415204445,0.4593900352019106,0.3934078301839302,0.27733180985716777,0.2960895900457529,0.2965924067599269,0.0,0.10167840944731471,0.019622587969709622,0.39107152901001624,0.39392016691101595,0.39107128971695065,0.39286105538549293,0.3478287896562137,0.17795991142330572,0.25262261528422175,0.36911746736743106,0.38731354263709145,0.29936838915091823,0.24438574675515112,0.4676195150284202,0.35949285891191185,0.3323514465353911,0.40171020274715946,0.47514587147066345,0.37631176423702306,0.39286105538549293,0.1776729195374589,0.21943215472994668,0.2115145859404909,0.2990083269175334,0.22630028683358835,0.3561888088860551,0.33978759937086467,0.3466502647316784,0.31515585414821073,0.019622587969709622,0.39107152901001624,0.39107128971695065,0.39392016691101595,0.3632610220188151,0.10864490242909812,0.12081004563069532,0.36020711186654836,0.36020796395581767,0.3817677120491111,0.39410038067532377,0.09863001141790875,0.3478485763269578,0.28788436872003326,0.3222284681358475,0.3076954173556306,0.3200381857169362,0.17841718099951845,0.1664520722369236,0.16645207223692327,0.287612593342006,0.26173272883804233,0.2933078651598011,0.34829085307813484,0.3366995890364223,0.2839447836365922,0.34246552177135864,0.3403552778598412,0.2847180815075653,0.27669077971029793,0.21565771720459984,0.10853539186357349,0.3857411846174289,0.2960067116226203,0.31303316682852655,0.19481821807330163,0.03815435643234402,0.32661427556433775,0.4050661915319066,0.23171869922194757,0.2635178048745568,0.2886932965402115,0.3090188922399118,0.2350530069008022,0.39690524978022496,0.26180845651549745,0.2800560657944643,0.030450659522057888,0.3708069471185456,0.17255304276882233,0.08920430385266946,0.23072660865110917,0.2721439749600436,0.10885397240843425,0.012712630451701238,0.05304525088312096,0.049652237733827785
ppg_kurtosis,0.0692449368423849,0.24409247582546853,0.30003281796391545,0.3593016912731306,0.34439406134900585,0.06077729016134251,0.2301588818781075,0.22561780480864652,0.10167840944731471,0.0,0.06056305908756748,0.2883287207695878,0.10329951973407421,0.2883279948510661,0.24413880136954288,0.3087240422971566,0.48309678677882323,0.2576768078987914,0.15748928116421482,0.06101808045373865,0.12114269391176537,0.01130843536536402,0.3472994915150911,0.01444292656334605,0.09387787351297515,0.32463849357911867,0.304332048473193,0.09132686268921424,0.24413880136954288,0.9478576495539154,0.9239604571717945,0.9644183284635982,0.8672539915848824,0.5360523905098995,0.3456843175535913,0.35668191649316866,0.3340681255535773,0.25698658280329073,0.06056305908756748,0.2883287207695878,0.2883279948510661,0.10329951973407421,0.16847454459829272,0.7660959067626647,0.02805867388815748,0.2889622549421163,0.2889649339191404,0.13318090866001686,0.21953981278657536,0.6279877258290505,0.30867498222273515,0.355492985319286,0.567699676835102,0.5509749028850187,0.5586024807643938,0.7525044918813947,0.27237262400226914,0.27237262400226947,0.19408103969206564,0.17647891140714647,0.2155505778696353,0.29945233072606303,0.2998493463528162,0.223270725226398,0.2787319647133134,0.2755735370890968,0.3528990268818054,0.3703935481970219,0.1743948883542831,0.2462428024592215,0.6013294690541868,0.4240376627850296,0.4422587476058948,0.39452147079388467,0.03100603828012477,0.26282109392554576,0.6046249027644346,0.35092122425569655,0.3638698353315105,0.3897062800613599,0.4258316336192424,0.18682881458359057,0.5920845932016153,0.11701065722183006,0.2020070694051375,0.19876159289775616,0.31096658140511685,0.07711990021096096,0.527992545231591,0.40874947837397224,0.295299844596332,0.5043941724486658,0.17036506080305383,0.04222164045405813,0.4198057745185233
