feature,nan_ratio,variance
ppg_harm2_to_dom_power,0.001402524544179523,0.1034769083585646
ppg_harm2_bandpower_pm0p1,0.001402524544179523,350289050653989.94
ppg_mean,0.0,24870.92855105463
ppg_bp_0p1_0p5,0.0,92848067677870.34
ppg_bp_ratio_2_3__0p5_3,0.0,0.004517745122052139
ppg_bp_ratio_1_2__0p5_3,0.0,0.05177392818298638
ppg_bp_ratio_0p5_1__0p5_3,0.0,0.07400279987142656
ppg_bp_total_0p1_5,0.0,9.866119001289146e+16
ppg_bp_0p5_3,0.0,8.653514445016189e+16
ppg_bp_3_5,0.0,164544133358544.75
ppg_bp_2_3,0.0,1871727197079703.2
ppg_bp_1_2,0.0,1.7122599353188214e+16
ppg_bp_0p5_1,0.0,1.916113571357325e+16
ppg_dom_psd,0.0,1.4031266362462269e+17
ppg_bp_ratio_hr_total,0.0,0.026873046711558705
ppg_dom_bpm,0.0,384.4320641109116
ppg_dom_freq_hz,0.0,0.1067866844752532
ppg_sample_entropy_m2,0.0,0.03690373620748658
ppg_perm_entropy_o4,0.0,0.006163310932067676
ppg_perm_entropy_o3,0.0,0.004347378151925116
ppg_hjorth_complexity,0.0,0.1706187054289702
ppg_hjorth_mobility,0.0,0.004979706201346698
ppg_hjorth_activity,0.0,7.640282760832509e+16
ppg_bp_ratio_3_5__total,0.0,0.00245992831294238
ppg_spectral_spread,0.0,0.054389526449496475
ppg_spectral_centroid,0.0,0.13175889724294637
ppg_ddx_p95_abs,0.0,3540528.873535222
ppg_autocorr_peak2_peak1_ratio,0.0,0.11032648411869615
ppg_autocorr_lag2_sec,0.0,0.46326531054460446
ppg_autocorr_peak2,0.0,0.016664004164217212
ppg_autocorr_peak_width_sec,0.0,0.03140761957603631
ppg_autocorr_lag_sec,0.0,0.21961011127006172
ppg_autocorr_peak,0.0,0.02660030856143973
ppg_snr_dom_band,0.0,0.10552414988321909
ppg_dom_bandpower_pm0p1,0.0,4473010082800264.5
ppg_psd_peak_mean_ratio,0.0,23.97878521089478
ppg_psd_peak_median_ratio,0.0,195380541611.91022
ppg_spectral_flatness,0.0,0.005898091994505339
ppg_spectral_rolloff_95,0.0,0.6905185800078291
ppg_spectral_rolloff_90,0.0,0.5408450161201804
ppg_spectral_rolloff_85,0.0,0.45280321970851883
ppg_spectral_rolloff_80,0.0,0.36418534568394223
ppg_spectral_slope,0.0,3.1033928855281534
ppg_spectral_entropy,0.0,0.2137171539947825
ppg_spectral_kurtosis,0.0,50.826537334767266
ppg_spectral_skewness,0.0,1.100609209466936
ppg_ddx_kurtosis,0.0,52.4566819005897
ppg_ddx_mean_abs,0.0,114171.31364365316
ppg_std,0.0,43770289.00868578
ppg_diff_mean_abs,0.0,464029.06034123653
ppg_p95,0.0,48229721.1930927
ppg_p90,0.0,12907989.313105728
ppg_p10,0.0,26206786.314512618
ppg_p5,0.0,109879265.5024242
ppg_p1,0.0,334796193.97088236
ppg_zcr,0.0,0.00045221800201595457
ppg_signal_energy,0.0,7.825113457315588e+21
ppg_signal_rms,0.0,43782082.886215284
ppg_diff_rms,0.0,3753016.051084712
ppg_diff_std,0.0,3752996.87328102
ppg_p90_p10,0.0,72374400.32107645
ppg_diff_mean,0.0,32.305545305482404
ppg_kurtosis,0.0,29.28473746113342
ppg_skew,0.0,1.0907381687845525
ppg_mad,0.0,2166228.9385167053
ppg_iqr,0.0,8681876.395318475
ppg_median,0.0,77454.18222148389
ppg_range,0.0,3323043456.623955
ppg_max,0.0,1344304757.268948
ppg_min,0.0,495573671.85457987
ppg_p99,0.0,1024043384.3755636
ppg_p95_p5,0.0,280514690.4161689
ppg_ddx_rms,0.0,984537.6625616022
ppg_tke_mean_abs,0.0,2390142077836911.5
ppg_ddx_std,0.0,984519.2375474125
ppg_ddx_mean,0.0,49.603762559973184
ppg_dx_kurtosis,0.0,59.04520050635575
ppg_dx_p95_abs,0.0,7019541.9715113165
ppg_dx_mean_abs,0.0,464029.06034123653
ppg_dx_rms,0.0,3753016.051084712
ppg_dx_std,0.0,3752996.87328102
ppg_dx_mean,0.0,32.305545305482404
ppg_tke_p95_abs,0.0,3.8711527071351144e+16
ppg_tke_std,0.0,4.454466266392498e+16
ppg_p99_p1,0.0,2377318712.0477324
ppg_tke_mean,0.0,2002952344907403.0
ppg_mean_cross_rate,0.0,0.000603907538392215
ppg_clearance_factor,0.0,162.108871810661
ppg_impulse_factor,0.0,17.177989525052354
ppg_shape_factor,0.0,0.18047684512751733
ppg_crest_factor,0.0,1.647288824692938
ppg_rms,0.0,43782082.886215284
ppg_mean_abs,0.0,10068053.244368589
ppg_trim_mean_10,0.0,131792.7576685506
ppg_autocorr_energy_hr,0.0,0.0018257432617864355
