feature,reason,value
ppg_diff_rms,|corr|>=0.95,1.0
ppg_dx_mean_abs,|corr|>=0.95,1.0
ppg_dom_freq_hz,|corr|>=0.95,1.0
ppg_diff_std,|corr|>=0.95,1.0
ppg_dx_mean,|corr|>=0.95,1.0
ppg_rms,|corr|>=0.95,1.0
ppg_dx_std,|corr|>=0.95,0.999999999970439
ppg_ddx_rms,|corr|>=0.95,0.9999999935437156
ppg_signal_energy,|corr|>=0.95,0.9999998348830721
ppg_signal_rms,|corr|>=0.95,0.999999723445999
ppg_bp_total_0p1_5,|corr|>=0.95,0.999523994592053
ppg_mad,|corr|>=0.95,0.998703087624485
ppg_tke_mean,|corr|>=0.95,0.9985109543023949
ppg_p99_p1,|corr|>=0.95,0.9967161277305312
ppg_max,|corr|>=0.95,0.9967148083580649
ppg_tke_mean_abs,|corr|>=0.95,0.9962608923485408
ppg_perm_entropy_o4,|corr|>=0.95,0.9958575285504416
ppg_dx_rms,|corr|>=0.95,0.9938934448503592
ppg_bp_0p5_1,|corr|>=0.95,0.9923809869163114
ppg_dom_psd,|corr|>=0.95,0.9917549261120311
ppg_min,|corr|>=0.95,0.9902282182999349
ppg_ddx_mean_abs,|corr|>=0.95,0.9897171356054754
ppg_mean_abs,|corr|>=0.95,0.9846362716603332
ppg_p10,|corr|>=0.95,0.9835934012814905
ppg_std,|corr|>=0.95,0.9835382295740813
ppg_ddx_std,|corr|>=0.95,0.9817978005320671
ppg_bp_1_2,|corr|>=0.95,0.9797911198104549
ppg_bp_ratio_0p5_1__0p5_3,|corr|>=0.95,0.9794996640732542
ppg_hjorth_activity,|corr|>=0.95,0.9785944668116211
ppg_range,|corr|>=0.95,0.9773232701527885
ppg_shape_factor,|corr|>=0.95,0.9761595022694899
ppg_p5,|corr|>=0.95,0.9744710417138114
ppg_diff_mean_abs,|corr|>=0.95,0.9712974691705789
ppg_mean_cross_rate,|corr|>=0.95,0.9696655969662558
ppg_p90_p10,|corr|>=0.95,0.9663988005405235
ppg_ddx_p95_abs,|corr|>=0.95,0.9648812260499046
ppg_kurtosis,|corr|>=0.95,0.9644183284635982
ppg_bp_3_5,|corr|>=0.95,0.963066766253539
ppg_impulse_factor,|corr|>=0.95,0.9594194300112101
ppg_spectral_spread,|corr|>=0.95,0.9579865283638747
ppg_spectral_rolloff_85,|corr|>=0.95,0.9546904543849095
