,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
ppg_bp_0p5_3,0.2408113910488322,-0.09718832893086464,0.1576255978762387,0.28929781557520534,-0.20675314519197366,0.058496939401298256,0.12942019713354716,0.12421854361645951,0.009163682149884321,0.06846722835042021,-0.0511755297326876,-0.03401719986754037,-0.002043087996381052,-0.00440971567832924,-0.09004123438844683,0.02692734060587462,0.11275058601054216,0.10382786346719483,0.05722700243925111,0.022086522357012337,-0.010361484380829957,-0.07893246019339163,0.04523612841180142,-0.005043436010243549,-0.1258782312259756,-0.06617398474714888,0.22159889131454683,-0.0588804949682555,0.6725015058474282,-0.409331174696384
ppg_p90,0.2374804723842386,-0.03347741078655919,-0.26478621602015345,-0.1885579907424221,-0.11299962873151996,0.10352123956791877,-0.13137488540691383,0.23396098135088023,-0.04177514579069674,-0.05566601173565933,0.04984097409095309,0.040542690614948244,0.017242821467776042,-0.13203625710104336,-0.1147424078382314,-0.15005430630519515,0.00782788529720096,0.05357266978938854,8.364640898391219e-05,-0.04814472530867344,-0.02010441547828118,0.5265524260838162,0.041503409252724124,-0.4543549313941764,-0.4144590877751617,0.060888586021332784,0.09275662093842671,0.028569646089146004,-0.053932516938069684,0.008047822086125197
ppg_dom_bpm,0.03833289725040684,0.21210806946227248,0.22076551746177125,-0.02976261419602158,0.17257927485535815,0.6000508638677857,-0.06646543253119455,0.02729680477965853,0.12695723121054917,0.4293566812474414,0.28297080105948247,0.31078905547728586,0.2514527663524358,0.07663211409885665,0.05654518047873435,-0.018377739203543807,-0.16102035773963638,0.10520908727743404,0.010349328840679123,-0.03301451393741541,-0.05176611520748252,-0.044784665665474205,-0.06641781734862992,-0.061443850181233606,0.0013171948687078357,0.021860955987579516,-0.0200615603138086,-0.08482064121997683,-0.0003015256431566567,0.002013010468424657
ppg_spectral_centroid,0.0962343631984695,0.282653820232363,0.18498948049928973,-0.055442975436267916,0.046765507230698035,0.07852810200483887,-0.03701941462293724,0.06630733494297318,-0.14129669548238263,-0.07932723548210184,-0.03385406767402932,-0.032111847793053344,0.08034800787397986,-0.09048507220099254,0.0921052491219913,0.03823417604159013,0.07826051094321247,0.03802273113049843,-0.017537454500936377,0.019109524034476365,-0.021139448153269378,0.19551571043535662,0.11556569607150576,0.21316745175242158,0.06850642525155765,-0.2229210121658209,0.06342746236824744,0.8003434840465106,0.041447925096837104,-0.004090973192028068
ppg_bp_ratio_1_2__0p5_3,0.06666806482158781,0.24968886698754403,0.16591170716768786,0.05372259714582653,0.26976779447414234,0.3467903085184825,-0.08683616303687126,0.04194363909537511,-0.1399427349981424,-0.19897409706986902,-0.11935198785245671,-0.042601911947985426,-0.752126379063153,0.028716350892203542,-0.09803985136437487,0.050148139075741796,0.09582743216952791,-0.050101283056320896,0.00199626978321304,0.008497287279000315,-0.047582626204055074,0.0058553500383681425,0.06217793645915304,-0.001716843317150472,-0.05349086309398349,0.05130747955730639,-0.03102639247577669,-0.14823159434042912,-0.007399361895662506,0.012642314634910947
ppg_crest_factor,-0.02621740000305394,-0.21909599508383398,0.257322629380253,-0.16528792193887068,0.2600936630815571,-0.280362718974764,0.061816596234599,0.38291802566092437,0.09455515197342988,0.2761919712459294,-0.2455657597823413,0.37331065760939397,-0.10986697024278377,-0.2823685588084651,0.08252124176200566,0.20013499957669725,-0.017483359661997717,-0.2905137277688405,-0.047180372977865946,0.04858916463082554,-0.05346468968492123,-0.025392133968259532,0.04456548116406811,-0.08564239682238939,-0.09597290149193898,-0.13708149237617304,-0.08168428299715877,0.011526511801856916,0.02402986946020395,0.00479718201428642
ppg_harm2_bandpower_pm0p1,0.2215910010490013,-0.08989651057895322,0.18635757084353782,0.3527047160621561,-0.13669958889964795,-0.06991832961416827,-0.13417145822709733,0.16509528397884837,0.06214578031849326,-0.16284923950760288,0.16697512846373155,0.08750257510534798,-0.034137031796429976,-0.11418700283963741,-0.06689907784196171,-0.16977964462948528,-0.09197646376524364,-0.0944792556891447,0.008628310202212174,0.1405694718464438,-0.28554687224772507,0.27480217102783594,-0.3933150058373161,-0.003691274687347148,0.4062867908487911,0.017476855848484404,-0.2838444670652746,-0.020306286352179754,-0.002576224780856161,0.07799780905553841
ppg_clearance_factor,-0.06367416074816039,-0.26567431819197623,0.2524147172710155,-0.18100837472150894,0.05635925064595291,-0.04540226454780448,-0.028494446824671636,0.11908429401990309,0.1230373434193826,0.020279195271438847,-0.007603879811652384,0.02298439970760185,-0.055916398944584216,0.10176019412577318,-0.020028955319869386,0.08287429631333079,0.06464065680815335,0.30224774769934254,0.07610279425545347,0.043817849880763274,0.08446721214429877,0.2880533242792253,0.05759132088080363,0.2470561103763186,0.17525306071971533,0.6171790365720657,0.30532772594352614,0.030347867731497908,0.016926979056482036,0.089472792735858
ppg_p95_p5,0.27154375332432085,-0.07616372952733558,-0.12610762059083191,-0.18492589828204908,0.01832913465550482,0.08077727897285145,0.04292124515656183,0.02282877444463762,0.008620938541757321,0.029242477263925027,-0.014745261049459278,-0.10086151366388647,-0.006031117306845615,0.0844453314040126,0.19971010381151677,-0.07457084028087473,0.07583920986453638,-0.09899873754544841,-0.018072151312784956,0.10627463860251968,-0.17405735448969603,-0.07951709556417343,0.1004943000384357,-0.04432345625396237,0.2133066338605929,-0.20486022887923694,0.2975331803758372,-0.11265886332473267,0.3049176972016233,0.6630910341128677
ppg_trim_mean_10,-0.21433433568195673,0.08788029523611468,-0.1370489731418466,-0.11824498038960662,-0.14775158623452844,0.16600514299433047,0.4065812342697996,0.38753549501227935,0.24047568088250498,-0.45697264078878624,0.203435951268867,0.26296320777517923,0.01682897603622992,-0.09168440268864375,-0.010508053940181502,-0.03844288752215062,0.17902785310797453,0.04303762711339313,-0.16099922768551836,-0.19731631094341393,-0.10293169029716503,-0.1887710008925507,0.06771370168406134,0.03730207165993306,0.08064592029490479,0.049512979515605085,-0.023057092419550097,0.017520886365400435,0.021323398460428456,0.0038795455798659164
ppg_spectral_rolloff_80,0.08153036717200972,0.25903633499970496,0.21562389994862316,-0.12448874390633004,-0.07964544507413808,-0.03980038443680503,-0.05994097633466561,0.09795117782679093,-0.2275008935480291,-0.20447135373511816,-0.05751524328847466,-0.22814561741476105,0.20381161578212642,-0.3865246374901061,0.3317468705026265,0.31150875751626256,-0.15141855035873567,0.3039078259527897,-0.2129722549829828,0.1586872054082421,-0.05550676846452323,-0.0886829974055632,-0.06988800280055578,-0.06975860361209409,-0.05434128376021326,0.09873134513665006,-0.031632365888248186,-0.27552822924806125,-0.006405127715467271,0.002888852299331862
ppg_iqr,0.2027562143662875,0.0009958544978045448,-0.2861260778327137,-0.14234051562670838,-0.2409860262782241,0.08451771768727971,-0.46097131890672227,0.18904523696120099,-0.0913834014046306,0.028734369942225158,-0.11887994023457149,0.2223741677186789,-0.04865167579651873,-0.2279699737030907,-0.2569162730260784,-0.0537799087093975,-0.21246927567815097,0.035006435091614024,0.03117715444763174,0.039716009684286464,0.2351309161278907,-0.30871405355595494,0.181479126476648,0.23319446400332322,0.235326981186483,0.053366812354069225,-0.015875304089337294,0.009751740310509934,0.0070959455029514645,-0.04321357529295771
