PC,feature,abs_loading
PC1,ppg_dx_p95_abs,0.27228817142031464
PC1,ppg_p95_p5,0.27154375332432085
PC1,ppg_p99,0.26737528758057383
PC1,ppg_p1,0.2646116555445781
PC1,ppg_tke_std,0.2539986590238009
PC1,ppg_tke_p95_abs,0.2526818238270986
PC1,ppg_bp_0p1_0p5,0.25257771008156055
PC1,ppg_dom_bandpower_pm0p1,0.24178207807049143
PC2,ppg_spectral_centroid,0.282653820232363
PC2,ppg_zcr,0.2776250474964206
PC2,ppg_spectral_rolloff_90,0.2686134693682458
PC2,ppg_clearance_factor,0.26567431819197623
PC2,ppg_spectral_rolloff_95,0.2649998151688512
PC2,ppg_hjorth_mobility,0.2614001031617834
PC2,ppg_sample_entropy_m2,0.26052669972978887
PC2,ppg_spectral_rolloff_80,0.25903633499970496
PC3,ppg_hjorth_complexity,0.3361858229067483
PC3,ppg_iqr,0.2861260778327137
PC3,ppg_p90,0.26478621602015345
PC3,ppg_crest_factor,0.257322629380253
PC3,ppg_clearance_factor,0.2524147172710155
PC3,ppg_bp_ratio_3_5__total,0.24375651586124747
PC3,ppg_bp_ratio_hr_total,0.22967958126444246
PC3,ppg_dom_bpm,0.22076551746177125
PC4,ppg_bp_2_3,0.3965612150092689
PC4,ppg_harm2_bandpower_pm0p1,0.3527047160621561
PC4,ppg_bp_ratio_3_5__total,0.30325091065797594
PC4,ppg_bp_0p5_3,0.28929781557520534
PC4,ppg_bp_ratio_hr_total,0.2892305020501443
PC4,ppg_p95,0.2841567849784133
PC4,ppg_dx_p95_abs,0.20967485700704147
PC4,ppg_p90,0.1885579907424221
PC5,ppg_sample_entropy_m2,0.36271916920417063
PC5,ppg_bp_ratio_3_5__total,0.36065594447482924
PC5,ppg_bp_ratio_hr_total,0.31453643485936683
PC5,ppg_bp_ratio_1_2__0p5_3,0.26976779447414234
PC5,ppg_crest_factor,0.2600936630815571
PC5,ppg_iqr,0.2409860262782241
PC5,ppg_psd_peak_median_ratio,0.23155594909548516
PC5,ppg_bp_0p5_3,0.20675314519197366
PC6,ppg_dom_bpm,0.6000508638677857
PC6,ppg_bp_ratio_1_2__0p5_3,0.3467903085184825
PC6,ppg_hjorth_complexity,0.2903594515796779
PC6,ppg_crest_factor,0.280362718974764
PC6,ppg_spectral_rolloff_95,0.23849803555686988
PC6,ppg_spectral_rolloff_90,0.1806488265398035
PC6,ppg_bp_0p1_0p5,0.1770613451478637
PC6,ppg_dom_bandpower_pm0p1,0.17286271568366682
PC7,ppg_iqr,0.46097131890672227
PC7,ppg_trim_mean_10,0.4065812342697996
PC7,ppg_dom_bandpower_pm0p1,0.39397648660877127
PC7,ppg_bp_0p1_0p5,0.37101253978315246
PC7,ppg_sample_entropy_m2,0.2423493896063049
PC7,ppg_hjorth_complexity,0.24130497490436298
PC7,ppg_p99,0.19568097789114353
PC7,ppg_psd_peak_median_ratio,0.13683369609675303
PC8,ppg_tke_p95_abs,0.43192581199580055
PC8,ppg_trim_mean_10,0.38753549501227935
PC8,ppg_crest_factor,0.38291802566092437
PC8,ppg_bp_2_3,0.3481867532496078
PC8,ppg_sample_entropy_m2,0.2478809001822345
PC8,ppg_p90,0.23396098135088023
PC8,ppg_tke_std,0.21776584065522647
PC8,ppg_p95,0.19537257959646237
