PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.2700553646168826,0.2700553646168826
PC2,0.21665036028664933,0.4867057249035319
PC3,0.09952507728680847,0.5862308021903404
PC4,0.08140352862272221,0.6676343308130626
PC5,0.03776463742165061,0.7053989682347132
PC6,0.035261561867515535,0.7406605301022287
PC7,0.03229398545845996,0.7729545155606886
PC8,0.02393717576157436,0.796891691322263
PC9,0.021029615204169357,0.8179213065264324
PC10,0.018422851027363275,0.8363441575537957
PC11,0.017141155670203405,0.853485313223999
PC12,0.015577535711534586,0.8690628489355336
PC13,0.014214414020120629,0.8832772629556542
PC14,0.012842615037152096,0.8961198779928063
PC15,0.011574380123931355,0.9076942581167377
PC16,0.00993786514065115,0.9176321232573889
PC17,0.009001579610219386,0.9266337028676083
PC18,0.008270898120869282,0.9349046009884775
PC19,0.007222652527704686,0.9421272535161822
PC20,0.006069339557957782,0.94819659307414
PC21,0.005485225833714922,0.9536818189078549
PC22,0.0047558023040018054,0.9584376212118567
PC23,0.0047229866937609655,0.9631606079056176
PC24,0.003841526915033583,0.9670021348206512
PC25,0.0036529030885208385,0.9706550379091721
PC26,0.0034509867352983865,0.9741060246444705
PC27,0.0029156363453896627,0.9770216609898602
PC28,0.0025441094706124476,0.9795657704604727
PC29,0.0022338343585656447,0.9817996048190383
PC30,0.0021518337860914815,0.9839514386051298
PC31,0.0020104200883540664,0.9859618586934839
PC32,0.0017560281592169111,0.9877178868527008
PC33,0.0014045579585269309,0.9891224448112277
PC34,0.0013763892388385034,0.9904988340500662
PC35,0.0011016324347140147,0.9916004664847803
PC36,0.0010413539987230147,0.9926418204835032
PC37,0.0009991272617369809,0.9936409477452403
PC38,0.000847169996435316,0.9944881177416756
PC39,0.0007999694836888621,0.9952880872253644
PC40,0.0007124445442574595,0.9960005317696219
PC41,0.0005660761518474118,0.9965666079214693
PC42,0.0005150556254545638,0.997081663546924
PC43,0.0004960511128743677,0.9975777146597983
PC44,0.0004402792073942024,0.9980179938671925
PC45,0.000421294516391017,0.9984392883835835
PC46,0.00034586513665241236,0.9987851535202359
PC47,0.000284953136018062,0.999070106656254
PC48,0.0002562446755408477,0.9993263513317948
PC49,0.00020525709979099478,0.9995316084315858
PC50,0.00017425243377864022,0.9997058608653645
PC51,0.00010694175762965234,0.9998128026229941
PC52,8.768199446094446e-05,0.9999004846174551
PC53,5.762437035428229e-05,0.9999581089878093
PC54,4.189101219068804e-05,1.0
