,ppg_mean,ppg_std,ppg_min,ppg_max,ppg_range,ppg_median,ppg_iqr,ppg_mad,ppg_skew,ppg_kurtosis,ppg_diff_mean,ppg_diff_std,ppg_diff_mean_abs,ppg_diff_rms,ppg_signal_rms,ppg_signal_energy,ppg_zcr,ppg_p1,ppg_p5,ppg_p10,ppg_p90,ppg_p95,ppg_p99,ppg_p90_p10,ppg_p95_p5,ppg_p99_p1,ppg_trim_mean_10,ppg_mean_abs,ppg_rms,ppg_crest_factor,ppg_shape_factor,ppg_impulse_factor,ppg_clearance_factor,ppg_mean_cross_rate,ppg_tke_mean,ppg_tke_std,ppg_tke_mean_abs,ppg_tke_p95_abs,ppg_dx_mean,ppg_dx_std,ppg_dx_rms,ppg_dx_mean_abs,ppg_dx_p95_abs,ppg_dx_kurtosis,ppg_ddx_mean,ppg_ddx_std,ppg_ddx_rms,ppg_ddx_mean_abs,ppg_ddx_p95_abs,ppg_ddx_kurtosis,ppg_hjorth_activity,ppg_hjorth_mobility,ppg_hjorth_complexity,ppg_perm_entropy_o3,ppg_perm_entropy_o4,ppg_sample_entropy_m2,ppg_dom_freq_hz,ppg_dom_bpm,ppg_dom_psd,ppg_bp_0p1_0p5,ppg_bp_0p5_1,ppg_bp_1_2,ppg_bp_2_3,ppg_bp_3_5,ppg_bp_0p5_3,ppg_bp_total_0p1_5,ppg_bp_ratio_0p5_1__0p5_3,ppg_bp_ratio_1_2__0p5_3,ppg_bp_ratio_2_3__0p5_3,ppg_bp_ratio_3_5__total,ppg_bp_ratio_hr_total,ppg_spectral_centroid,ppg_spectral_spread,ppg_spectral_skewness,ppg_spectral_kurtosis,ppg_spectral_entropy,ppg_spectral_slope,ppg_spectral_rolloff_80,ppg_spectral_rolloff_85,ppg_spectral_rolloff_90,ppg_spectral_rolloff_95,ppg_spectral_flatness,ppg_psd_peak_median_ratio,ppg_psd_peak_mean_ratio,ppg_dom_bandpower_pm0p1,ppg_snr_dom_band,ppg_harm2_bandpower_pm0p1,ppg_harm2_to_dom_power,ppg_autocorr_peak,ppg_autocorr_lag_sec,ppg_autocorr_peak_width_sec,ppg_autocorr_peak2,ppg_autocorr_lag2_sec,ppg_autocorr_peak2_peak1_ratio,ppg_autocorr_energy_hr
ppg_mean,0.0,0.22111897256523635,0.3387122087445424,0.22689727532161041,0.2755039254737288,0.1902634801456625,0.14117698782057325,0.14572095342858205,0.039720148897335036,0.19731841018517288,0.708139511044111,0.2592838960826084,0.1971939972062841,0.2592850097981666,0.22124585317650838,0.16390062257328428,0.01024629201929055,0.27489554580211584,0.10218417902862056,0.11956734280897156,0.11446169114717993,0.0989906622019135,0.14138314285115325,0.11764164018705629,0.10269532125140561,0.2089315644995882,0.3116515834204871,0.18946534178279345,0.22124585317650838,0.1464944249944784,0.09695934953812427,0.11972324869337936,0.0022205746315971673,0.015059626382063119,0.21653780986478322,0.23035890556203995,0.21014059235810661,0.13135380495544005,0.708139511044111,0.2592838960826084,0.2592850097981666,0.1971939972062841,0.06479908840901841,0.2946303644092939,0.42109893442785185,0.25040125435265614,0.2504031209172643,0.18044627264851082,0.07713762646430145,0.27378330257416056,0.16374318966959217,0.13906613896993086,0.00748019117149561,0.006615509620258689,0.006340648376370096,0.09063970368478065,0.02481255922058231,0.024812559220582273,0.0012878454019504243,0.010983851684772849,0.0045624139703174275,0.018446545407592243,0.020277369164089433,0.010196461289900684,0.011604718929624747,0.011063076265818966,0.015521807563643417,0.0338363582899497,0.056380212966215926,0.056251455712673905,0.024454898650708434,0.03133542896464199,0.027567518592901095,0.16126873072063713,0.20468784413609215,0.0032086045925911496,0.020914489030702567,0.040871225350612675,0.058539287599716085,0.07357140199686865,0.06071692732336807,0.005628751757597268,0.05923568189457964,0.028239540487468975,0.0013751684493267331,0.02941637306064259,0.004559076005671852,0.06753632909385408,0.18076747004102786,0.015067540060269734,0.1218043067388051,0.1614588398057413,0.07360834814096293,0.037958882969642276,0.1908875586712768
ppg_std,0.22111897256523635,0.0,0.9418112048530434,0.9630511415975916,0.9743674936661197,0.2193227991179482,0.4949679457742521,0.4920613112769452,0.5832084473597607,0.3262166790419225,0.1952881565679825,0.9896286345447112,0.8885982247205377,0.9896286096554644,0.999999989010355,0.9513844954145895,0.057985513045066196,0.9751417230243986,0.8289526729626019,0.6432843430877413,0.6736369203159066,0.7976316578814203,0.8557965119188431,0.6618331602740425,0.8305728144152814,0.9364771708940068,0.17658670541914506,0.9182601475089405,0.999999989010355,0.2149397582248253,0.14529654946085888,0.134777420603767,0.14718531539018348,0.06077795746029946,0.94010281212585,0.9160586752842561,0.9424912655142538,0.7050633264031213,0.1952881565679825,0.9896286345447112,0.9896286096554644,0.8885982247205377,0.8365237940283039,0.6741003928862028,0.009870603310097809,0.9807783318948627,0.9807780829205849,0.8893423346065045,0.7053938786566245,0.5473723826485283,0.9513694549297605,0.29839803337709736,0.27864083370891196,0.029207874085880443,0.02485377859616548,0.193329623146587,0.0649667733094173,0.06496677330941711,0.7649713735243309,0.7875817113568011,0.7430159861410949,0.7504185063378118,0.7040107280381647,0.7529510719029588,0.7755094668823996,0.7763173338513618,0.0916744054927358,0.07004404186350825,0.1479196091751314,0.029754890694084078,0.2022058821350597,0.1226796730924448,0.2568876477360408,0.21794680958266907,0.11549074627039428,0.32808266165007643,0.27735551210455617,0.076242182351906,0.09476575567147452,0.1515063881344469,0.21780062797211736,0.28920290440316143,0.27221523639466655,0.32608993636137784,0.743398591464457,0.30866744864379697,0.738850378056742,0.19808214511712696,0.2624369205492419,0.23697805489007356,0.30705844948878636,0.22908778945098146,0.0764961830034367,0.01680587198164079,0.1629959943762779
ppg_min,0.3387122087445424,0.9418112048530434,0.0,0.9163456603705418,0.9679590128351659,0.15457507788843805,0.31994735108869243,0.3174771786115227,0.4102700514759101,0.43334735188042467,0.22214734695761792,0.9587998051708544,0.7587664611424679,0.9587998401045268,0.941826289599136,0.8914866727598006,0.06148499498980876,0.9573818074447518,0.6495222868004242,0.45779843069900444,0.4971579358576747,0.6519571583536979,0.8226922577294471,0.479877822495535,0.6633798219153717,0.9097626185379369,0.09532056632937926,0.787405654183663,0.941826289599136,0.31966044527440834,0.2583755571925413,0.2509722963906114,0.06691776563217194,0.019999671123455173,0.9111872711850957,0.923373406725214,0.9158322799187083,0.5512224723812443,0.22214734695761792,0.9587998051708544,0.9587998401045268,0.7587664611424679,0.6725476120660348,0.8098003103628049,0.08456861774637839,0.9650822591831246,0.9650819893696854,0.7648152606054975,0.5174624476618338,0.7049440087519038,0.8914532234446052,0.32616212104127185,0.2072862223637188,0.010661998943200171,0.005740155479621246,0.27675623272390454,0.05325894667873757,0.053258946678737415,0.6336882475251582,0.6777142642934264,0.6190482548950487,0.6541146179637136,0.6043072480856513,0.6489361519366855,0.6586016045962141,0.6598970246733915,0.0617376147611416,0.04059171976227864,0.12399124066377346,0.015271585837963005,0.10740717600664859,0.07718298590296208,0.19154875294746515,0.23907843347165184,0.18786776280745066,0.23788826178748962,0.2130592513502771,0.0373268170194412,0.04595525307220679,0.09153093753833506,0.15164310068007014,0.2078278620160795,0.2276427345008631,0.2562665082594742,0.6132021220652136,0.2256300339741919,0.6420983376848794,0.14407376164006164,0.3129408431550057,0.18582715072694822,0.28896092868256684,0.28608181844750585,0.12246493692381245,0.012930129587009473,0.22157158692381337
ppg_max,0.22689727532161041,0.9630511415975916,0.9163456603705418,0.0,0.9875257929835799,0.21203602889641399,0.36176688130497403,0.3572274685623169,0.6197971587969946,0.4696924838039376,0.2485093714045267,0.9726933476642131,0.8015893527207486,0.9726933372699005,0.9630534055903228,0.9546584221397277,0.11189041916234324,0.9190516351056762,0.7382127647415845,0.5149536207618647,0.5421771004078136,0.6537206810431782,0.7578923307294807,0.5312650195677401,0.7132442481919243,0.8557711373190796,0.22533025852589716,0.8183218542236259,0.9630534055903228,0.3617414893940985,0.25050205260580916,0.2617201398526956,0.043685291030937504,0.018237690996349535,0.9639273464789193,0.9429663524275592,0.9568223049874552,0.685476796865904,0.2485093714045267,0.9726933476642131,0.9726933372699005,0.8015893527207486,0.7370402186781809,0.7334949970248691,0.0005613267123153537,0.9592333414757034,0.9592326492836708,0.8110130437077356,0.6341501366942923,0.6025413747919895,0.9546408300321394,0.28808565997035573,0.15148944149035226,0.041110146972080874,0.04573001520179388,0.2730456699617477,0.044216822454339305,0.04421682245433911,0.7756474342586023,0.7844479827903765,0.760008036177032,0.8171975738744014,0.7912576454325739,0.7634614432088294,0.8193993674655247,0.8177969212109726,0.09189904914540084,0.06353243072695314,0.17304376282402165,0.019999848532435322,0.11043663951316963,0.10521952228302277,0.1887119125589258,0.129541447482347,0.07442454109944599,0.26340163039756526,0.19479674133099711,0.0739964222898327,0.08872574351139577,0.12549010450556095,0.15918322496445605,0.22801821346530965,0.18272680254206342,0.28042219313577477,0.7533523758585956,0.23479592457535095,0.7914671167683813,0.1724193958784435,0.30207242245890076,0.14944796928055085,0.21173802402847494,0.27096566025645524,0.06632891383791922,0.024963045588878713,0.2271768125841401
ppg_range,0.2755039254737288,0.9743674936661197,0.9679590128351659,0.9875257929835799,0.0,0.1937694260407062,0.3527095304612024,0.34889115849118657,0.5500568042199946,0.46499226007486116,0.24321771245842477,0.9870956864505701,0.8011202839283456,0.987095693669728,0.9743748458100892,0.9493131849218193,0.09435312673864911,0.9528959929845204,0.7184113354584577,0.5029940037289445,0.5355461260218359,0.6663786444622548,0.7988547378971914,0.5219068749773429,0.7082016665341567,0.894482057777308,0.17880453059215615,0.8228769736953906,0.9743748458100892,0.35258077653662717,0.2587146156633806,0.26283875560201675,0.053713956051801,0.0035728831136893273,0.9628737946540111,0.9545201944553453,0.960244486123663,0.646679778711159,0.24321771245842477,0.9870956864505701,0.987095693669728,0.8011202839283456,0.7267309385332453,0.7784837451229425,0.03360964479153968,0.9811247294849352,0.9811241892610215,0.8094092271925973,0.6012131164848503,0.6551186242698802,0.9492889974826739,0.308943492060728,0.17652617751645272,0.02158976991393996,0.02642274891977007,0.28008153459618884,0.04867582147858075,0.048675821478580544,0.7356620196136303,0.7584951381872386,0.72009623282925,0.7697536025442533,0.7338977294408722,0.7340158453041946,0.7728990442216489,0.7724034898165363,0.08191464278583731,0.05580830324062149,0.15728750137386122,0.01854887750064485,0.11150080815030267,0.09634281228434773,0.19368175607763058,0.17526388778574717,0.12055745535117136,0.2587478725037701,0.20595718615894945,0.06108696084505154,0.073717866699854,0.11469825369952476,0.15946911595843144,0.22473512917470967,0.2041225039667432,0.27664998563624454,0.7136229945310906,0.23598676588133463,0.7488908916597256,0.16479360927474362,0.31251603664927174,0.16680681161598046,0.2464313424920558,0.2824444274257051,0.08975975548778721,0.02074080143528594,0.2296123156309229
ppg_median,0.1902634801456625,0.2193227991179482,0.15457507788843805,0.21203602889641399,0.1937694260407062,0.0,0.30468366270714914,0.2968898408349342,0.21134937739981555,0.012324114643220934,0.2492116531457992,0.22754288507644288,0.30481374991446736,0.2275432326579427,0.21935433253065253,0.2021310214809729,0.035337216235020556,0.18161446664511202,0.23837131074996132,0.24133898807810653,0.2856040574273702,0.282621666958322,0.16564576284647917,0.26473595510792686,0.2636887190597275,0.17786423437822702,0.37339179775808223,0.28223865239472645,0.21935433253065253,0.02017020094367113,0.0789485401792356,0.04705626972337851,0.0990467206411725,0.07919650798120609,0.19469670265281425,0.1569460887321078,0.19099425273736875,0.32040910393555927,0.2492116531457992,0.22754288507644288,0.2275432326579427,0.30481374991446736,0.28404870197901116,0.053653355323858155,0.019479605768887947,0.23576478213263055,0.2357655461005184,0.3232404294720309,0.34618958514078174,0.05308610315218139,0.20208985424484882,0.22577032377317538,0.08430978030499611,0.10906424499427214,0.11500003068122246,0.07847824252194582,0.06292072947409005,0.06292072947409022,0.1866335616757527,0.14261925309913717,0.18531140748547717,0.11111817843468064,0.10590636471048069,0.15401721233151244,0.15790681426452371,0.157706498935389,0.15418339323658797,0.15432860497544434,0.11345556421812383,0.17523000992511664,0.08650747190159025,0.15531036747027996,0.17420812369793473,8.409310786322e-05,0.07837234429841938,0.10265801776806693,0.13260314152915215,0.1206451109160397,0.14201484562502356,0.1835587630850557,0.19733421330118817,0.15664196696776897,0.09994240509375985,0.02837549092677077,0.1904714155491398,0.0708732452549973,0.10555404507540507,0.05546861265937721,0.03726485324840029,0.07097067140454835,0.03021459128031197,0.04735624949932947,0.03583962096839992,0.021822869777454526,0.10848967425097182
ppg_iqr,0.14117698782057325,0.4949679457742521,0.31994735108869243,0.36176688130497403,0.3527095304612024,0.30468366270714914,0.0,0.9996371614262044,0.38378121142224947,0.2548582038189171,0.10269033310806573,0.46154934930965286,0.8061569535087701,0.46154953915246366,0.49498271870615457,0.32922028763602285,0.1429742104704135,0.3962181531476055,0.7764348861083704,0.9388443358124556,0.9294140179167439,0.8055092293425787,0.3473862008482337,0.9390525836924501,0.8052089879707626,0.3803206846465628,0.3004677358586323,0.7830634748125542,0.49498271870615457,0.31515395163624266,0.41760299177918186,0.37959430683386103,0.42173310979600404,0.28243210669683294,0.3120614308832785,0.242918217934807,0.3045937016219061,0.46400199499261024,0.10269033310806573,0.46154934930965286,0.46154953915246366,0.8061569535087701,0.7509069119768553,0.07517406824976702,0.09839141718415582,0.4336114367908138,0.4336139948571452,0.7589130978592328,0.7238446770903495,0.10986767554854276,0.32919412594765946,0.26029219941320175,0.42409645106458,0.23061961029721173,0.2251071830651294,0.4775802274026355,0.10080699093864957,0.1008069909386493,0.29929075416089895,0.29806919363993817,0.25411684742632834,0.24687400717369293,0.25014773461502093,0.22790760566787374,0.26279529009807023,0.26258146022136153,0.1329822470174889,0.12482434447211943,0.12854409669696484,0.019979256597268822,0.4001762339862654,0.18544739647815822,0.34339645263067425,0.2501823489840557,0.0568257464525883,0.4131668184936459,0.39226837728344366,0.16079469577652414,0.17203994268156478,0.20471808037856323,0.2920271530847711,0.37790868097528646,0.3882772066482568,0.2894343561487838,0.2783348618510231,0.3850919250140999,0.25737772588341745,0.2797047413355606,0.02444084445030767,0.3722295279936777,0.3200809379593384,0.025662292118611225,0.036972591111412836,0.04513336770307367,0.05028040629647613
ppg_mad,0.14572095342858205,0.4920613112769452,0.3174771786115227,0.3572274685623169,0.34889115849118657,0.2968898408349342,0.9996371614262044,0.0,0.37923821818750053,0.2578819128163983,0.1030820624599335,0.458278536388513,0.8042475940735637,0.45827873107162403,0.492076487205972,0.3255128125151429,0.14108057540866706,0.3945131151404103,0.775951691270034,0.9393194410678523,0.9296172934388306,0.8044830442246845,0.3474807990826416,0.939394272318752,0.8044629514365266,0.379560456054073,0.29625828218165406,0.7814767619300352,0.492076487205972,0.31853020916783387,0.41727600158365846,0.3804379581821984,0.4204671692013023,0.28013569634019864,0.30817467305116836,0.23909428527405735,0.3009446492180778,0.4619494871076823,0.1030820624599335,0.458278536388513,0.45827873107162403,0.8042475940735637,0.7496172639154006,0.07801962288413841,0.10501111737566517,0.4303890342128998,0.43039157227343955,0.7568395916908447,0.722568363682007,0.11226915013673613,0.3254860814681356,0.2551240361300512,0.4254967094486354,0.22851476144285804,0.22269031844772927,0.47689193023212306,0.1076566932406841,0.10765669324068385,0.29655371313167384,0.29500964614675856,0.2507572190349038,0.2410038303350517,0.24374564491029543,0.2248761709901941,0.25802171440543203,0.257912332486656,0.126368235503634,0.11819742275977443,0.12370194208968527,0.01717362016513684,0.3981092030936899,0.18004936678839664,0.34170931163220614,0.2519899123179322,0.060009262084370955,0.4128132731770716,0.389629360155696,0.15616408437586377,0.1677049639625069,0.20069915230420624,0.2896021799220082,0.3789339530885339,0.38660497428941054,0.29055301004536804,0.2755848799786723,0.3854161583466398,0.2524913678106065,0.27938907995695395,0.024178998264346187,0.3741013387006415,0.32267490390787573,0.025356689099960483,0.03408627276128427,0.04595375970239287,0.0479638270069617
ppg_skew,0.039720148897335036,0.5832084473597607,0.4102700514759101,0.6197971587969946,0.5500568042199946,0.21134937739981555,0.38378121142224947,0.37923821818750053,0.0,0.10124455078176624,0.10953663805619449,0.5646612954837509,0.581129142203232,0.5646612630053562,0.5831937181942648,0.5421729832825841,0.08116391550619767,0.4895105234759181,0.5902042501748983,0.503625794228219,0.48961313830876774,0.5221547974676889,0.42773627555651456,0.4992607630925328,0.5700095839744354,0.46907345125297195,0.3717453338810033,0.5805191200509998,0.5831937181942648,0.14225714780279586,0.2192294747326622,0.23749687188427804,0.38033532900862854,0.24709418364624655,0.5336315387387879,0.4832948244031182,0.5225110360979865,0.4375246337357539,0.10953663805619449,0.5646612954837509,0.5646612630053562,0.581129142203232,0.5874286437099624,0.146191261574756,0.0813985965326684,0.5257577277868137,0.5257576808585998,0.5681474066727349,0.50864124854031,0.0878554830489182,0.5421778205210469,0.3385761109631678,0.3969147080281912,0.1386108759748258,0.13983576825695043,0.07555890413444967,0.038641414490321366,0.03864141449032167,0.4785858378337329,0.48337887918584965,0.46219713869512513,0.5540046810714783,0.55255636508606,0.453599883130792,0.5271660169770875,0.5240297101026028,0.23576606543948303,0.22152263771154418,0.227083127237504,0.05629150441722374,0.3951269737422123,0.2520734022783366,0.3558636886425351,0.22552970440767117,0.04617458557900653,0.44006645268331346,0.4029348192037435,0.19983100918512953,0.24132830604540217,0.27472950668854895,0.318409163848634,0.3655900856025432,0.4054140616043889,0.36893757425229273,0.45873761936589635,0.3973772251348046,0.5216564507069337,0.22045671914212797,0.013215649697626142,0.3499132139147062,0.3468109042619621,0.0426575730875664,0.10606944871460947,0.06990947412117048,0.011685254616057624
ppg_kurtosis,0.19731841018517288,0.3262166790419225,0.43334735188042467,0.4696924838039376,0.46499226007486116,0.012324114643220934,0.2548582038189171,0.2578819128163983,0.10124455078176624,0.0,0.18841243808002286,0.3801799527631788,0.05949606160089858,0.3801799574947167,0.32622795553400225,0.4268623635125949,0.5083669115950186,0.3254554608038501,0.01530443504954561,0.2054625459554378,0.19424843338384523,0.11713240964957541,0.1902634821845833,0.20093318934665075,0.06312062809719697,0.25997251603877214,0.08557678939252229,0.06816568434480509,0.32622795553400225,0.9431192883093235,0.8939463706918133,0.9401437924465667,0.7623864843820842,0.6383046221482201,0.4752008077125678,0.5016017546538599,0.463717562447418,0.18450217661053522,0.18841243808002286,0.3801799527631788,0.3801799574947167,0.05949606160089858,0.026550311453241437,0.8013660222772285,0.09584374529485304,0.3903135665746768,0.39031212596634124,0.09481345067566127,0.030614559901068573,0.7339084632701581,0.4268442134177045,0.2760532702486159,0.5990335254699717,0.5578497977327258,0.5702021274558909,0.6725295586871165,0.2110607195687784,0.2110607195687786,0.29100964238735677,0.2934915207115051,0.2977974467692859,0.3947023752681858,0.40611328308481237,0.3064273702570054,0.3590886354213298,0.35604468244461457,0.3407177936520331,0.36057209156798,0.17834458615216586,0.19984203254761732,0.6835668858750474,0.4006744337595344,0.508965255825281,0.37027920477836257,0.0508063975144472,0.49340779013122493,0.609463391059707,0.3297891772781571,0.3668792266984487,0.40753795911043733,0.4741352721283588,0.411940938779359,0.6296715515497668,0.28755764221201197,0.2809868891476948,0.4523331701256485,0.36772835008333976,0.20290751541199992,0.4306168686480937,0.47697218612977504,0.34881218219815013,0.4267778641142179,0.21267692432020058,0.07492589643822926,0.34111375868311217
