feature,nan_ratio,variance
ppg_mean,0.0,4265.650578998086
ppg_bp_0p5_1,0.0,1.8574020961235308e+16
ppg_bp_ratio_3_5__total,0.0,0.0007618588345938303
ppg_bp_ratio_2_3__0p5_3,0.0,0.002650934755981593
ppg_bp_ratio_1_2__0p5_3,0.0,0.036390153820935474
ppg_bp_ratio_0p5_1__0p5_3,0.0,0.05236247260491628
ppg_bp_total_0p1_5,0.0,6.531961253325539e+16
ppg_bp_0p5_3,0.0,5.726060281036299e+16
ppg_bp_3_5,0.0,123021112499208.62
ppg_bp_2_3,0.0,773337951060736.2
ppg_bp_1_2,0.0,7441048792154596.0
ppg_bp_0p1_0p5,0.0,32420405930752.316
ppg_spectral_centroid,0.0,0.0914340823198291
ppg_dom_psd,0.0,1.5298216944441894e+17
ppg_dom_bpm,0.0,238.04065743944633
ppg_dom_freq_hz,0.0,0.06612240484429067
ppg_sample_entropy_m2,0.0,0.034289899971950144
ppg_perm_entropy_o4,0.0,0.0029816124628659433
ppg_perm_entropy_o3,0.0,0.0021815548098185447
ppg_hjorth_complexity,0.0,0.15438890546224887
ppg_hjorth_mobility,0.0,0.0034513488269561575
ppg_hjorth_activity,0.0,2.56823080447835e+16
ppg_bp_ratio_hr_total,0.0,0.02759328539034669
ppg_spectral_spread,0.0,0.044368135957656346
ppg_ddx_p95_abs,0.0,705278.662891194
ppg_dom_bandpower_pm0p1,0.0,1981986805155385.0
ppg_autocorr_peak2_peak1_ratio,0.0,0.0421859945213664
ppg_autocorr_lag2_sec,0.0,0.5428962025986865
ppg_autocorr_peak2,0.0,0.008367979551717761
ppg_autocorr_peak_width_sec,0.0,0.03548229953746205
ppg_autocorr_lag_sec,0.0,0.17852687950180074
ppg_autocorr_peak,0.0,0.014442367321714817
ppg_harm2_to_dom_power,0.0,0.020164389459984514
ppg_harm2_bandpower_pm0p1,0.0,96226217563482.47
ppg_snr_dom_band,0.0,0.07050644225111687
ppg_psd_peak_mean_ratio,0.0,30.366140823193454
ppg_spectral_skewness,0.0,0.8595999187754879
ppg_psd_peak_median_ratio,0.0,398261542364.5512
ppg_spectral_flatness,0.0,0.00413869177352289
ppg_spectral_rolloff_95,0.0,0.6006064190382036
ppg_spectral_rolloff_90,0.0,0.3856895699456253
ppg_spectral_rolloff_85,0.0,0.3107367947178871
ppg_spectral_rolloff_80,0.0,0.24266802309158958
ppg_spectral_slope,0.0,3.561472542566089
ppg_spectral_entropy,0.0,0.21810308800771638
ppg_spectral_kurtosis,0.0,25.074071013785055
ppg_ddx_kurtosis,0.0,524.6346073010234
ppg_ddx_mean_abs,0.0,55015.98456241355
ppg_std,0.0,36294647.35994925
ppg_diff_mean_abs,0.0,236029.1183566123
ppg_p95,0.0,17404133.25700154
ppg_p90,0.0,6967919.847413026
ppg_p10,0.0,7116268.853733309
ppg_p5,0.0,24438375.17958016
ppg_p1,0.0,409438145.14790845
ppg_zcr,0.0,0.0002649546438968325
ppg_signal_energy,0.0,2.3670214005728567e+22
ppg_signal_rms,0.0,36296793.5262012
ppg_diff_rms,0.0,3127928.9230549457
ppg_diff_std,0.0,3127926.9128696322
ppg_p90_p10,0.0,27874489.709483612
ppg_diff_mean,0.0,4.053418519408431
ppg_kurtosis,0.0,299.23030147228087
ppg_skew,0.0,2.567230702034627
ppg_mad,0.0,1343345.2763336375
ppg_iqr,0.0,5372223.449555697
ppg_median,0.0,20007.785130890657
ppg_range,0.0,8147458886.263739
ppg_max,0.0,3204658761.9782524
ppg_min,0.0,1260043607.2969565
ppg_p99,0.0,548293475.9616567
ppg_p95_p5,0.0,79927959.50103498
ppg_ddx_rms,0.0,840379.9284009397
ppg_tke_mean_abs,0.0,772398595047657.2
ppg_ddx_std,0.0,840378.1224606836
ppg_ddx_mean,0.0,6.1262264143947025
ppg_dx_kurtosis,0.0,777.8328503720053
ppg_dx_p95_abs,0.0,2321286.095885506
ppg_dx_mean_abs,0.0,236029.1183566123
ppg_dx_rms,0.0,3127928.9230549457
ppg_dx_std,0.0,3127926.9128696322
ppg_dx_mean,0.0,4.053418519408431
ppg_tke_p95_abs,0.0,1108880329753795.2
ppg_tke_std,0.0,4.142511143817328e+16
ppg_p99_p1,0.0,1803559606.168348
ppg_tke_mean,0.0,646130459524686.5
ppg_mean_cross_rate,0.0,0.0006039015637071139
ppg_clearance_factor,0.0,13244.163189793224
ppg_impulse_factor,0.0,179.70737817336257
ppg_shape_factor,0.0,0.9466965104720491
ppg_crest_factor,0.0,6.178347321997166
ppg_rms,0.0,36296793.5262012
ppg_mean_abs,0.0,4991532.863501048
ppg_trim_mean_10,0.0,10047.485778983266
ppg_autocorr_energy_hr,0.0,0.0009496102817455663
