feature,reason,value
ppg_dom_freq_hz,|corr|>=0.95,1.0000000000000004
ppg_dx_mean,|corr|>=0.95,1.0
ppg_diff_std,|corr|>=0.95,1.0
ppg_rms,|corr|>=0.95,1.0
ppg_dx_mean_abs,|corr|>=0.95,1.0
ppg_dx_rms,|corr|>=0.95,1.0
ppg_diff_rms,|corr|>=0.95,0.999999999998692
ppg_ddx_rms,|corr|>=0.95,0.9999999999436744
ppg_signal_rms,|corr|>=0.95,0.999999989010355
ppg_signal_energy,|corr|>=0.95,0.9999999824950943
ppg_bp_total_0p1_5,|corr|>=0.95,0.9998828244371982
ppg_iqr,|corr|>=0.95,0.9996371614262044
ppg_tke_mean,|corr|>=0.95,0.9983610266452421
ppg_dom_bandpower_pm0p1,|corr|>=0.95,0.9970156800870682
ppg_perm_entropy_o4,|corr|>=0.95,0.9966336532513917
ppg_p90_p10,|corr|>=0.95,0.9948382962237835
ppg_dx_std,|corr|>=0.95,0.994310887123438
ppg_dom_psd,|corr|>=0.95,0.9930310485299547
ppg_tke_mean_abs,|corr|>=0.95,0.9909076841150046
ppg_diff_mean_abs,|corr|>=0.95,0.9898676267469616
ppg_max,|corr|>=0.95,0.9875257929835799
ppg_bp_ratio_0p5_1__0p5_3,|corr|>=0.95,0.9862333171084051
ppg_p95_p5,|corr|>=0.95,0.9838185403814742
ppg_bp_1_2,|corr|>=0.95,0.9836365463857255
ppg_bp_0p1_0p5,|corr|>=0.95,0.9824963178897864
ppg_shape_factor,|corr|>=0.95,0.9817530621510039
ppg_ddx_std,|corr|>=0.95,0.9811247294849352
ppg_p90,|corr|>=0.95,0.9791878214191418
ppg_p99_p1,|corr|>=0.95,0.9766528557253232
ppg_bp_3_5,|corr|>=0.95,0.9762275361371513
ppg_std,|corr|>=0.95,0.9751417230243986
ppg_spectral_spread,|corr|>=0.95,0.974569960755415
ppg_spectral_rolloff_85,|corr|>=0.95,0.9715807126631174
ppg_harm2_bandpower_pm0p1,|corr|>=0.95,0.9702972915537099
ppg_range,|corr|>=0.95,0.9679590128351659
ppg_hjorth_activity,|corr|>=0.95,0.9667928413713036
ppg_psd_peak_median_ratio,|corr|>=0.95,0.9649217301623402
ppg_bp_0p5_3,|corr|>=0.95,0.9643774260061448
ppg_dx_p95_abs,|corr|>=0.95,0.963829113835297
ppg_ddx_mean_abs,|corr|>=0.95,0.9630801565784837
ppg_p1,|corr|>=0.95,0.9573818074447518
ppg_spectral_centroid,|corr|>=0.95,0.9531259304151589
ppg_mean_abs,|corr|>=0.95,0.9519462877227922
