,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52
ppg_mean,-0.0012479472865580795,-0.09560002346150658,-0.0021101533840565323,0.04244929132009182,-0.07254626328528342,-0.5750661446278086,0.04465905456341466,0.09246046334826302,-0.03313635652239505,0.22456040866926663,-0.030365816837574083,0.03533779360857618,0.1089050550465415,0.027228943857098252,0.05391760065977904,0.050924294310041036,-0.026669576648503727,0.16043981323368128,-0.09326710015169654,0.11283457608824082,0.14054558877029683,-0.235633856584945,-0.11393276034250312,0.038144756745178615,0.0063027559627922575,0.2988508368492998,0.20143778194884485,-0.2603508818566506,0.153674573252707,0.29238495698595585,0.0944061772600351,-0.24616663740576233,-0.022787913793896556,0.03274933780714788,0.015444053020614832,-0.0695640327830795,0.09388319798028995,0.060706574046560303,-0.004729346730118873,-0.019007713385541185,0.10630730023607514,-0.06296570473930109,-0.05399125761248887,0.09520963296780967,0.06970999857357227,-0.024669279759774274,-0.02804452069136826,-0.016428673196119927,0.04736994844885951,-0.025726912001735967,-0.022457115489130593,0.009626868195408221
ppg_min,0.0464399296161419,-0.29027341295212417,-0.02253025305515632,-0.06439069694679364,-0.1939595928508698,-0.015039289206058348,-0.04062648441255588,-0.007485354121967512,0.045855194817150835,0.12953269806292594,0.04653569504411978,0.0880416749043956,0.09646892694026835,-0.07827562930559001,-0.11947034412067215,0.07900406838820588,0.08652738899186627,0.09417102432617311,0.009375053889414516,-0.005342071093302078,0.08850577407731212,-0.07587154221561379,-0.014794448865394848,-0.015697316026955482,-0.11140283485903255,0.013285959119123503,-0.06870040562701157,0.05631923031685809,0.19977822671282242,-0.16450045710926386,-0.19134595812064198,-0.04514131640210742,0.053307070565028716,0.11743174251079487,0.022507473592952867,-0.11111048001662502,-0.10521507239659073,-0.19791923058192812,0.03758591882047208,0.00940549800853893,-0.37196820215599324,-0.2748022153153975,0.2131904426874459,-0.07883965892086536,0.07061692588383812,0.34638056044055365,0.16461769074265228,-0.16151686200739387,-0.1561984818149274,0.25354206766604914,-0.02182452741206069,-0.18418108421156745
ppg_median,0.046066548515379564,-0.07955578158846921,-0.025820893384331665,-0.08938603247008536,0.15153592349873102,-0.2315704955623309,-0.08453726245995888,-0.3285834864209206,-0.057666944387885874,-0.31285906144479003,-0.270905700959276,-0.43880148213402387,-0.09062944188513994,-0.08006375917240019,-0.4667104952060447,0.13291998953895187,-0.17401174862006108,0.15740105257036022,0.21882105769396185,0.069643374419834,0.08784742445908769,-0.05758891239675192,0.08349332093571135,-0.1287555936106603,-0.02201769865120143,-0.02637737503764201,-0.08908026045348372,-0.002742123500319063,0.019295145562082637,0.014977101955405997,0.050150178029228554,-0.013095362469103367,0.017381688370976922,-0.04585703774549034,-0.02502132291906566,0.027284304911843346,0.052781671314774986,0.005412562098559899,-0.013128521984451209,0.04357581875735462,0.0255826656345677,-0.02807008916021002,0.019325442048960695,-0.051555339130215316,-0.041893813631892575,0.05441151364675338,-0.017553126497800785,-0.018744094253429516,-0.011572796691340412,-0.022400400973681234,0.0023343501112772953,-0.00280911178308593
ppg_mad,-0.12566863302416043,0.130103480486621,-0.15149015918251776,0.028398314360432025,-0.2804184851199334,0.07295249053775946,0.2529352266871267,0.05502259660076331,0.0216031603408752,-0.1204480966806506,0.05171106318984084,-0.2552071941579873,0.14372377610035564,0.09771785097296067,-0.03479881210223633,-0.01844352578726241,0.07211898723576,-0.1169133977154764,-0.03909373826507754,-0.05140721745782145,0.17989620797243921,-0.03689489321097342,-0.04937427540379152,0.10605973494658122,-0.006024700302877847,-0.06603866989458587,0.1417175948164372,0.1338254014778088,0.1077886192902037,-0.08359947269820234,-0.12540940196255054,-0.03228194086432987,0.19296784396166547,0.1773324900360566,0.25355277256223036,-0.04580060209257087,0.17018709806698917,0.2493804972025416,-0.23369142436713697,0.13305792241088527,0.20287935823042275,-0.16520249079807045,0.0018791601038072245,0.00993950969023158,-0.2080642013367713,0.2834342889232243,-0.07849190766401418,0.0136317286701531,0.001615994142449076,-0.17677059457102814,0.0244638283658451,0.029899630497422967
ppg_skew,-0.11209352123443861,0.15384157850969876,-0.05958360962395476,0.06630134913355691,-0.0637228771907645,-0.05249662118869608,-0.2484950907926854,0.12800391396177938,-0.2119457061383662,0.16011342353559987,-0.1138043485604899,0.016814426006477694,0.3060932577132752,-0.26459407432724424,0.061022428226867334,0.1705341029690801,-0.4165035163118651,0.2334020825181597,0.05520240515128924,-0.33565916666854384,-0.14417578700139183,-0.18779888242544818,-0.012143771332521758,0.17275059520951908,-0.08116815436324451,-0.11607321517488488,0.1377660053863517,0.16729170534977944,-0.05174341311389232,-0.12097962795827304,0.04739405382983974,0.17558381379657378,0.03808421533253002,-0.05169490538884647,0.09888323585986511,0.11018941101642649,-0.019625300699480673,-0.029271245794684327,-0.06939430430896266,-0.00820880890749963,0.020271955403332396,-0.017235030231257935,-0.016225970318378132,-0.045962717914848655,-0.008135687917097498,-0.05020670034036995,-0.018167646026828604,-0.0356844710805464,-0.0403910270166286,0.009065818294784155,0.04736606617884208,0.0066047420407293065
ppg_kurtosis,0.15857886477779165,0.18977044017945183,0.16774825030811946,0.044906002665521916,0.07548693901257963,0.025774728153626497,0.008837387601676613,0.052728946878640603,-0.06750295133042315,-0.03980529788730064,-0.021034861451112396,0.011446937865150334,0.033536578170589734,0.020165309941594683,-0.17621617099578546,0.11409601199903167,0.1840780213753672,-0.028125948784110538,-0.09406640837164032,-0.05117004573283557,0.1184257683746702,-0.07942120527087726,-0.04539869928823602,-0.04100852739771357,0.09118620653345562,0.0946988968071987,0.1507638614602081,-0.023166656667880262,-0.2528610235836412,-0.054176257975106626,0.04285717665241205,-0.11510765976669882,-0.009888977342558381,-0.00932702863953435,0.22118251713395595,-0.031402177469005095,-0.33802719127915054,0.1381347925755234,-0.008348729112745954,-0.13537509536705455,-0.012171493497092206,0.055541686888044284,-0.21535878006967207,-0.3496836099404304,0.20637942441946,0.17065240413458097,0.09854243589138106,-0.1798348563401028,0.025390260598517796,0.09894860311303828,0.34517577563814533,0.19325756974633093
ppg_diff_mean,0.007252640759517059,-0.0922720569955968,-0.06600894564738091,-0.0051922105938242424,0.04090234702792664,-0.489334124941767,0.16116192253782916,0.15160885964961957,-0.15814622798573524,0.05784869241783236,-0.08134133384989281,-0.1535614481578438,-0.10027086977101335,0.02659749702621437,0.2818964000534505,0.30322872583685545,0.3735466221205136,0.056433945593903356,0.09816601019111719,-0.0658570027392332,-0.10443145051061856,0.28959396789945846,-0.031106171408589497,0.0364714673562765,-0.02894428019617416,-0.2838396911389689,-0.14253774454721624,0.023469532935226883,-0.16489042396206874,-0.1266670435702678,-0.1135476690252844,0.18631136408824256,-0.026595438757846136,-0.0027893723631994133,0.006134635974435896,0.007342538752167199,-0.03844255012908414,0.032539220820952425,-0.008627492638525273,0.031636188577359683,-0.00021676992493224745,0.006464096808423844,-0.0014768571428265265,-0.0565867459407685,-0.0033296261708019304,0.004838979506441229,-0.012956222048318922,0.010068838237741405,-0.02952080010617332,0.0037928683451311715,0.02009904882170735,0.010467797012091763
ppg_zcr,-0.17398604430007825,-0.11049328931078142,0.09385426313388479,0.07720056452558721,0.08033277481030679,0.06863423922452759,0.187507247241799,-0.0031097773117576936,0.06324583650829656,-0.12114381047775492,-0.32150469997432124,0.11643974404077312,-0.12089748748052065,-0.10500223020687774,0.03329365525311951,0.2151056642027236,-0.03905152379472829,0.05135860623280149,-0.27380343333602997,-0.07047631873242817,-0.004219741571061836,-0.04136236412485168,-0.045436955278652824,0.10175948983524302,0.2754584532557884,0.2612667473002377,-0.23331529956153493,0.16249339094868995,-0.041440170487570004,0.033551322314051134,-0.1307283452966856,-0.03640573372764014,0.0024773586257112786,0.05219926634985676,0.10992589683486573,-0.0898731108199809,-0.0510994572309051,-0.20000875904664472,-0.07837933001632487,0.0972075072238848,0.022559832563231366,-0.12668645894708044,0.06165069759656129,0.1910479721953806,-0.1200784705773714,-0.12297347291688626,-0.22926643311820316,0.08029257747309623,0.005648344558239364,0.11840358986708296,0.3200780886621453,0.017509187570237374
ppg_p5,0.12187477533873312,-0.24215101951544263,0.11226881198677802,-0.08484264997754376,0.1657211682641599,0.06338758558963344,-0.04675688612076864,0.02239464350216369,-0.04123434708073993,0.009944250113803852,0.03967580235830161,0.07608747181730266,0.09556633553189958,-0.07312892092273093,0.11280228864024891,-0.024126814133039992,-0.038684881683218555,-0.013402977813676276,0.0286381474390009,0.09398298604126092,0.1095276040443921,0.0745516385353973,-0.029143911177224507,0.05154185037654132,0.05696105566503024,0.007975857123330071,0.0196370625893581,0.0328988446095274,-0.026669505177169935,0.1935756433142448,0.12512845733093234,0.09442442958192321,-0.008339258207649181,0.024590228841269192,0.007228346811271482,0.05889544135146513,0.18981184204600737,0.3035057019778442,-0.0004326871503106955,0.17089271749295412,0.16715995094541689,0.11722859298294502,0.134332267784707,-0.21721091550915334,-0.3564180107056498,-0.03740871843156683,0.0032814462598903665,-0.23440605431562017,-0.4071755137211057,0.32222280097326406,0.11572007661818354,-0.028480052381001663
ppg_p10,0.13239147213407834,-0.17548804364711146,0.16789221034611312,-0.03136123679781061,0.23557944790171415,-0.015265014395827045,-0.1571627561229903,-0.05250510041453823,0.03340370996929906,0.0641991688936735,-0.015995172830003356,0.25255485688754986,-0.0045188302501371624,-0.07373730891014163,0.08352220608818765,-0.037685882004509216,-0.05882449643927244,0.07685102903104019,0.05021781465469133,0.05356225497772539,0.0011198834775663566,0.12986253620605018,-0.035859836226990544,0.06104529670258917,0.07970975383176825,-0.10296600531479641,0.03263055887219564,0.0013207471092165357,-0.03930081214851951,0.08895343867307444,0.06385616647096479,-0.04154393931756189,-0.08923055273638787,-0.052551194974705846,0.10940804534571047,0.07808001266171863,0.01270925107218529,-0.0413458566695779,-0.06201994312399262,0.10116034273550248,-0.06721788461341781,-0.12131098413860343,0.16905355073131717,-0.13221796572959393,-0.11637847265779978,0.41558439329564356,-0.14918387338053984,0.07409606115016107,0.2042066051801397,-0.5571653906327321,0.09773070382730176,0.023381892845158937
