,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
ppg_p10,0.14400985283381157,-0.3149453354424933,0.07590582176560307,-0.26669467947341813,0.07917992260658985,-0.014683179009402608,-0.08638502279577606,-0.14663715836721491,0.07046033767230521,-0.010190509101323492,-0.057657351740468356,0.09062442095592713,0.13854080823369572,-0.043223218725017755,-0.07367483999601365,-0.061409990899732904,0.05693898788833491,0.0727451613845826,0.345439865788612,0.03385256232478956,0.0757629396417113,0.009965177494017503,0.37661922363272404,-0.2061580380491334,0.061949747927661954,-0.08268910551230992,-0.2803842047992532,-0.5522786150554115,0.0826529693476406,0.023269800861221067
ppg_mad,-0.13869273759665846,0.2576110837768612,-0.10699439127836008,0.36497865733564305,-0.10911920777330636,0.0641194805423445,0.15559986920069638,0.13200861539170697,-0.3217856537949457,0.04051523201033895,-0.039660091086293245,-0.009287976414255592,-0.09778027003983321,0.03617514461525642,0.18687998083686685,-0.0049109214094136076,0.040552969917666444,0.040666806988247796,-0.21499048217912312,-0.016622985223846257,-0.3124977095740205,0.05625699698218651,0.5104251063742514,-0.1629831093998055,0.1383003106461605,-0.2170458553397329,-0.03626278536507313,-0.23155414820671,0.011761653439918402,0.020103232225455656
ppg_ddx_p95_abs,-0.12284925034653432,0.30862772660106963,0.06354304318715141,0.250904007385967,-0.03232519542898652,0.11295147236864386,-0.05284859353978819,0.029033733836359408,0.331503155541482,0.10292188056790531,0.09613809751308373,0.4953156602521854,0.25190266425152746,-0.0528353022543032,-0.257692428734216,-0.12126578613951007,-0.0008185197994007227,0.09537914034981425,0.28025952964135425,-0.1474121482769118,0.07799351048364277,0.07025521509007199,0.24445570219825044,-0.14383093983808226,0.016458475278103134,0.0870875943425683,0.12377742987154688,0.24069195970609383,0.029246485110954477,-0.0007769929218539489
ppg_p95,-0.1375959772142519,0.3403090889521459,-0.013219285616895492,0.14195810465450145,0.023612179699669594,0.05311362471343829,0.043878130047422144,0.15817631930701312,0.13486113832566965,-0.027765439761432753,-0.07659632092725245,-0.423275206717645,-0.06562874355108174,0.007861730755877075,0.035804915397537336,0.043911665563910414,-0.14959379784306712,-0.14186789430387725,0.11942310828457935,0.19489213844648307,0.6118559648316039,0.16757168389689747,0.09372943535357654,0.0024918414732547907,0.06002358848362074,0.1990183698691337,-0.0844704642942431,-0.17585394549120473,0.121600122310464,0.03151891118380597
ppg_zcr,-0.19283804422444872,-0.18665516566677776,0.07813774972224707,0.17036773189486829,0.16266777981339195,0.19564229999313493,-0.41745054867487885,-0.028682948861850934,0.03031349102076057,-0.011822648950418726,-0.08378537855316022,0.025762410707851905,-0.18947170328503882,-0.1503506515713838,0.06100817889217521,0.26815735818526026,-0.42047328272839984,-0.05108971949909489,0.05426285732393677,-0.07560229751052629,-0.07472410530287618,-0.04599812060619238,0.0554063736879534,0.09575529346935921,-0.07769504590093833,-0.2530555411512126,-0.0938775059044666,0.1320156536197653,0.45198435519276936,-0.03910909224205283
ppg_p5,0.127147723190395,-0.3581950810968601,-0.046394618819926826,-0.17066309015111125,0.023003190655071636,0.011384460870070662,0.02955564644353326,-0.09631271822498884,-0.21984567904554736,0.049041172902722904,-0.031544320448816526,-0.045342209778212045,0.011506569541137372,0.007337131153069101,0.1460084010396687,0.01220208988305801,-0.013306716497156128,0.02109053800285821,-0.13558513851084686,-0.053218575510024846,0.2853933604871449,0.2591645261065119,0.4694803330787371,-0.10476808891844817,0.11082477352683488,0.1753804383501292,0.29866542711600874,0.4468148690502712,0.06482419481880398,0.0085387169065011
ppg_dom_bpm,-0.12114188262520663,-0.21238866666831407,0.25949671183190576,0.025429576090082104,-0.05421341882491141,-0.3236629968597325,0.09496431761872136,0.4661499490733115,0.15257078488846348,0.16391224693811593,-0.1847827145640151,0.185689202884218,-0.098511534087771,-0.3725871259562503,0.08121425685581506,0.1966478038893923,0.25921266114602226,-0.36933351816860227,-0.06027628647863606,-0.015712394237956312,0.019692403776318642,0.05801095558303019,-0.0044595394914313516,-0.0823606925263186,-0.01848169980371424,0.01203033343011128,0.06382791911054145,-0.05282594519036207,0.0013893518947244504,-0.016433212766288813
ppg_kurtosis,0.18402113373819798,0.14947955600092142,0.3207080092475826,-0.025704683307279794,0.1312083032185267,0.0647925409936323,-0.04337298628910045,0.10336637997124822,-0.16349730444523225,-0.13102718788482165,0.03806946753190467,0.16221952020969332,-0.05474685948011069,-0.01534919693287164,0.146083648942646,0.008442507352633922,-0.04597943396392898,0.0808260132701761,-0.13489157468122154,-0.15522065382183503,-0.04563693148891253,-0.30061942167541045,0.15513882491319136,0.20170518107390326,-0.1532604104639895,0.6210121870010105,-0.026998611994806306,-0.16647462204873362,0.14113396814079598,-0.21056918488947862
ppg_sample_entropy_m2,-0.17379721311920418,-0.14074469495033493,-0.13813975309921822,0.33820258630027716,0.02032554710177855,-0.029724947262783127,0.07611293559764176,-0.14132079006080303,-0.5630395822146437,0.015704377555070644,-0.164606108276848,0.21454490045597974,0.012021133350828331,-0.13986748108006009,0.10396335804402647,-0.0325779989633977,0.1947232095038816,0.07570197251160081,0.39927937179330153,0.09556225781904189,0.24676852275762232,-0.14694697517896657,-0.2218647659229602,0.02178875819146471,-0.06217876759482602,0.09494142009711835,-0.08121237216179533,0.046659208292649794,0.011541400264597991,0.03635514121684579
ppg_impulse_factor,0.2316626624796284,0.10369764719953488,0.2336570298938981,-0.013239000787464136,0.04650514751612948,0.11114711696015676,-0.010788807456190897,0.029661679840351795,-0.06623829410613169,0.024963320946386803,0.029447240373271462,0.06227147862529225,-0.08669083745003349,-0.06853990575065261,0.024042793964735663,0.03816458122008214,-0.0023521429279175165,-0.012951763646215954,0.010147116607840123,-0.05909671930806068,0.13394658509994095,-0.1501565949877944,0.097439983220227,0.2382159765338551,-0.08905601378041533,-0.1789181310735133,0.10459474189706859,-0.016348888396881433,-0.13358849391698094,0.813509604302847
