PC,feature,abs_loading
PC1,ppg_spectral_slope,0.23438516606621648
PC1,ppg_clearance_factor,0.22876367979446924
PC1,ppg_spectral_entropy,0.22118932688156553
PC1,ppg_spectral_rolloff_95,0.2173078842022504
PC1,ppg_mean_cross_rate,0.21633956467978185
PC1,ppg_bp_ratio_hr_total,0.21502760422589726
PC1,ppg_impulse_factor,0.20435571841707217
PC1,ppg_spectral_rolloff_90,0.20368465480193831
PC2,ppg_min,0.29027341295212417
PC2,ppg_tke_std,0.2878962434149529
PC2,ppg_dx_kurtosis,0.2605176107759327
PC2,ppg_p99,0.24729174429409606
PC2,ppg_p5,0.24215101951544263
PC2,ppg_bp_0p5_1,0.2371389202696644
PC2,ppg_tke_p95_abs,0.230096139671447
PC2,ppg_ddx_kurtosis,0.22933115882802807
PC3,ppg_spectral_kurtosis,0.3216624514306057
PC3,ppg_spectral_skewness,0.311642895161781
PC3,ppg_bp_ratio_2_3__0p5_3,0.26107303498855916
PC3,ppg_bp_ratio_3_5__total,0.24396549578181842
PC3,ppg_spectral_rolloff_80,0.23519724823466978
PC3,ppg_dom_bpm,0.21840819232313152
PC3,ppg_autocorr_peak_width_sec,0.212428110696988
PC3,ppg_spectral_rolloff_90,0.2077200161124144
PC4,ppg_autocorr_peak,0.4043916924209843
PC4,ppg_autocorr_energy_hr,0.3825319252061951
PC4,ppg_autocorr_peak2,0.36946794033046176
PC4,ppg_psd_peak_mean_ratio,0.28471098680007456
PC4,ppg_snr_dom_band,0.24068365592871607
PC4,ppg_autocorr_lag2_sec,0.22632283327577207
PC4,ppg_autocorr_lag_sec,0.1977749163187635
PC4,ppg_bp_0p5_1,0.19770465905085471
PC5,ppg_ddx_kurtosis,0.3123153028883496
PC5,ppg_spectral_skewness,0.3057323531164414
PC5,ppg_spectral_kurtosis,0.30007736844232547
PC5,ppg_mad,0.2804184851199334
PC5,ppg_dx_kurtosis,0.2529215850634767
PC5,ppg_p10,0.23557944790171415
PC5,ppg_autocorr_peak_width_sec,0.21408821217924878
PC5,ppg_ddx_p95_abs,0.20574912445810106
PC6,ppg_mean,0.5750661446278086
PC6,ppg_diff_mean,0.489334124941767
PC6,ppg_ddx_mean,0.315356060687748
PC6,ppg_trim_mean_10,0.31389722584934826
PC6,ppg_median,0.2315704955623309
PC6,ppg_bp_2_3,0.17071915404574825
PC6,ppg_bp_0p5_1,0.15726999897382632
PC6,ppg_spectral_kurtosis,0.12298511774065723
PC7,ppg_autocorr_peak2_peak1_ratio,0.38670843955217193
PC7,ppg_ddx_mean,0.32361539371823816
PC7,ppg_autocorr_lag2_sec,0.3177767613363513
PC7,ppg_autocorr_peak2,0.2561475168850178
PC7,ppg_mad,0.2529352266871267
PC7,ppg_skew,0.2484950907926854
PC7,ppg_bp_2_3,0.2304192614093018
PC7,ppg_sample_entropy_m2,0.2288898658866457
PC8,ppg_ddx_mean,0.41608342101497675
PC8,ppg_trim_mean_10,0.3949398194843391
PC8,ppg_autocorr_lag2_sec,0.3654252720933189
PC8,ppg_autocorr_peak2_peak1_ratio,0.35475378325604523
PC8,ppg_median,0.3285834864209206
PC8,ppg_hjorth_mobility,0.18319214862739683
PC8,ppg_psd_peak_mean_ratio,0.18132788898261387
PC8,ppg_bp_0p5_1,0.1807187730869987
