PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.45802367513975134,0.45802367513975134
PC2,0.17339518391198833,0.6314188590517397
PC3,0.11027501222273256,0.7416938712744723
PC4,0.05784381701307032,0.7995376882875426
PC5,0.03558800294019738,0.8351256912277399
PC6,0.029173812303139843,0.8642995035308798
PC7,0.023434052810232035,0.8877335563411118
PC8,0.021336914538283534,0.9090704708793954
PC9,0.016104870961894367,0.9251753418412898
PC10,0.013262931017247967,0.9384382728585378
PC11,0.010407258579792977,0.9488455314383307
PC12,0.00801887423906067,0.9568644056773914
PC13,0.007667859528481881,0.9645322652058733
PC14,0.0062143762964004,0.9707466415022737
PC15,0.005756829358217143,0.9765034708604909
PC16,0.004597675410052655,0.9811011462705436
PC17,0.004308204964672046,0.9854093512352156
PC18,0.003592910851571964,0.9890022620867875
PC19,0.0026738877671341334,0.9916761498539217
PC20,0.0021417456001104097,0.9938178954540321
PC21,0.001333183920181833,0.9951510793742139
PC22,0.0012032020734706636,0.9963542814476846
PC23,0.0008920304730890032,0.9972463119207736
PC24,0.0008297357931377916,0.9980760477139115
PC25,0.0006194496048037404,0.9986954973187152
PC26,0.0005242918644453141,0.9992197891831606
PC27,0.00032657064819422614,0.9995463598313548
PC28,0.0002516952907105129,0.9997980551220653
PC29,0.0001423147977695851,0.9999403699198349
PC30,5.9630080165311546e-05,1.0000000000000002
