,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
ppg_iqr,0.27109405026585076,-0.3360106225015223,-0.21483706078509973,0.06076929644675107,-0.003012637334526436,0.020610416592048306,0.006297804734290137,-0.08475551939875159,0.08265088061891121,-0.28031224682447226,0.24165402918770393,-0.14021736334257398,0.06603879602266635,0.7029530013216073,0.26399260254831936,0.11939476967821656,0.02334834764247464,0.09818291056252805
ppg_mad,0.2607733832000994,-0.3359189238286588,-0.19264429079375894,0.04412615459404071,-0.02648038282382018,-0.019020304252045137,0.033707173256418685,-0.12615770039379326,0.1316377600470518,-0.4323043125538451,0.09015999905506471,-0.43040992238911885,-0.1086196621230616,-0.5560298135096655,-0.12197129845413954,-0.1644858214529145,-0.03413651116755039,-0.017875769422337925
ppg_skew,0.1423067508505221,0.15785555036517498,0.1852339535054307,-0.44268894216366733,0.17557616892004463,0.13959642087652946,-0.21164732453261792,-0.6796315149167486,0.3550326698045749,-0.02120855425652516,-0.007297941175201601,0.13720515221473523,-0.06322200752336447,0.034131899588772836,0.006024415657179176,-0.11227767887314956,0.064744825443354,-0.012828633850160908
ppg_kurtosis,0.15012828585601518,0.32536508156695515,0.2892401473154104,0.2508223291657036,-0.05747749159738743,0.037009505896462236,0.04430758086385542,0.4035057175186278,0.6688922306541327,-0.2829048851399869,0.0664110385795205,0.11199496042297366,-0.028177175321539582,0.03415863852409841,-0.008258175450203903,-0.07523642503056636,0.057606729760780045,0.012675204289163033
ppg_diff_mean,-0.06939148060841831,-0.019356969473046062,0.12063595915201021,0.00021847817623957185,-0.07527115749051055,-0.8793456094649905,-0.42392228244491287,-0.042588581112520334,0.008332896607732667,-0.12356620188429952,0.03688172673826467,0.03896660382555537,0.027561003551060417,0.02295686682871447,-0.0062662697596502885,0.009552745392306772,-0.010919692821053935,-0.008100748730920794
ppg_diff_mean_abs,0.34127891005349503,0.004939543672197622,0.10595673159917483,-0.06930635221613572,-0.17744331542616829,-0.09849598567562241,0.08260733001223984,0.01807822337113429,0.015331713126698936,0.20567915043270213,-0.32560773761585055,-0.2659696601514551,-0.11778724404342382,0.028976660873160358,-0.14503681233626872,0.3691959468231051,0.6534446449105625,0.02813861172644373
ppg_p90,-0.02191998331882708,0.3541199810520425,-0.5632892763502685,-0.03582567964421791,-0.17801197992191972,-0.17460329416263104,0.2326709483786855,-0.11698723768386277,0.07565043818935611,0.023286988636847472,0.1049152938551634,0.14159524259487835,0.02640605885790886,-0.03356831617091074,-0.10143355605806235,-0.15632045520783047,0.14355986677309204,0.5753814416952092
ppg_p99,0.1350874148756494,0.45682543234977896,-0.39084308984268773,-0.12758023565182358,-0.12530471094466597,-0.11648759389011806,0.12927273044670118,-0.03275821278023395,0.035972450328800656,-0.009702548623424047,0.07558632917792582,-0.12681944951242452,-0.04187355379384042,0.002723827625455359,0.1421977319956018,0.23968533837382486,-0.18656486183670373,-0.6477272322813132
ppg_p90_p10,0.30738279494608295,-0.24873271258428706,-0.1801943836458593,0.040679005389305536,-0.05125192793853282,-0.022701334036624273,0.043821586774171126,-0.001992052282706342,0.03233799929064959,-0.058652972846531974,-0.2191260211632226,0.5148330047080039,0.1248849119039018,0.10822405772125235,-0.6272629893774063,0.022596193859712243,-0.1553953268194695,-0.203655720870424
ppg_p95_p5,0.3381432613164459,-0.12824563155408003,-0.09518325418477423,-0.009714293524903186,-0.025791327255720982,-0.044107527660227,0.005214188745483245,0.07041883631408018,-0.048599033333620346,-0.04056086601858643,-0.37186112427474083,0.43349726849688885,0.0076752303017705885,-0.25946706716343904,0.6714814558707152,-0.04044642023418181,0.010308281538028362,0.047350732988285245
