PC,feature,abs_loading
PC1,ppg_diff_mean_abs,0.34127891005349503
PC1,ppg_clearance_factor,0.3394496475225056
PC1,ppg_p95_p5,0.3381432613164459
PC1,ppg_shape_factor,0.31344526325812105
PC1,ppg_p90_p10,0.30738279494608295
PC1,ppg_tke_p95_abs,0.2974711702895201
PC1,ppg_iqr,0.27109405026585076
PC1,ppg_mad,0.2607733832000994
PC2,ppg_p99,0.45682543234977896
PC2,ppg_p90,0.3541199810520425
PC2,ppg_iqr,0.3360106225015223
PC2,ppg_mad,0.3359189238286588
PC2,ppg_kurtosis,0.32536508156695515
PC2,ppg_tke_std,0.3126081784619654
PC2,ppg_dx_kurtosis,0.28754041789063706
PC2,ppg_p90_p10,0.24873271258428706
PC3,ppg_p90,0.5632892763502685
PC3,ppg_mean_cross_rate,0.45814834950304917
PC3,ppg_p99,0.39084308984268773
PC3,ppg_kurtosis,0.2892401473154104
PC3,ppg_iqr,0.21483706078509973
PC3,ppg_mad,0.19264429079375894
PC3,ppg_skew,0.1852339535054307
PC3,ppg_p90_p10,0.1801943836458593
PC4,ppg_ddx_kurtosis,0.6204238062850875
PC4,ppg_skew,0.44268894216366733
PC4,ppg_dx_kurtosis,0.38816419930025514
PC4,ppg_kurtosis,0.2508223291657036
PC4,ppg_shape_factor,0.23310522550850077
PC4,ppg_tke_std,0.22764829982497167
PC4,ppg_clearance_factor,0.18463899254295899
PC4,ppg_ddx_mean,0.17116399841525115
PC5,ppg_ddx_mean,0.7107242105198573
PC5,ppg_mean_cross_rate,0.48695265142956484
PC5,ppg_tke_p95_abs,0.22842835017791402
PC5,ppg_ddx_kurtosis,0.2017387533506313
PC5,ppg_p90,0.17801197992191972
PC5,ppg_diff_mean_abs,0.17744331542616829
PC5,ppg_skew,0.17557616892004463
PC5,ppg_dx_kurtosis,0.1695323310059646
PC6,ppg_diff_mean,0.8793456094649905
PC6,ppg_ddx_mean,0.3333106428276762
PC6,ppg_p90,0.17460329416263104
PC6,ppg_tke_p95_abs,0.15449772415863058
PC6,ppg_skew,0.13959642087652946
PC6,ppg_p99,0.11648759389011806
PC6,ppg_diff_mean_abs,0.09849598567562241
PC6,ppg_mean_cross_rate,0.09162045272999961
PC7,ppg_ddx_mean,0.5775069147037847
PC7,ppg_mean_cross_rate,0.5394699465605156
PC7,ppg_diff_mean,0.42392228244491287
PC7,ppg_p90,0.2326709483786855
PC7,ppg_skew,0.21164732453261792
PC7,ppg_tke_p95_abs,0.1519237797709489
PC7,ppg_tke_std,0.12932022460688572
PC7,ppg_p99,0.12927273044670118
PC8,ppg_skew,0.6796315149167486
PC8,ppg_kurtosis,0.4035057175186278
PC8,ppg_ddx_kurtosis,0.3019009658947924
PC8,ppg_shape_factor,0.25471991669346516
PC8,ppg_mean_cross_rate,0.24639313458367335
PC8,ppg_dx_kurtosis,0.2246175699876467
PC8,ppg_tke_std,0.20494853969571744
PC8,ppg_mad,0.12615770039379326
