,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
ppg_green_iqr,0.28991588062567814,-0.15609011285434524,-0.28340992994114883,-0.08293040870563041,0.06812835675708352,0.05989375388417931,-0.034258928461524674,-0.07002324107285315,0.0030878777928789484,0.21885474108708414,-0.2743010366971139,0.04502999199085392,0.20199254422554663,0.4944338722205443,0.5933760858252598,-0.08882039594841383,-0.13878012724339042,-0.016465919889101656,0.011114351716842774,2.1431164356655197e-16
ppg_green_mad,0.27354927995300593,-0.20608219291924396,-0.2585481249759954,-0.03388173924858163,0.06061674914374824,0.06655403047043901,-0.008059711145641264,-0.09278007091170647,0.03932171233838632,0.16804187759106093,-0.580459735546797,-0.43753899309936467,-0.00505359994820051,-0.37133714183192623,-0.29385047604912334,0.08081072065865119,0.08665887915484351,0.038051427547210276,-0.004216919153795759,-1.669166214310897e-17
ppg_green_skew,0.039152742947435454,0.2526485609339215,-0.06785614957100868,0.1540446950090758,-0.6088453267503151,0.09401276541724718,0.3028347554085412,0.4901762742332978,0.1265577874430439,0.1304765413753166,-0.26945893683605426,0.13919075500037842,0.0602488262516195,0.17552238336293596,-0.1838341088094893,-0.015564745245601504,-0.009175412616239066,-0.034487334300878685,-0.004101423478173604,-1.9046103177751529e-16
ppg_green_kurtosis,0.11402295014864235,0.33904255968616,0.24267441259588957,-0.0019448984397341933,0.2811596264793847,0.07772542518905305,-0.003155432658857247,0.0384471373437416,0.7257287642719129,0.049493158066797945,0.07860333558842154,-0.2684480289975086,0.2981924231356268,0.07119871723184189,-0.017406701729719747,-0.13120478824048065,0.057192822933419506,0.06598143626417206,0.00832238961546685,2.154551836246726e-16
ppg_green_diff_mean,0.03221313164945383,0.026854846035037128,-0.03540658124357016,-0.15307002971035027,0.34514868315255703,-0.697695159262567,0.5571550299948275,0.21107851083502177,-0.057762436277971924,-0.015066580357311166,-0.08652868066714695,0.022329317260013526,-0.011196826852612586,0.005235343915874837,0.0037782568921572277,-0.026608001843061013,0.01286656348958045,0.009214201117154236,0.000506852011640642,-8.987919034157406e-17
ppg_green_diff_mean_abs,0.3019681083111712,-0.09310750576183639,0.10497760608740546,0.318893092071052,-0.05575757935482121,-0.06918585296752171,0.05789522209492826,-0.17981286923838521,-0.04295686894733636,-0.3779338162049996,-0.0758859204567774,0.10606611821783646,0.15550652376883123,-0.09265382252828944,-0.1540450398967401,-0.5126739981247471,-0.4872632705795858,0.02402656390600642,0.15757791073170227,2.743110215757068e-16
ppg_green_signal_energy,0.15891999996320805,-0.3423055714536824,0.3467667289278931,-0.26579190279549847,-0.021114235957342277,0.03947217993547121,0.011993614094447201,0.08510335300310747,0.030463216007056006,0.04063393114606468,0.03632508168329365,0.0237430543454561,0.0075604228271366454,0.2792083574637639,-0.27471108006131684,0.36769386812435295,-0.3361784316375574,0.500667190997896,-0.021521405754321158,-7.239828043174422e-16
ppg_green_p1,0.037879190323421325,-0.31022560886107686,0.4580350393591144,-0.2766384310805916,-0.12326043786551563,0.06176269759949879,0.02402969792829384,0.16405627410741627,-0.017299949152439292,0.07590689790546135,-0.10508804850976515,0.1133334147903189,0.1362411837727922,-0.2602453159932342,0.20700738275828845,-0.2683794563559044,0.2420259706545612,-0.1125517360323983,0.018419553672996743,-0.5165258388391524
ppg_green_p99,0.2717480777557068,-0.2086424856453759,0.27076207133671926,-0.23355107485673796,-0.11057771663628013,0.021329348327709368,0.022831270574370795,0.1112271465859223,0.05049846364581938,-0.0015395006698804227,0.08888878609542765,-0.0580026063855367,-0.1251460572000526,-0.04401529327288335,0.04918446466766721,-0.05801497872848577,0.04765367548237155,-0.4447968908641966,0.0010489853213118063,0.7013344510278543
ppg_green_p90_p10,0.3071273509418266,-0.15698190567524717,-0.24027086544088344,-0.012706241813594714,0.04125577032440503,0.07529693083882114,0.025023640393017396,0.026129319252901954,0.12665763115851517,0.0003020412799544517,0.213821434765465,0.17321076501376087,-0.407398954095519,0.17167807268070706,-0.1768237748904741,-0.4032375699830452,0.4679035104373179,0.3382058342976157,0.007885875193111779,1.7212103839999253e-16
ppg_green_p99_p1,0.3481305239172572,0.028318067178468933,-0.09504677978521504,-0.04255740054054884,-0.02826388226432536,-0.03448929264866101,0.007328983803238992,-0.013703434670588016,0.09028350344649268,-0.08200957713258804,0.23739516984521025,-0.20197036472522067,-0.3219132095379965,0.2107949654095598,-0.1474386356114748,0.19936103998025237,-0.1864440762249419,-0.5166679814337084,-0.017869525353472075,-0.49125456294366215
ppg_green_crest_factor,0.30593171875089614,0.22480375853298096,-0.039145302181384393,-0.01888977038196521,-0.21521189283726047,-0.030144956329805742,0.05700074445844833,0.10591416878537145,0.06943825497081302,-0.05360493736956923,0.1708791410230238,-0.11317218561793624,-0.2839773824227059,-0.46809337914339244,0.511824806326022,0.1465894166237212,-0.19402797369621894,0.34889881680872525,-0.000650820258225352,1.7155915472464236e-16
ppg_green_shape_factor,0.29025011934328143,0.05416001942013035,-0.2726474506221716,-0.1436351950089525,0.014614122553717001,-0.04919423162073157,-0.06957071308886613,-0.02554560648653955,-0.0336504693176236,0.42439590076176864,0.3597431701292772,0.39252360417414484,0.4400624204886388,-0.29528399758286367,-0.21677511196277324,0.06685327007769017,-0.08358518799338628,-0.07540933739486892,-0.003457599100529535,-3.566880836733604e-18
ppg_green_mean_cross_rate,0.05673001633536381,-0.05665942288463186,0.35189071912023423,0.5481574943989209,0.0434857508341427,0.0027501715052697397,0.26047372563615534,-0.24643949745060095,-0.10547575670015892,0.6164088123145518,0.08726865601074264,-0.06994682496168105,-0.17954716806549367,0.02718433140938881,0.04405577640534393,0.008977030569377433,0.011635394579662396,-0.006098951460080162,-0.0051525915119476585,1.2823074871641664e-16
ppg_green_tke_std,0.17520608403439797,0.35741600371817944,0.1673260986475728,-0.19193348585943826,-0.2114880249618436,-0.22672245072914812,-0.17658730943798398,-0.20380632161971596,-0.287309138718683,0.055708289319911196,-0.024354132431828993,-0.18568688366981895,0.07725144138180232,0.16751963573104203,-0.0640052633265606,0.0007046510502048131,0.22553944548739005,0.09038946754311931,0.6244845993395108,-1.1477206809373138e-15
