,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
ppg_green_dx_kurtosis,0.2245634072384832,0.27175750779602464,0.09581059255239702,0.04446148156518546,0.16811419791651624,0.3118500322852516,0.20521622483567487,-0.167456930164116,-0.009834087561038587,0.022851028016908883,0.13851349382256392,0.025701461828146106,0.769920488876344,-0.18444156933407047,0.07958825091612133,0.05805890498640496,-0.08011756519912155,-0.06009846400785853,-0.02806373821537771,0.031356801738905885,-0.01122540797980119
ppg_green_clearance_factor,0.2920913379978501,0.11134979535938869,0.14314014267327635,-0.13969439351709326,0.026412191696775805,-0.13783008052809498,-0.13121145383059385,0.09653733063372356,0.1227956765281429,0.21119994208786802,-0.1439796381044965,-0.10432496248095324,0.060856292927353006,0.053113597732606,-0.2503164564233759,-0.5761291492232627,0.19901666947537608,-0.47040398347168094,0.1706729095097061,0.17892136433361355,-0.0401780808732988
ppg_green_tke_std,0.22641777953500125,0.28827923528673877,0.125625849998389,-0.11736917328564131,0.05753960047454816,-0.16518893900637946,-0.07857617090526073,0.10712419920356027,-0.2579424257924405,-0.017255194654386168,0.6092289001740039,-0.10915430429633262,-0.2660312385743086,0.0485025988370903,0.16398335455127147,0.19338300952030418,-0.30242759456716306,-0.32673855358458015,-0.010620019976743084,0.046422650744412354,-0.004136710346169655
ppg_green_p90_p10,0.2572308157699944,-0.25961473341781033,-0.20833575316493105,0.02845982586117765,-0.004240341311353937,0.023431665819992797,0.010894593466754648,0.019579748504386162,-0.034657392172938825,0.02631215292817003,-0.10791274758309229,0.16075382582785322,-0.06727020512709964,-0.4081803256871031,-0.5083552794180152,0.4800052296179527,-0.008026980384610829,-0.33368010688434296,-0.0410095788002943,0.09218500227797932,-0.014696059860228776
ppg_green_p10,-0.16871758272962883,0.3563471415679433,-0.33435289064363183,0.07698349033339422,-0.19156652872880656,-0.011632365645625848,0.01111929416237632,-0.029518033522128593,0.020435436536488733,0.04437659135381223,-0.07561031041152877,-0.21383354151713765,-0.02824464987947853,-0.06587644797537671,-0.0070505543611227356,0.050867190724763534,-0.053791670813092766,0.11023664957509195,-0.02565322381858248,0.7657158545760171,0.1593016595795048
ppg_green_iqr,0.22848166018873042,-0.27004853324657657,-0.2661450598028595,-0.002819588464284416,0.032634829382873806,0.05727046872206971,-0.00021287425649566398,-0.17362366014901498,-0.3307822418067992,-0.034306997115720175,-0.10750612336725278,-0.19201072705824757,-0.12465584083774295,-0.4400730918700179,0.5262936415948107,-0.27544494450644563,0.11276006885162897,-0.09529929508823702,-0.16290276890199598,0.007606948327221648,-0.008293667052370496
ppg_green_p95_p5,0.2739385629133446,-0.17867333601985988,-0.18287009787954303,0.03981754087113819,-0.0713556834687321,0.01809283334811727,0.010890533102125143,0.06371948509846058,0.06830338019445674,0.015647522760160754,0.07147256666273195,0.623348132933359,0.04640632459244843,0.3758114840963456,0.18503724429119148,-0.0999931268458383,-0.026716298567523708,-0.07781505568668688,-0.28818158823478907,0.18780666006875127,0.37028809713893407
ppg_green_p99,0.14925866130448717,0.40952193709195883,-0.2714683546864541,0.012364771105996009,-0.14531065373017815,-0.08618723680978406,-0.05568757539932419,0.01718168632918559,-0.045180848827385975,-0.01026064136324152,0.02807345267309865,-0.09257147833051489,-0.03312037584071592,-0.17221365590888893,-0.2549519887102441,-0.14048962606505533,0.06390499769533092,0.17218998631152094,-0.1216737267869306,-0.4816902760987572,0.544670669553175
ppg_green_mad,0.22868299450619367,-0.2618964270339437,-0.21767230174699978,0.019826270983028735,-0.03400858438547779,0.06293479293891928,0.007499138716881775,-0.24695151093611203,-0.3522554124070527,-0.149732553837652,-0.03555067192451757,-0.4325484062206173,0.15193062866178658,0.568501254946417,-0.2579022234279326,0.024519453706299276,-0.11861211843084317,0.032794213013042715,0.039858679594608835,-0.011102631230458838,0.008249935746268342
ppg_green_tke_p95_abs,0.2559083906090557,-0.1485166564454292,0.06125383415911977,0.22728177414732006,-0.27373823494451116,0.0010592100710109715,0.009922600937154946,0.08993390065539579,0.5533227013883165,-0.20343464121064633,-0.09405292809517382,-0.244028743102362,-0.015619600720117751,-0.09634027536639365,0.11257265219397881,-0.07957462154665279,-0.5697273252493567,-0.0271806631805498,0.007825350046704873,-0.059355678497896004,0.023113167291676184
