PC,feature,abs_loading
PC1,ppg_green_p99_p1,0.3389725490592168
PC1,ppg_green_p90_p10,0.3219052487422936
PC1,ppg_green_clearance_factor,0.3089884131128351
PC1,ppg_green_iqr,0.3014108768435857
PC1,ppg_green_tke_p95_abs,0.3003923597291394
PC1,ppg_green_mad,0.2958757431972531
PC1,ppg_green_shape_factor,0.2806817032802763
PC1,ppg_green_ddx_std,0.2760815151108816
PC2,ppg_green_min,0.5267444216823599
PC2,ppg_green_median,0.483176034163916
PC2,ppg_green_p90,0.3652584413927575
PC2,ppg_green_skew,0.32016574761970645
PC2,ppg_green_mean_cross_rate,0.2616247919576861
PC2,ppg_green_tke_std,0.23795631742604373
PC2,ppg_green_clearance_factor,0.22511447241053117
PC2,ppg_green_shape_factor,0.18676227228466652
PC3,ppg_green_kurtosis,0.44235432441410316
PC3,ppg_green_dx_kurtosis,0.40311108250488625
PC3,ppg_green_tke_std,0.39078469282820183
PC3,ppg_green_iqr,0.27771924891753585
PC3,ppg_green_mad,0.267539904705389
PC3,ppg_green_ddx_kurtosis,0.2602123989919401
PC3,ppg_green_ddx_std,0.24935589531957134
PC3,ppg_green_shape_factor,0.23435625301857754
PC4,ppg_green_mean_cross_rate,0.5027256729736668
PC4,ppg_green_ddx_kurtosis,0.47583652541390475
PC4,ppg_green_skew,0.44295642670614666
PC4,ppg_green_dx_kurtosis,0.313023920207977
PC4,ppg_green_ddx_std,0.2162309379862095
PC4,ppg_green_tke_std,0.2151997498630438
PC4,ppg_green_tke_p95_abs,0.21112632093085681
PC4,ppg_green_dx_mean,0.19422304652403827
PC5,ppg_green_ddx_mean,0.6841002543493607
PC5,ppg_green_dx_mean,0.6561772685400433
PC5,ppg_green_skew,0.18047929451902345
PC5,ppg_green_mean_cross_rate,0.16544573465802515
PC5,ppg_green_tke_std,0.1273910192251336
PC5,ppg_green_kurtosis,0.0944340831513745
PC5,ppg_green_clearance_factor,0.069527737125558
PC5,ppg_green_tke_p95_abs,0.06886259013121361
PC6,ppg_green_ddx_mean,0.6949499101519676
PC6,ppg_green_dx_mean,0.6851686843702268
PC6,ppg_green_skew,0.16581418312794907
PC6,ppg_green_min,0.080301252422249
PC6,ppg_green_kurtosis,0.07357813215950763
PC6,ppg_green_tke_p95_abs,0.04361680983223395
PC6,ppg_green_mean_cross_rate,0.03752540202438359
PC6,ppg_green_tke_std,0.034901110077993576
PC7,ppg_green_skew,0.5578317043687325
PC7,ppg_green_mean_cross_rate,0.47790150822409094
PC7,ppg_green_kurtosis,0.3946269577998669
PC7,ppg_green_min,0.36944866125203574
PC7,ppg_green_tke_p95_abs,0.23187288265262732
PC7,ppg_green_p90,0.18132188557147078
PC7,ppg_green_median,0.14171798816018943
PC7,ppg_green_ddx_mean,0.13895358908286712
PC8,ppg_green_tke_std,0.5094465753211345
PC8,ppg_green_skew,0.46231119452130154
PC8,ppg_green_ddx_std,0.3952192709475132
PC8,ppg_green_kurtosis,0.3797491495214423
PC8,ppg_green_ddx_kurtosis,0.2341456193952551
PC8,ppg_green_dx_mean,0.2193009862232192
PC8,ppg_green_mean_cross_rate,0.2177374915015508
PC8,ppg_green_ddx_mean,0.15675463940526088
