,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ppg_green_min,0.0677787099600516,0.4530489968309355,-0.3232277778132453,0.1888112530243952,-0.2420355409360927,0.13802850461267197,-0.01580830335525939,-0.51238426387064,0.516761593600763,0.12597066973784085,-0.019960630208940715,-0.14392052427654745,0.045551601645547175,0.05755627444093324,-0.013992440368564455
ppg_green_mad,0.33773199772852197,-0.13614088296660956,-0.36232637094960557,-0.07396237181381755,0.1700004434326661,-0.048606710931361624,-0.053001874749464876,-0.09760324111972435,0.03018464788364812,-0.10006603149858691,-0.05994669798879568,0.7084918725988757,0.2517607906062543,0.3272950531901668,-0.0083282862005496
ppg_green_skew,0.04496844405995135,-0.19745226611401537,0.2935033844831239,-0.31896918413381814,-0.5127145404437831,-0.032450023736487345,-0.6396728003612443,-0.15837994340501105,0.12610590128805008,-0.14518511279178464,0.018363419995742272,0.09812816247795275,0.11147147877227331,-0.11548373998689031,0.01414252222785075
ppg_green_kurtosis,0.12074396539206965,0.44773248503866836,0.28651474012708655,-0.12427706683733258,0.10572961076239738,-0.17150872179363394,0.029724937240593136,0.5530807910267937,0.5379110750531929,-0.1250184485569298,7.823513020598186e-05,0.16687385051300835,0.05724339870693222,-0.053802144717885275,-0.032385224233861816
ppg_green_diff_mean,-0.008011936771546387,-0.02264653310971125,0.02717414778823677,0.45042035693586946,-0.1499795120188721,-0.8704642969602154,-0.01235723724759426,-0.10216196096406858,-0.04866610337142737,-0.03339994303028979,0.027852374372969856,0.02587392791075331,-0.0024450367541572174,-0.007973340353590725,-0.003947681863643918
ppg_green_p90_p10,0.38624358726751845,-0.13001982798644743,-0.19524904092509948,-0.016898379094035708,0.10225278367623411,-0.018792747193702917,0.005317780083827114,-0.07071213582886414,0.09793314029956007,-0.04758633629716702,-0.08561719579952627,0.13695834149168162,-0.5144899569933973,-0.6896643157917614,-0.03722463104396337
ppg_green_shape_factor,0.3331243728292208,-0.2991522031409271,0.019548230639474248,-0.023350944937142914,0.08205102369319642,-0.06790787209737482,0.04072245564911485,0.09172907132517537,0.16282860528425783,0.6250514515833206,0.10557117124853718,-0.20789569972848546,0.5058281258916993,-0.21248561642953095,0.06790968272746058
ppg_green_clearance_factor,0.37531934904683806,-0.18528565365212274,-0.014999496733939662,-0.14991980198699895,-0.01799518294198512,-0.11124243561264484,-0.11204537266129617,0.11311082372858766,0.14218974421280142,0.17862914793050613,0.03162475502661887,-0.29632414713377925,-0.5228741968712569,0.5818214872196493,-0.10587096336187445
ppg_green_mean_cross_rate,0.13006252182852795,0.3742485565719304,-0.28008953500038875,0.05126710744870626,-0.49981411560453753,0.06157144594777624,-0.10826522284164694,0.401019927159549,-0.4309455973123082,0.34704425315559534,-0.04965635724404137,0.14726477449885578,-0.061655257617615464,-0.0409214555253481,-0.004163580016209949
ppg_green_tke_std,0.23127514204485303,-0.13081567106648467,0.45486304300981223,0.39828747616303745,-0.2465346845409841,0.25413214598567235,0.2596736971194937,-0.03752627376207482,0.056314749486427354,0.031730146645876194,-0.29091657338735516,0.19801858712276835,-0.10104794529375846,0.1093678843960916,0.4684769265279978
ppg_green_tke_p95_abs,0.35531596562320517,0.02148030803308738,-0.2902111774440517,0.0029183108213220177,-0.06184247625666694,-0.002702131651725713,-0.008434331356059825,0.16111494421818692,-0.094641882318227,-0.5491982562415872,0.15837044178166404,-0.4038875487573452,0.2151304352414112,-0.009518011114998937,0.4626481429618516
ppg_green_ddx_mean,-0.010008373594574918,-0.047963726397599354,-0.01029610893611554,-0.5580045433791975,-0.40116621406525094,-0.20879084181694496,0.6763994315724814,-0.1399728980658405,0.01317255087635098,-0.03628671260504257,0.02897181783986874,0.04400287900642039,0.00913836087609727,-0.011328383729555505,-0.0031590889348794737
ppg_green_ddx_std,0.35740214776465945,-0.04855528324304926,0.17894315441271832,0.2694992000453817,-0.17691433959747943,0.18769049962238202,0.16712391867689405,0.011879602195977083,-0.1002452661032577,-0.27721988264104097,0.054433353939541365,-0.09589420458170443,0.19813051972459542,-0.008556762426463837,-0.7295684308750633
ppg_green_dx_kurtosis,0.26404520230922174,0.34612337891254663,0.34234411438116047,-0.07085882232441869,0.17280394312387837,0.004764669158208787,-0.008611784998845046,-0.3032287958873248,-0.2686500273848386,0.09926593481124474,0.6649064932113008,0.13791919627968727,-0.09024421205096028,0.004505419716844608,0.1226347135487989
ppg_green_ddx_kurtosis,0.2635277949257518,0.3367848009362581,0.19401420821554657,-0.25537986066283264,0.24888913668178503,-0.16076107187227712,-0.0879709492466417,-0.24585236208773603,-0.29642358262203433,0.01859004750216717,-0.6460161644589456,-0.18766293740630907,0.13075570111964865,0.0043467431647680145,-0.020341482855562407
