,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
ppg_green_mad,0.2762079361125279,-0.22262841738957062,-0.20875666266681797,-0.18640932004663877,0.22969303910282646,-0.1224274461066573,0.2910147097997267,-0.1904080500290121,0.19443809372743864,0.24245880836507203,-0.08225155304358368,-0.04614171683939181,-0.5891965643080054,0.37197307604283425,0.1231057119359512,-0.02912100543594173,0.01092677279676693
ppg_green_iqr,0.3094541950494805,-0.13273032429729828,-0.2200102678009311,-0.19685332657279822,0.15645123518201237,-0.06466800848833569,0.18428156803572568,-0.09892137464318754,0.015970301965573495,0.45769522792302325,-0.11388432163659147,0.08565278358192205,0.6387597587264541,-0.21633203863742326,0.19110805795784072,-0.02164741425227285,-0.07218342011087428
ppg_green_tke_std,0.29559999280284627,0.23398102660919237,-0.010669333232627665,0.21820072606907323,-0.15464098540027507,0.03441059048377493,-0.3240868984755564,0.20782519588167542,-0.2418386358163128,0.2555009026574686,-0.08157722681447525,-0.4681434906389376,-0.10986327094048176,0.042406215814114544,0.3978795376907649,-0.33912262404372745,-0.008140277392781597
ppg_green_dx_kurtosis,0.22739616777253024,0.14603466178196123,0.4234865085813946,-0.2198060445807474,0.03161486362283638,0.17379283449365943,-0.06688692518080981,-0.19447604044146097,-0.28221206169756674,-0.09820474987667525,-0.6794433676623098,0.21516405023442398,0.00017055525356335778,0.15015472555170153,-0.07401758309341054,0.017352723700050122,0.016069564581010862
ppg_green_shape_factor,0.3310214879278317,0.09554105729431542,-0.09877815234904311,0.1408745397753125,-0.11745340865143794,0.00027227572936011017,-0.27000905076855913,0.19722471609793396,-0.14026648150410173,0.12027078705156942,0.31132133328186185,0.6097041366553362,0.025566530045912538,0.39435764355991143,0.04984147228183628,0.2540521836794819,0.009895976007933823
ppg_green_ddx_kurtosis,0.17456244939580826,0.005618674794003933,0.4631681966014834,-0.36650580406911143,0.13590693396593914,0.10729271188075458,0.014220816422669492,-0.29589766551559965,-0.27914491341825837,0.0227099894105617,0.6270524342795272,-0.14645085576838368,-0.030539738145639813,-0.07603157232323038,0.053489363894604985,-0.009414628941915554,-0.012710645680789107
ppg_green_crest_factor,0.3589016817357464,-0.09493209387746858,0.034381068369616845,0.11523512969022437,-0.0016873826507393219,0.11252841516458853,-0.04894221754919934,0.047783819923386296,0.1666171496526276,-0.12821512820832576,-0.0016207697160917954,0.362689737407461,-0.34958347779400784,-0.6969772198827734,0.08104637135172588,-0.18397826997621308,-0.07888551544967146
ppg_green_p90_p10,0.37269704446968716,0.02406245809016982,-0.14532897781855528,-0.005925926270670037,-0.02195557885329953,-0.05540867186877182,-0.08243602966383971,0.03587705843646891,-0.021309407558646364,0.07902926278022561,0.051194192763150626,-0.16921548398223582,0.037750312463846,-0.024894733217441217,-0.7870212600436673,-0.20386881818971098,0.3560379457957473
ppg_green_diff_mean_abs,0.37240299402516813,0.015585280550440913,-0.02149961352068774,0.08489817699957702,-0.08374460207781736,-0.1464924144580481,-0.006091632670856878,-0.01723340933990343,0.04345551495108624,-0.20309633827960594,-0.07551221506407424,-0.3749484682756381,-0.013512255349851253,-0.15889642733985332,0.02742745494184785,0.7788611834402213,-0.048613517317652656
ppg_green_tke_p95_abs,0.33816908271770896,-0.04661675259505804,-0.019483094134012526,0.027895660044708576,-0.03463715312908307,-0.1973741101151197,0.13600068089007727,-0.061109683783108625,0.18978648007046606,-0.6817388876108168,0.07339406060621938,-0.02658405658352029,0.28823933140127717,0.2636328698283914,0.19991385968483905,-0.3466948917095965,0.01722266362750135
ppg_green_diff_mean,-0.05573930814695616,-0.010015824693476602,0.14086593077311999,0.4215098264890759,0.4949708390633516,-0.3190286955241751,-0.46054582696798185,-0.4526110498255362,0.15971060821617347,0.0723066465339277,-0.01835214896624923,0.025617372850626017,0.05769389250903438,0.008076807306920604,-0.016668823991371078,-0.011711712377024567,0.002606267151207537
ppg_green_skew,0.09503872412316627,-0.06255407085895004,0.03569527458107523,0.48143268005264106,-0.1483903250537455,0.6925317311811887,0.2290137625834048,-0.34833933969657727,0.17864549665223894,0.08625272980619685,0.057747875722683854,-0.07094300226613254,0.09954826825675023,0.1379183333304827,-0.026713367922732423,0.02873058178409916,0.020092696671568853
ppg_green_mean_cross_rate,-0.022599374120602995,-0.05638751042196075,0.2380467940707172,0.2798131406050447,-0.5580820242939494,-0.5204099073352513,0.330161841054766,-0.2724016042634738,-0.18482581550947091,0.19539204363050958,-0.0021225010443845778,0.11114810592577964,-0.04738193742957981,-0.05536502507255341,-0.03128169712194779,-0.06922726420992313,0.008844343579733394
ppg_green_ddx_mean,0.05823708242360123,-0.0022717455075487347,0.22342596041347076,0.4003987511367688,0.5128460520896185,-0.051340865360401916,0.4791623774761103,0.43325062847147744,-0.3162230344640702,-0.016678056108852223,0.010440140769596852,0.0020492232603323566,0.010159791846555194,0.0076025410005965445,-0.05183389795166939,0.012659502278628115,0.004349268201198615
ppg_green_signal_energy,-0.0586532078055707,0.6391694567471886,-0.09839022495836444,-0.032998290164351775,0.08329055960806984,-0.02929755278785565,0.20669126534887547,-0.13621245293089113,0.11102963653625207,0.0018559176649669325,0.033457079775829984,0.10453479674750311,-0.035225836349489836,-0.12263049354578406,0.23163864685398172,0.07215403079270982,0.6392669387060754
ppg_green_p90,0.05979312737202622,0.6424256059059992,-0.1395247316183367,-0.013055681819962734,0.05074849675315039,-0.04693483572791729,0.15853349696001676,-0.11608463557984013,0.08840005236663413,0.015418413035535221,0.05674456746744173,0.0052125132327067135,-0.03637278859965202,0.014781400499100974,-0.23101654695506396,-0.07278565987337746,-0.6702107433331259
