feature,nan_ratio,variance
ppg_green_mean,0.0,1474026873.4397774
ppg_green_std,0.0,49425257.56347424
ppg_green_p95_p5,0.0,388250016.2281638
ppg_green_p99_p1,0.0,589772509.605668
ppg_green_trim_mean_10,0.0,1478953327.2363904
ppg_green_mean_abs,0.0,1474026873.4397774
ppg_green_rms,0.0,1477360227.5827193
ppg_green_crest_factor,0.0,0.0038017284314546275
ppg_green_shape_factor,0.0,3.457796045419749e-06
ppg_green_impulse_factor,0.0,0.004163298705787123
ppg_green_clearance_factor,0.0,0.0043193656717911404
ppg_green_mean_cross_rate,0.0,0.00039024651802627337
ppg_green_tke_mean,0.0,1367270192442183.8
ppg_green_tke_std,0.0,1.069974682177353e+17
ppg_green_tke_mean_abs,0.0,1367270192442183.8
ppg_green_tke_p95_abs,0.0,955607.6644542654
ppg_green_dx_mean,0.0,16720.59452464879
ppg_green_dx_std,0.0,1699188.7550404633
ppg_green_ddx_mean,0.0,33.919818846751916
ppg_green_ddx_std,0.0,3181131.631212277
ppg_green_dx_kurtosis,0.0,38.095059645476184
ppg_green_p90_p10,0.0,304560357.9879865
ppg_green_p99,0.0,1922103093.916542
ppg_green_p95,0.0,1794863979.1616068
ppg_green_diff_mean,0.0,16720.59452464879
ppg_green_min,0.0,1253576248.8114977
ppg_green_max,0.0,1944723529.1622844
ppg_green_range,0.0,624752874.2539123
ppg_green_median,0.0,1513146615.8125355
ppg_green_iqr,0.0,135215749.21319726
ppg_green_mad,0.0,23777037.140178718
ppg_green_skew,0.0,0.42867933085386717
ppg_green_kurtosis,0.0,2.1425260430588016
ppg_green_diff_std,0.0,1699188.7550404633
ppg_green_p90,0.0,1754649201.2973614
ppg_green_diff_mean_abs,0.0,143087.74897869938
ppg_green_diff_rms,0.0,1702834.1269642492
ppg_green_signal_rms,0.0,1477360227.5827193
ppg_green_signal_energy,0.0,1.0005352647907798e+25
ppg_green_zcr,0.0,0.0
ppg_green_p1,0.0,1257052470.3295345
ppg_green_p5,0.0,1279777956.2968938
ppg_green_p10,0.0,1307305879.8837032
ppg_green_ddx_kurtosis,0.0,59.931841547888304
