,ppg_green_mean,ppg_green_std,ppg_green_min,ppg_green_max,ppg_green_range,ppg_green_median,ppg_green_iqr,ppg_green_mad,ppg_green_skew,ppg_green_kurtosis,ppg_green_diff_mean,ppg_green_diff_std,ppg_green_diff_mean_abs,ppg_green_diff_rms,ppg_green_signal_rms,ppg_green_signal_energy,ppg_green_p1,ppg_green_p5,ppg_green_p10,ppg_green_p90,ppg_green_p95,ppg_green_p99,ppg_green_p90_p10,ppg_green_p95_p5,ppg_green_p99_p1,ppg_green_trim_mean_10,ppg_green_mean_abs,ppg_green_rms,ppg_green_crest_factor,ppg_green_shape_factor,ppg_green_impulse_factor,ppg_green_clearance_factor,ppg_green_mean_cross_rate,ppg_green_tke_mean,ppg_green_tke_std,ppg_green_tke_mean_abs,ppg_green_tke_p95_abs,ppg_green_dx_mean,ppg_green_dx_std,ppg_green_ddx_mean,ppg_green_ddx_std,ppg_green_dx_kurtosis,ppg_green_ddx_kurtosis
ppg_green_mean,0.0,0.269410454734805,0.9598647904580974,0.7603228076323519,0.23696705584389324,0.9955987823406374,0.3474144101295403,0.3414423641900741,0.1256051072348367,0.025061603793289866,0.00389956117843814,0.07851156126869775,0.27538225801633354,0.07948885691637761,0.9991074556363521,0.9915911281017776,0.961548636756921,0.9694150646503499,0.9761804525888741,0.9585240454101712,0.9054068349117377,0.7681307339084157,0.334131490211274,0.30777446495118255,0.23580041299204876,0.9993057286341412,1.0,0.9991074556363521,0.3375978080946186,0.2563212526350835,0.32017136641510197,0.31509650269048367,0.13262850947120713,0.0036910718060237176,0.004438202711213532,0.0036910718060237176,0.34600379671218834,0.00389956117843814,0.07851156126869775,0.062004958189284955,0.03459129859832129,0.009005875435441676,0.08184791082438293
ppg_green_std,0.269410454734805,0.0,0.4850351456163103,0.3594672903898055,0.968436917542858,0.2992159503417804,0.7802808238096743,0.7335986621453539,0.3143078138932035,0.330352109879377,0.1955916576583417,0.8135389538882362,0.8774993982901947,0.8156185782298428,0.2338850231350045,0.23069490497903478,0.4820799078205034,0.4635505812178435,0.4461350683976495,0.044420491712963056,0.1163049517740689,0.34902828218151055,0.892182047984575,0.9523990710443995,0.9690300987014967,0.29286060463341784,0.26941045473480507,0.2338850231350045,0.8800567830854134,0.8196859314665883,0.8729798855884844,0.8705468236382424,0.10258576777329366,0.6945438232541549,0.6834391280720586,0.6945438232541549,0.7407949782272338,0.1955916576583417,0.8135389538882362,0.005779969275621756,0.7734229369470211,0.5569381274253438,0.44815564115493567
ppg_green_min,0.9598647904580974,0.4850351456163103,0.0,0.6193384016537521,0.4440514024708789,0.953814017989345,0.5357121453080643,0.5205137223675562,0.09735171285026444,0.09608833019598284,0.04078323444671836,0.2281074347263634,0.4633912226752585,0.2297216835153058,0.9524577608612539,0.946963089005492,0.999890331182376,0.9977777966453499,0.9938422795258923,0.8669363867253653,0.7920725644648493,0.6284672501241978,0.5448058963136242,0.5217694164277634,0.4425594540305961,0.962212126322154,0.9598647904580976,0.9524577608612539,0.47684526104555136,0.3829776760317213,0.4562683812662787,0.45026446123991026,0.09142063588156012,0.11849825415394857,0.1081636711309231,0.11849825415394857,0.5157943981167131,0.04078323444671836,0.2281074347263634,0.04787995327854437,0.17215491198835647,0.1179786983930219,0.194591608434812
ppg_green_max,0.7603228076323519,0.3594672903898055,0.6193384016537521,0.0,0.42845419060302764,0.7252096797762094,0.03280459347011966,0.024568981905758142,0.22977540400724,0.308917939285243,0.11001922098875982,0.5588599335043081,0.34028155752986866,0.5585695989554206,0.7845094177095354,0.7825072802901485,0.6225135437462384,0.6407898873233744,0.6544440318705218,0.8339567748378244,0.9107639081754098,0.9993066417342154,0.13545154205863455,0.25438467311737467,0.42913711398208976,0.7387587592344514,0.7603228076323519,0.7845094177095354,0.33562869586221744,0.33539095360525517,0.3492246632842127,0.35192789594477536,0.12800608335719604,0.5661939004100129,0.5690530218121405,0.5661939004100129,0.13911711862035167,0.11001922098875982,0.5588599335043081,0.05175268625216319,0.5858094797810424,0.43161362537994236,0.2162464128087652
ppg_green_range,0.23696705584389324,0.968436917542858,0.4440514024708789,0.42845419060302764,0.0,0.27007538805731335,0.6539639579815039,0.6270741229959849,0.3742624847501062,0.46312775308939025,0.17249196471570827,0.9003019196167823,0.9216327270353262,0.9018283484534955,0.20084034176047613,0.1968016592566491,0.4403016462169919,0.4170130532672714,0.39690143027795916,0.04598726777173184,0.12782410766593805,0.41715694017995353,0.7815725420526439,0.8907900691195403,0.999062352228973,0.2642778734446013,0.23696705584389324,0.20084034176047613,0.9318064146125092,0.8235071850910493,0.9236414474796285,0.9198168001609301,0.04087158471854029,0.7825274117963065,0.7738967061287683,0.7825274117963065,0.752367773199538,0.17249196471570827,0.9003019196167823,0.003958477644456101,0.8666641460146134,0.6283434481817376,0.47073184712647453
ppg_green_median,0.9955987823406374,0.2992159503417804,0.953814017989345,0.7252096797762094,0.27007538805731335,0.0,0.35153053467967227,0.3487104171742938,0.1778448237197882,0.044735621923479296,0.00023656961381232427,0.12189739278677306,0.3066642367346839,0.122793856776834,0.9927305533792252,0.9841424353188272,0.9556093665032412,0.9636425119878409,0.9711862579677953,0.944004924154383,0.8810427973651908,0.7335867574241827,0.35048466681992757,0.33375671003718166,0.26887922050403984,0.9966439582831009,0.9955987823406371,0.9927305533792252,0.38261922971490225,0.2987692658463217,0.36586146385523227,0.36093910733822504,0.13381498365782124,0.04702057174048406,0.0379000570802905,0.04702057174048406,0.3665429657269272,0.00023656961381232427,0.12189739278677306,0.06348295756102995,0.07910704309047609,0.0399212189890044,0.09326791937205454
ppg_green_iqr,0.3474144101295403,0.7802808238096743,0.5357121453080643,0.03280459347011966,0.6539639579815039,0.35153053467967227,0.0,0.9211049356939943,0.1024245280711234,0.03849916216941367,0.168163701461549,0.3500638748903901,0.5964401981954259,0.35294007484102147,0.32707734113304315,0.32629214912445786,0.5338792928102991,0.525504529106297,0.5146026932046354,0.136152560102044,0.07842379636797335,0.025473177167801765,0.869587992057926,0.7714160530229109,0.654712678140384,0.3536578689257552,0.3474144101295403,0.32707734113304315,0.5549198809965299,0.5472320026949052,0.54171398568218,0.5398985914075664,0.17090330279506535,0.20839558487349483,0.19232170423347972,0.20839558487349483,0.6382841520526132,0.168163701461549,0.3500638748903901,0.012235950613196165,0.29218151930080977,0.24148971922177484,0.31136760421088244
ppg_green_mad,0.3414423641900741,0.7335986621453539,0.5205137223675562,0.024568981905758142,0.6270741229959849,0.3487104171742938,0.9211049356939943,0.0,0.11329777113654627,0.037407109871162185,0.13161517400736103,0.3446919867924987,0.6027774158472752,0.3472304361286667,0.32341814655670237,0.3229547904881578,0.518707546907511,0.5091593175450163,0.4973542934655294,0.14201458107356132,0.07835184081313783,0.018202827236680336,0.8208564216654262,0.7439514149233225,0.6285202430005663,0.3477296510840567,0.3414423641900741,0.32341814655670237,0.5277887347607984,0.48084267454273033,0.5112021803592203,0.5073505811008253,0.11892533076280501,0.20652772271568082,0.19255940825363652,0.20652772271568082,0.6133536725910287,0.13161517400736103,0.3446919867924987,0.028555127002154783,0.28747226997398856,0.21876091681539325,0.28148695280467345
ppg_green_skew,0.1256051072348367,0.3143078138932035,0.09735171285026444,0.22977540400724,0.3742624847501062,0.1778448237197882,0.1024245280711234,0.11329777113654627,0.0,0.1328297505157472,0.06830477054904632,0.44936840142063894,0.3516975357062071,0.44895910529358385,0.11025316556133019,0.09289193389532553,0.09901432588087375,0.10695737481721236,0.12250860573590237,0.06742884061159908,0.037044716317527225,0.22197788433639895,0.1412396095295514,0.23471895497401418,0.37320506247848056,0.14556972914787292,0.1256051072348367,0.11025316556133019,0.5115478682306274,0.35417997013284114,0.49813167169360495,0.4918137040059942,0.07028754052987167,0.4179494605259633,0.4211649828769265,0.4179494605259633,0.20434492925742573,0.06830477054904632,0.44936840142063894,0.03988320981333823,0.4566956482787172,0.3102271066964588,0.11217263809335247
ppg_green_kurtosis,0.025061603793289866,0.330352109879377,0.09608833019598284,0.308917939285243,0.46312775308939025,0.044735621923479296,0.03849916216941367,0.037407109871162185,0.1328297505157472,0.0,0.07471418208660409,0.5214738966496425,0.39991384239111377,0.5214781291625685,0.009482871972567888,0.0035443339422687467,0.09162254804727989,0.06854098927586559,0.0518897267067642,0.01654554981681717,0.07849166402668702,0.30239535794235406,0.08239329156154018,0.23068403038650673,0.4577469037166872,0.04304047289932939,0.025061603793289883,0.009482871972567888,0.4646247544036069,0.32919382018181537,0.45802402300715117,0.4533543301563149,0.1506727748616798,0.47315622515438854,0.48115954901680846,0.47315622515438854,0.2682696794712634,0.07471418208660409,0.5214738966496425,0.041103408141142335,0.5212675971480093,0.5290181391873785,0.3910828100227907
ppg_green_diff_mean,0.00389956117843814,0.1955916576583417,0.04078323444671836,0.11001922098875982,0.17249196471570827,0.00023656961381232427,0.168163701461549,0.13161517400736103,0.06830477054904632,0.07471418208660409,0.0,0.11625062491682071,0.10073745007020615,0.11715587997973015,0.010842395587689627,0.008849997094512656,0.041618393146353884,0.04058828850336238,0.03934141481351019,0.04426819060248833,0.05456509012331884,0.11104633323466366,0.1691929256830184,0.14845738343575235,0.17743102029246005,0.00023260417934405463,0.003899561178438143,0.010842395587689627,0.14801462421908632,0.1462235199200685,0.14545533801081145,0.14464330786073787,0.023322871284937246,0.09904979042512911,0.11774258095370851,0.09904979042512911,0.05971514029015697,1.0,0.11625062491682071,0.013531788270177066,0.11096855233276752,0.11890954896330352,0.07891997380934616
ppg_green_diff_std,0.07851156126869775,0.8135389538882362,0.2281074347263634,0.5588599335043081,0.9003019196167823,0.12189739278677306,0.3500638748903901,0.3446919867924987,0.44936840142063894,0.5214738966496425,0.11625062491682071,0.0,0.858603908226709,0.9999804579488063,0.04162686926864525,0.03698333966127825,0.22507622436572552,0.20477983949972903,0.19109395163645654,0.05062801295704655,0.24303256752538244,0.5498679778972078,0.5129991279067672,0.701709781217481,0.9008281414602883,0.11138541729031562,0.07851156126869778,0.04162686926864525,0.8645624926689243,0.7765820124837044,0.866786934815125,0.8652241694448773,0.048130100921827956,0.950283663123561,0.9451000451182539,0.950283663123561,0.5818410262052363,0.11625062491682077,1.0,0.003353880179311564,0.9952525142257026,0.6792434512193511,0.4127915250993208
