feature,reason,value
ppg_green_diff_std,|corr|>=0.95,1.0
ppg_green_signal_rms,|corr|>=0.95,1.0
ppg_green_mean_abs,|corr|>=0.95,1.0
ppg_green_tke_mean_abs,|corr|>=0.95,1.0
ppg_green_dx_mean,|corr|>=0.95,1.0
ppg_green_diff_rms,|corr|>=0.95,0.9999804579488063
ppg_green_min,|corr|>=0.95,0.999890331182376
ppg_green_impulse_factor,|corr|>=0.95,0.9996098698268449
ppg_green_max,|corr|>=0.95,0.9993066417342154
ppg_green_trim_mean_10,|corr|>=0.95,0.9993057286341412
ppg_green_mean,|corr|>=0.95,0.9991074556363521
ppg_green_range,|corr|>=0.95,0.999062352228973
ppg_green_p1,|corr|>=0.95,0.9983353553496825
ppg_green_p5,|corr|>=0.95,0.9982616226097469
ppg_green_tke_mean,|corr|>=0.95,0.9964761746723125
ppg_green_dx_std,|corr|>=0.95,0.9952525142257026
ppg_green_crest_factor,|corr|>=0.95,0.994293262376185
ppg_green_median,|corr|>=0.95,0.9927305533792252
ppg_green_rms,|corr|>=0.95,0.9927167568930846
ppg_green_p99_p1,|corr|>=0.95,0.9690300987014967
ppg_green_p95,|corr|>=0.95,0.9634038407964298
ppg_green_p10,|corr|>=0.95,0.9631489641141143
ppg_green_signal_energy,|corr|>=0.95,0.9592807578708344
ppg_green_ddx_std,|corr|>=0.95,0.9587130407675801
ppg_green_std,|corr|>=0.95,0.9523990710443995
