,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
ppg_green_dx_kurtosis,0.240313002984949,0.28754041789063217,0.08922010041928412,0.3881641993002552,0.16953233100596454,0.02430012005211913,-0.06388076037581607,-0.2246175699876459,-0.17203018321958496,-0.03275352244672883,-0.1268612809336388,-0.1896622158335128,0.7260767544409107,-0.03171437449181643,-0.004471502607277138,-0.07539500030824221,0.010038131783547448,0.01848913416988234
ppg_green_tke_std,0.25805258199618547,0.31260817846196015,0.07484228095368624,-0.22764829982497195,0.04282536429830709,0.03679658216304549,-0.12932022460688722,0.20494853969571925,-0.35671629538719013,-0.2644223229012269,-0.3607750618488532,-0.2140543594992377,-0.29574341543952903,0.24708287526932685,-0.11050861745662338,-0.3271644559575447,-0.23119508976816397,0.14827891589874942
ppg_green_clearance_factor,0.3394496475225069,0.07370219606736349,0.13128804974183755,-0.18463899254295835,0.06891396196455273,0.035532701234363404,-0.11777103586375158,0.12246820911672743,-0.03831383746168239,0.10762612511552558,0.2742407353863184,0.004231303072031352,0.04421307836880919,-0.19245068077211064,-0.05496528239967955,0.584876919959829,-0.42024948196531503,0.37967423913815235
ppg_green_iqr,0.27109405026584327,-0.3360106225015278,-0.2148370607850994,0.06076929644675061,-0.003012637334526221,0.020610416592047962,0.006297804734288995,-0.08475551939875178,0.08265088061890935,-0.28031224682447115,0.2416540291877041,-0.14021736334257692,0.06603879602266668,0.7029530013216081,0.26399260254831763,0.11939476967821913,0.02334834764247416,0.09818291056252845
ppg_green_p99,0.135087414875659,0.4568254323497758,-0.39084308984268673,-0.12758023565182414,-0.125304710944664,-0.1164875938901154,0.12927273044670556,-0.032758212780234414,0.03597245032880025,-0.009702548623424003,0.07558632917792461,-0.1268194495124253,-0.04187355379384059,0.0027238276254557543,0.14219773199560073,0.23968533837382444,-0.18656486183670556,-0.6477272322813146
ppg_green_p90_p10,0.3073827949460774,-0.2487327125842936,-0.1801943836458594,0.04067900538930506,-0.051251927938531776,-0.022701334036623198,0.04382158677417237,-0.0019920522827073456,0.032337999290649067,-0.05865297284653414,-0.21912602116321964,0.5148330047080056,0.12488491190390244,0.10822405772125175,-0.627262989377406,0.02259619385970852,-0.15539532681946885,-0.20365572087042408
ppg_green_mad,0.26077338320009186,-0.3359189238286644,-0.19264429079375914,0.04412615459403992,-0.02648038282381914,-0.01902030425204481,0.03370717325641903,-0.12615770039379365,0.1316377600470488,-0.43230431255384505,0.090159999055064,-0.4304099223891203,-0.10861966212306237,-0.5560298135096651,-0.12197129845413826,-0.16448582145291596,-0.034136511167550454,-0.017875769422338008
ppg_green_skew,0.1423067508505254,0.1578555503651724,0.18523395350543181,-0.44268894216366744,0.1755761689200426,0.13959642087652283,-0.21164732453262428,-0.6796315149167493,0.35503266980457265,-0.021208554256527082,-0.007297941175201431,0.1372051522147347,-0.06322200752336435,0.03413189958877308,0.006024415657179654,-0.11227767887314934,0.0647448254433542,-0.012828633850160804
ppg_green_tke_p95_abs,0.2974711702895167,-0.14848862108272196,0.10088177455296077,0.018294285946011433,-0.22842835017791202,-0.15449772415862661,0.15192377977095675,-0.0034375159229054876,0.21659998233189012,0.641204780367815,0.04258779579787906,-0.21869176933868692,0.005107094311742108,0.08013096617195296,0.04725016456321604,-0.4109210748499577,-0.3074344504070318,-0.007607451166278456
ppg_green_shape_factor,0.3134452632581217,0.0424050934703709,0.04842998489722695,-0.23310522550850055,0.08289459240914686,0.02784328752096701,-0.10096212914461633,0.2547199166934661,-0.29234481774682863,0.049067813676560885,0.5868370680012003,0.18824018309898422,0.09556648470343211,-0.08099237019966968,-0.027093186431745717,-0.3078706606362601,0.3922062964590282,-0.16681091583354896
ppg_green_kurtosis,0.15012828585602186,0.32536508156695154,0.28924014731540915,0.25082232916570396,-0.05747749159738878,0.037009505896464116,0.04430758086385438,0.4035057175186264,0.6688922306541332,-0.2829048851399915,0.06641103857952131,0.11199496042297304,-0.02817717532153964,0.03415863852409837,-0.008258175450203823,-0.07523642503056649,0.05760672976078027,0.012675204289162943
ppg_green_ddx_kurtosis,0.20103452485791434,0.1340907703976305,0.060341739698597574,0.6204238062850876,0.20173875335063268,-0.03934177727178855,0.01571230500168003,-0.30190096589479193,-0.19010013882180515,0.09874746154464457,0.18098449505047215,0.14725517727158483,-0.5636196356314377,0.0004122860246949442,-0.014752565264400455,0.03141800167340779,0.006625734379037221,-0.012493947952313076
ppg_green_diff_mean_abs,0.34127891005349487,0.004939543672190393,0.10595673159917486,-0.06930635221613475,-0.17744331542616656,-0.09849598567562015,0.08260733001224536,0.018078223371133847,0.015331713126699946,0.205679150432701,-0.325607737615852,-0.2659696601514519,-0.11778724404342461,0.0289766608731583,-0.14503681233626953,0.3691959468231083,0.6534446449105616,0.02813861172644368
ppg_green_p95_p5,0.33814326131644284,-0.1282456315540874,-0.09518325418477422,-0.009714293524903255,-0.025791327255721155,-0.04410752766022673,0.005214188745484818,0.07041883631407991,-0.04859903333362026,-0.040560866018589076,-0.371861124274738,0.43349726849689074,0.007675230301770817,-0.25946706716343804,0.671481455870716,-0.040446420234179305,0.01030828153802742,0.04735073298828532
ppg_green_p90,-0.021919983318819503,0.3541199810520433,-0.563289276350269,-0.03582567964421877,-0.17801197992191556,-0.17460329416262615,0.23267094837869276,-0.11698723768386346,0.07565043818935714,0.023286988636847212,0.10491529385516503,0.14159524259487796,0.026406058857909243,-0.03356831617091103,-0.1014335560580612,-0.15632045520782956,0.1435598667730926,0.5753814416952083
ppg_green_mean_cross_rate,-0.009317067322942612,0.02600580278731247,0.4581483495030497,-0.0766784150422684,-0.4869526514295548,-0.09162045272998723,0.5394699465605262,-0.2463931345836742,-0.24836830042939148,-0.2910943243478519,0.12511158237247724,0.12093625457023865,0.05080486905150254,0.005317234787829655,0.03004542599341022,0.023348448260673376,-0.07378340822538805,0.0005728478748443745
ppg_green_ddx_mean,0.00828697733363523,-0.04828060581530391,0.06735797023050785,-0.17116399841525023,0.7107242105198667,-0.33331064282766354,0.5775069147037821,0.07822487193009589,0.0559592054018846,-0.012050844718276716,-0.0505229277915906,-0.031235686840554815,0.017225595863332506,0.026784545736882985,-0.007482886710440421,0.0043868489103516695,-0.002992977393207701,-0.0021504778220500453
