PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.4070954255200987,0.4070954255200987
PC2,0.14101609535615453,0.5481115208762533
PC3,0.09461689488836623,0.6427284157646195
PC4,0.06685007102710418,0.7095784867917236
PC5,0.05765671755311296,0.7672352043448366
PC6,0.05448380324198784,0.8217190075868245
PC7,0.051730124233317715,0.8734491318201422
PC8,0.04124460226670268,0.9146937340868448
PC9,0.023448457216223226,0.9381421913030681
PC10,0.019072548020212327,0.9572147393232804
PC11,0.014238470335181172,0.9714532096584616
PC12,0.011484914581051683,0.9829381242395133
PC13,0.007985415785016046,0.9909235400245293
PC14,0.0037394950305288097,0.9946630350550582
PC15,0.002229701030373216,0.9968927360854314
PC16,0.0016043546416667884,0.9984970907270981
PC17,0.00123960589971486,0.999736696626813
PC18,0.0002633033731868527,0.9999999999999998
