,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
ppg_infra_mean,0.019747518203942622,0.006106683582156895,0.6136082289854098,0.1356539162772,-0.03084655639975658,-0.05578866124495905,-0.009518714163815313,0.23552251823054046,0.23030571575266964,-0.04362799127725781,-0.1184578193160117,-0.6671743626317618,-0.06077369203285399,-0.0007501257145164747,0.04162437777138001,-0.03928246493131399,-5.686112729939534e-05,0.14195071407996138,-0.028952273746570115,0.05452549139604369,-0.001168976005793783
ppg_infra_min,-0.336110477281417,0.12662971310071797,-0.04101823338574368,0.11234783952543291,-0.045095019541250954,-0.017825005406817033,0.0563373129857379,0.018206241071712346,-0.003977670296277831,0.07516815091636667,-0.07231103958722322,-0.16700261403093303,0.3132692578410366,-0.20707081299069505,-0.023339741456711076,-0.40014774803565817,-0.13042779169922428,-0.6964976573498496,-0.020372970660681344,-0.0695380365345951,-0.05476076194945078
ppg_infra_max,0.33645596086801705,-0.13482961733765864,-0.002537949877076208,0.04707221583970834,-0.03983553065275012,-0.04642851891636167,-0.10164581230960949,0.04695798018385835,-0.04046791541465143,-0.08632711932608997,-0.03779700163539389,-0.09690428958660938,-0.3419019795299066,0.20176236732616204,0.0648891530696611,0.3324005258755772,0.20702477444623044,-0.6194865381344844,0.3590029343172974,-0.03595661391732942,0.033213044333606896
ppg_infra_median,-0.05128640754922281,0.10617201646399856,0.3019434075634403,-0.418406802367239,-0.1147953728540721,-0.16622717138408086,-0.6533487666568916,-0.09306214835703228,-0.43585132138491817,0.14208479276047922,0.13589107044424398,-0.0037403913142972085,0.09038394978585869,-0.028509858830934227,0.003850798602825131,-0.04351265320483361,0.014643318998378415,-0.014462956934124964,0.04743691578151442,0.03576174450163941,0.007117276626510575
ppg_infra_iqr,0.283016237327843,-0.26435679799313583,0.007400857896489947,-0.032776736521880234,0.08407675528510129,0.017845292734098853,8.253631906767953e-06,0.0682003423264214,-0.05555253332695832,-0.1364847321802419,-0.2751063304023537,0.05805057394521031,0.41051635999602987,-0.12798045764683225,0.13219764083477992,-0.293842781521814,-0.030625098870107517,0.18802968746063695,0.636821269605621,-0.07374941225790627,-0.009284084161303175
ppg_infra_skew,0.022352994908370526,-0.06929885297280927,-0.03954641651312298,0.652418900005143,-0.3126235986403644,-0.3908260825410027,-0.32415598017226027,0.32513015457681044,0.0387019157309171,0.042088610850720555,0.11973005113684895,0.25532671995218137,0.10058700643944773,-0.0696586156744011,-0.02053679911829763,0.036265335089278664,0.0019715589361744856,0.07401938800216594,-0.02761866020930274,-0.015755716960879497,0.014876582952582198
ppg_infra_kurtosis,0.20657605627795522,0.3529297139652465,-0.02132177739737285,-0.027858428102507802,-0.02036253810096978,0.07947954421048385,0.09432545693005723,0.09281273611422983,-0.09146564210435798,-0.2497760807598529,0.17346351739967344,-0.10183987147678304,0.3090123931628051,-0.5144653440869944,-0.10080705882698293,0.4333211540505613,0.19281619407593378,-0.007209140965011938,-0.016460541717644037,-0.07240888444783851,-0.3086122487997457
ppg_infra_diff_mean_abs,0.3047744457675957,-0.23270400318360154,0.015332580949128743,-0.017537550093128514,0.11777286966216653,-0.018216931494186336,0.026815870762276595,0.02854756079156726,-0.03660564718823047,-0.01294956342535325,0.041192404992844524,0.036859760758179205,0.21196584866347826,0.011613509866334774,0.06184254343692831,-0.26111883488189835,0.5495743052422487,-0.1151997777426622,-0.392164887616154,0.4949044255982106,0.03194861488233541
ppg_infra_signal_energy,0.2930624528599663,-0.24739581701049673,0.013831466182698163,-0.04650889992028833,0.10451017715182377,-0.011635241319870709,-0.01463469783754919,0.0906722602594561,-0.09263566764683098,0.05917591707523651,-0.1119090882294807,0.024120912993080133,-0.04462714702873399,-0.26134840018439165,-0.09856282750305022,0.16970444538779056,-0.6966496716647111,-0.1270464845831342,-0.1790747199033,0.4039954972141446,-0.017967300929887305
ppg_infra_zcr,-0.1062659057041303,0.033840769455043045,-0.009145869993216203,0.20093578150524277,0.725494370666231,-0.35498437002229816,-0.2141562458350924,-0.3330191786348839,0.1443868555782856,0.13846294207671406,-0.18097417629628307,-0.027401959945761174,0.011168269292121525,-0.1521980205568511,0.020627755448213214,0.16805026771620885,0.09515749105361676,0.007247864665552319,0.021489520306750005,-0.034095001287318204,-0.042115146675530304
ppg_infra_p10,-0.3035655017992029,0.23569059502935163,0.032588279022823234,0.06122196736723108,-0.016581275960115226,0.030757498973184142,0.09560967807048121,-0.030735260256369933,0.11972565784624817,0.08382994389244619,0.23663142632853615,0.04160809442464895,0.05413545640256713,0.05977457243954917,-0.05619924660939871,0.11876430137464519,0.017390628940201165,0.026098883475038182,0.4858695210977884,0.7016548006333523,0.06288416954394327
ppg_infra_trim_mean_10,0.0013081327010716287,0.025411264699067612,0.5978601716216169,-0.14339495024186644,0.13628179598550094,0.0970370780717879,0.06793635819775015,0.1480260765283769,0.3572834361760343,-0.018406190285738238,0.05177477072928294,0.6154855292642154,0.041979908563146956,-0.026651926936851,-0.05882346274896308,0.023606168098398356,-0.0018655390434380685,-0.18356704457491357,-0.01776860220256615,-0.12945832475167746,-0.008874348043723723
ppg_infra_crest_factor,0.22447727778059232,0.2992164469669413,-0.01339437583395431,0.09514979975693162,0.16919825873189834,-0.09268968819224967,-0.13030365996673887,-0.12391417669772066,0.05910035031076901,-0.5150232175891254,0.22973428526322093,-0.008752248269229313,0.10348025691167144,0.48029799738583645,0.016535063314032233,-0.22070345376264347,-0.27917815908053245,-0.035871534572142844,-0.0590247949265708,0.04872595522859665,-0.29023104732684385
ppg_infra_shape_factor,0.19199520107142015,0.3613512159383768,-0.02396244009007284,0.038255384610320894,0.10308459936708701,-0.04410727385167275,0.04905393331512626,0.18888481226651835,-0.1309116647191782,0.12259001354543533,-0.051684790231187175,0.10870634894777993,-0.5887378176357546,-0.3012462455582769,-0.03058410428231483,-0.46113005017565545,0.07377003337530916,0.06252981653200979,0.11873840751776583,0.0653418929651337,-0.23357453033287667
ppg_infra_impulse_factor,0.2103663898244794,0.37110779716411796,-0.024574140439997758,0.03856102786950697,0.14764691874766164,-0.010710047520839705,0.018605350399337032,0.08583621002335659,-0.07325179350129818,-0.13631371401424686,0.05078457886380426,-0.022246331137597025,0.05407092262704406,-0.07129134226376484,-0.07137538016445343,-0.05227668474632259,-0.05426587237282803,-0.01783684930578057,-0.02838116810929592,-0.06783603337450225,0.8571936842384669
ppg_infra_clearance_factor,0.1565068499873198,0.3389163498057804,-0.03380293165604694,0.026866009358445422,0.14307102592309714,0.0816052142081959,0.09348596611523594,0.3627306025197221,-0.17709040288333178,0.5307451321762293,-0.26433215941229105,0.017739297097127092,0.273609643813734,0.4230362211317744,0.08602090727727583,0.15997722033468104,-0.026902297535988665,0.0011903313447877736,-0.046143998538357656,-0.02180569837585132,-0.1339901930178512
ppg_infra_tke_std,0.28381276098290026,-0.1784982469416142,0.008309435095650604,0.01941596148634918,0.11144025433992763,-0.02617922107149177,0.12861537140204224,-0.09878695672418934,0.10085308127094798,0.45412281005099003,0.6802662466966053,-0.17270165311961272,0.07681295607174078,0.0040899741800505904,-0.22583385480532292,-0.13068726839950712,-0.06733700206354111,0.0012737207318635581,0.12248784825191528,-0.2119065102433439,-0.01761031856886891
ppg_infra_dx_mean,-0.025669004940895048,0.011457096212157014,-0.052896617127866016,-0.3998975678337901,-0.10064392815487735,-0.800858760026098,0.3931364337245041,0.14308026557713555,0.04137685938693928,-0.05691646392645453,-0.01625520519916185,-0.0004242712255246311,0.02699793519756037,0.05378473914347715,-0.010438682017050638,0.02782107797999043,-0.006899536810929923,-0.006900300498584341,0.01045310686182746,-0.006007586773001577,0.0006058670074240494
ppg_infra_ddx_mean,-0.021948496981030845,0.010345505291365227,-0.4044353690376695,-0.3513719276511654,0.0858671137580422,0.08468730559671107,-0.41802234882272216,0.41959371471032786,0.5720770588805276,0.008966613990868849,0.050359885447310904,-0.10866309728031581,0.0006403986182865448,-0.054356602949537314,0.035699143389134894,-0.028020848758243334,0.008745275318626186,-0.004213215393272043,-0.0027662381018450162,0.014833589585763328,0.0012042939226792838
ppg_infra_dx_kurtosis,0.2488825857829456,0.2185184926303185,0.014555690623884805,-0.005122588118620806,-0.2927249658376394,-0.047069616681856274,0.00802699861143668,-0.3745563392921806,0.28932850379439984,0.2113095298031684,0.011686707451316421,0.03264875753844034,0.02725423389812368,-0.14091703869873387,0.7050388285605725,0.00871645193448263,-0.09795945748205019,-0.01915300800539079,-0.05081689120212696,0.0316790593169042,0.03063518827815109
ppg_infra_ddx_kurtosis,0.25628626735225096,0.17318290248915352,-0.019924334092100458,-0.02301783899315118,-0.33153860340923497,-0.042431580610689815,-0.10312857205898093,-0.3674325508787953,0.2990165001472656,0.1306230137493375,-0.37615090594292755,0.0017886303223764194,0.06895812022371603,0.05108398402150267,-0.6178082995547941,-0.04746222339994049,0.06144997711961481,0.009474890620659053,0.010509907355187762,0.0491954512317189,-0.01925475250267018
