PC,explained_variance_ratio,cumulative_explained_variance
PC1,0.32766588080170306,0.32766588080170306
PC2,0.22787729797175668,0.5555431787734597
PC3,0.08839980743009485,0.6439429862035546
PC4,0.07965945619875545,0.7236024424023101
PC5,0.05694756727779947,0.7805500096801096
PC6,0.043328247322279245,0.8238782570023888
PC7,0.03980224134396834,0.8636804983463572
PC8,0.029695755437526877,0.8933762537838841
PC9,0.025628623951415717,0.9190048777352998
PC10,0.020751749326152577,0.9397566270614524
PC11,0.012231820000774775,0.9519884470622272
PC12,0.011037006495983208,0.9630254535582103
PC13,0.009125801314227236,0.9721512548724376
PC14,0.007425122059106796,0.9795763769315444
PC15,0.0052163166406200496,0.9847926935721645
PC16,0.00358465589647509,0.9883773494686395
PC17,0.003084866950749899,0.9914622164193895
PC18,0.002210161181536283,0.9936723776009257
PC19,0.0021132505980354134,0.9957856281989612
PC20,0.0015637726814163035,0.9973494008803775
PC21,0.0013735702564132183,0.9987229711367908
PC22,0.0008446911923999839,0.9995676623291907
PC23,0.00023711730784751691,0.9998047796370382
PC24,0.00019522036296188127,1.0
