,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
ppg_infra_median,0.2752927319380158,-0.06571590585965167,-0.20878658169397285,-0.038209752635621715,0.268347251088398,-0.15405894563235611,-0.028903207046689017,0.06939321920309792,-0.14714923583563405,0.04068329403219362,-0.18901671295023106,0.19929074062251906,0.714887088529663,-0.25829745764074047,-0.22263857475328638,0.05294719066473961,-0.010550742056753834,0.07759756080193013,-0.1282487154403966,0.14756957332449047,0.013294877134635029,0.003116576694676926
ppg_infra_iqr,0.29497397689847743,-0.08127491285515566,0.22682157374400988,0.0033296835780288153,-0.16624567503310253,-0.02389084967581144,0.0701047409209031,-0.31054751196007974,0.15850819885639483,0.10466588054039125,-0.08002904644412141,0.019974706915217254,0.15041115755254006,-0.026933835127184138,0.1993298681179572,-0.1322431024216236,0.3625229125615932,-0.6622819322018952,-0.1711815087527955,-0.03195370468034517,0.01226125450888438,0.03735074082154219
ppg_infra_p10,-0.32363622322733177,0.07567219359344424,-0.1273626679388371,-2.053510668529436e-05,0.15470441948884062,0.0686523545301716,0.05577194760565312,0.08522848212560714,0.0008206246522959083,-0.07276366983407836,0.0880051712485644,-0.06504632333230762,-0.13833917765494172,0.04294922715428809,-0.12748732982127386,0.14981801330537112,0.09982675196759201,-0.2570970492465317,-0.4629489510402126,0.6823888494584112,-0.03602892711374346,-0.0006687184632959945
ppg_infra_tke_std,0.2820132989348807,-0.06577665124751372,-0.2413408973193564,-0.01922730151594739,-0.1381086483519278,-0.026845174497860183,-0.21298662791381298,0.43486978741640264,-0.14116360499151426,-0.10289681808509134,0.017709704533555897,-0.015803614094262224,-0.1274941102022561,0.08006248163622803,0.16385965891769771,-0.18189423154876191,0.08105745002858172,-0.012312985878352339,-0.24205690431755908,-0.08731321306264013,-0.4772664062223199,0.4345782742848115
ppg_infra_ddx_std,0.28672048727112903,-0.019229375197969478,-0.24562674920972474,0.026969536605811823,-0.2940755737527445,-0.00487942469309473,-0.1137961861910028,0.1573749650904713,-0.01739999926463861,-0.0728355672005499,0.14864557438693923,-0.1063117750787673,-0.14587431808027038,0.05151404624996126,-0.3753354432745772,0.2063800079106064,0.13671071670358778,-0.02146504726980429,-0.3347371695215845,-0.26608668353481657,0.4835863550598376,-0.22332870537755597
ppg_infra_mean,0.20037631703006725,-0.01337011825434543,-0.2640129977108305,-0.027936531532198283,0.5216720436290423,0.22754312973136318,0.24674197164074338,-0.18664926618247787,0.07722818776103435,-0.0031121051172306015,0.07203099475423674,-0.03892025674306933,-0.13843029469418447,0.027995174845732437,0.20172651324198912,0.3389214907451126,-0.12429309946013452,-0.0713877025776913,-0.2059552084644174,-0.33313573997360313,-0.2604951657116102,-0.19891019422181788
ppg_infra_diff_mean,-0.1910201585448787,0.06753411083479681,-0.3957370072396072,-0.021267016193935718,-0.37834377003358066,0.06458468133113113,-0.07311258975514547,-0.13632239170596852,-0.01988595389437206,0.060847055738987625,0.5357224372327456,0.0009012652032322213,0.3445423130050308,-0.11438113503803293,0.39857331467316187,0.09574370769780818,-0.17938558062537785,-0.06659060280331547,0.037827531211026125,0.02613189747241237,0.01911225597977264,-0.025223408277453997
ppg_infra_max,0.32566449995535873,-0.03949810718547345,0.17575349668375204,0.007908523005504924,0.058721600394888815,0.06486928894324862,0.005388024870877077,-0.0049375461785892485,0.018026898970905782,0.007971630113345968,-0.024661943590376604,0.00612909907885087,-0.08871471989712552,0.011050412232338496,0.3004183206098191,0.4069292250514138,-0.23644758940685412,0.08477687794263193,0.023117999340922655,0.23036459810106014,0.43482824566312495,0.5320519643372872
ppg_infra_p90,0.31521808563599985,-0.051863834368911184,0.05809073481733957,0.004772444354022082,-0.1941355300080425,0.08686266101368288,0.06898437362572801,-0.3717260006692648,0.12263848141652506,0.12373002839691687,0.02077217866044231,0.0023793031323130114,-0.08264103269786845,0.01149138881838551,0.08858747118133059,-0.3141509002787589,-0.061471308660341624,0.5480310335538944,-0.373350648421024,0.2778770834427365,-0.09315910517646478,-0.180801785348982
ppg_infra_diff_mean_abs,0.31993418230299814,-0.036436550645405144,-0.01310686632050244,0.07794125680121655,-0.24237746781733333,0.003452154147173945,-0.009604351967505998,-0.18635737650829917,0.12210517067282738,-0.013224157127890757,0.13628322407836282,-0.07863679590206575,-0.06238215271033804,0.011883440272174306,-0.4739936062712964,0.31356918082108987,-0.18635284910869082,-0.13728625318006546,0.3687800960448656,0.2377240221749017,-0.42795557573552334,0.01963976305585203
