,ppg_infra_mean,ppg_infra_std,ppg_infra_min,ppg_infra_max,ppg_infra_range,ppg_infra_median,ppg_infra_iqr,ppg_infra_mad,ppg_infra_skew,ppg_infra_kurtosis,ppg_infra_diff_mean,ppg_infra_diff_std,ppg_infra_diff_mean_abs,ppg_infra_diff_rms,ppg_infra_signal_rms,ppg_infra_signal_energy,ppg_infra_zcr,ppg_infra_p1,ppg_infra_p5,ppg_infra_p10,ppg_infra_p90,ppg_infra_p95,ppg_infra_p99,ppg_infra_p90_p10,ppg_infra_p95_p5,ppg_infra_p99_p1,ppg_infra_trim_mean_10,ppg_infra_mean_abs,ppg_infra_rms,ppg_infra_crest_factor,ppg_infra_shape_factor,ppg_infra_impulse_factor,ppg_infra_clearance_factor,ppg_infra_mean_cross_rate,ppg_infra_tke_mean,ppg_infra_tke_std,ppg_infra_tke_mean_abs,ppg_infra_tke_p95_abs,ppg_infra_dx_mean,ppg_infra_dx_std,ppg_infra_ddx_mean,ppg_infra_ddx_std,ppg_infra_dx_kurtosis,ppg_infra_ddx_kurtosis
ppg_infra_mean,0.0,0.010254705086927407,0.0770634270688431,0.0955521999811915,0.00958581579850173,0.5835132255805431,0.0038769483192466424,0.005972053709500746,0.09891739934011076,0.011499805671595652,0.00952665635699166,0.01025285418661267,0.01020150870041773,0.010103565296341861,0.010875268622750327,0.002623346352569686,0.0014032901739935086,0.08135048936980427,0.09667841600073054,0.12221958184134958,0.1406436480149056,0.12276745067196826,0.09995762163655217,0.012077244745244265,0.015384977172519949,0.009870058128338511,0.9550861317107765,0.008690526204212177,0.010875268622750327,0.010283180499294583,0.0008462111044184175,0.008410537047220966,0.0018649813921574024,0.0031236488911427903,0.003930991328588994,0.0012109523523121618,0.003930991328588994,0.009073699030003666,0.00952665635699166,0.01025285418661267,0.39479030684452776,0.01168557336797138,0.004053733069729916,0.000611717719771606
ppg_infra_std,0.010254705086927407,0.0,0.9548844422346764,0.9637080004003408,0.9864977076976872,0.06911116455688802,0.9607449948670537,0.9552574633691422,0.11046611424551234,0.00548102976764658,0.014637786011839878,0.9276589792560097,0.9345309295226045,0.9283470649459021,0.9998680996339065,0.9292997117543613,0.15563204945115688,0.9586397719491822,0.9716548604210676,0.9691902195642034,0.973109606856319,0.9734283126582545,0.9665466098110925,0.9933710545559922,0.995798278372282,0.9888164280601273,0.01195966815475203,0.9953908496000755,0.9998680996339065,0.1316978225022324,0.0959680369673605,0.08051044513062998,0.004538164036088187,0.13766997401290487,0.7534466998759297,0.69594241134643,0.7534466998759297,0.9095820888132127,0.014637786011839878,0.9276589792560097,0.006678017583580686,0.8609461916817894,0.2922988397882907,0.4524590297976981
ppg_infra_min,0.0770634270688431,0.9548844422346764,0.0,0.8912409079356876,0.9723801692458972,0.027774028328290987,0.8826154741425108,0.8815598904044154,0.028465294639958883,0.06648595584550551,0.027900138277931003,0.9260370046301928,0.9200429394797335,0.9266228076689577,0.9546182360391917,0.8847790029894365,0.13406860288411748,0.9983400770660897,0.9745256743017341,0.9339645499443132,0.895987342583426,0.8945592745272978,0.8924110499525779,0.9354909083152007,0.9561354502402993,0.9709333687255083,0.009340620962103599,0.9377232534737532,0.9546182360391917,0.2111335588626074,0.15079757569262642,0.13790476244062377,0.0023964213614618528,0.11751737741375867,0.7722324969390584,0.7337391595245223,0.7722324969390584,0.911012272799568,0.027900138277931003,0.9260370046301928,0.045459580292470464,0.8675881922269539,0.334035662351837,0.46968761885702237
ppg_infra_max,0.0955521999811915,0.9637080004003408,0.8912409079356876,0.0,0.9724801450345156,0.0981343245136012,0.8978709768438836,0.8938356888199902,0.22644491984613294,0.04067129783655352,0.0009681439383558175,0.9193262257266244,0.9175806222834454,0.9200264926848861,0.9634308749102928,0.8858165976700098,0.14134751793621814,0.8942802165099748,0.9037113953293691,0.9012678954841511,0.9509352529863304,0.9785399787085828,0.9986040968270746,0.947755823215645,0.9643070332733522,0.9723921731532462,0.044312448207064606,0.9496165724245221,0.9634308749102928,0.1892517758737823,0.13068174993924442,0.11702421991672471,0.004821790827329985,0.1239340653090102,0.7562696268194481,0.7066200007994695,0.7562696268194481,0.9059491594785026,0.0009681439383558175,0.9193262257266244,0.041252048502570283,0.8627851448172101,0.3137309293859165,0.45943185517903734
ppg_infra_range,0.00958581579850173,0.9864977076976872,0.9723801692458972,0.9724801450345156,0.0,0.06477135710908595,0.9154899161406955,0.9128709439499203,0.10191347843164844,0.055085793213649516,0.013834509152898687,0.9488378847894404,0.9448602877907096,0.949499203367175,0.9862183347178899,0.9103977462038402,0.14161562799434613,0.9730915757144045,0.9657113515209025,0.9436169375083402,0.9496680121115657,0.9631407579999703,0.9723628847227314,0.968325382929381,0.9874486541390164,0.9992114818393623,0.01800632452673418,0.9704297818831936,0.9862183347178899,0.20585836079291187,0.14472058951803468,0.1310686961466168,0.0012503837308106053,0.12415141885290164,0.7859113444450916,0.7405852450257203,0.7859113444450916,0.9342351270895116,0.013834509152898687,0.9488378847894404,0.0021235562600248497,0.8897137503371146,0.3330565217808639,0.47772596156102076
ppg_infra_median,0.5835132255805431,0.06911116455688802,0.027774028328290987,0.0981343245136012,0.06477135710908595,0.0,0.06988032181868178,0.05369117481155599,0.251659699793048,0.007245562357437153,0.020525869927444738,0.06541193478435631,0.06210230401947917,0.06555665017618549,0.06872733635555642,0.06461894377974058,0.00820507034097294,0.0262809824675307,0.02085811485595769,0.039593296212023454,0.08791073113310918,0.10042365149256444,0.10035408963389664,0.0656961270933181,0.06282555605127063,0.06516949851371417,0.6060331546657816,0.0714077604102867,0.06872733635555642,0.0023622914009790367,0.005063082848959122,0.0025032480807996977,0.000343472833721559,0.008250623093791189,0.07036445746259695,0.07575012806899653,0.07036445746259695,0.06892048307549678,0.020525869927444738,0.06541193478435631,0.20066789729429532,0.06467516433179744,0.02573346171130937,0.0070921681524358324
ppg_infra_iqr,0.0038769483192466424,0.9607449948670537,0.8826154741425108,0.8978709768438836,0.9154899161406955,0.06988032181868178,0.0,0.9880008284629299,0.11280777212076977,0.09858298099061792,0.01810243550742433,0.8650416198804625,0.8881502622861599,0.865714155344278,0.9606630914857307,0.9067952121697397,0.15903328408121475,0.8877433793919356,0.917027626325374,0.9427973222687055,0.9381185526100209,0.92004267543749,0.9015125289357242,0.9618912208300925,0.9405127587040065,0.9190107533363594,0.0027556678122179286,0.9795178381640716,0.9606630914857307,0.021898677168680505,0.008941096854464382,0.0036282960303503317,0.008692415018933372,0.13991018323848395,0.6952853325688759,0.6244196820568655,0.6952853325688759,0.841071388892763,0.01810243550742433,0.8650416198804625,0.0053384307121472465,0.8010171536307082,0.22367307391270638,0.3914177655251853
ppg_infra_mad,0.005972053709500746,0.9552574633691422,0.8815598904044154,0.8938356888199902,0.9128709439499203,0.05369117481155599,0.9880008284629299,0.0,0.10889433415461469,0.0947194381456164,0.0137034062160813,0.8668938509591891,0.8913867546845397,0.8675081399230019,0.9548951832947343,0.9009639966989509,0.15173739216227608,0.8868867413775352,0.9166440655972472,0.9413534375170641,0.9327030423852595,0.9152466926727008,0.8973299261705727,0.9583430756217689,0.9378203084533067,0.9164167835402017,0.00019471518894756794,0.9723946360453508,0.9548951832947343,0.02546350250496759,0.006856647878248219,0.0014389322533151531,0.008546554342943595,0.13208256337321117,0.6967960308420723,0.6271536452063597,0.6967960308420723,0.8403592706585763,0.0137034062160813,0.8668938509591891,0.0023070969960996062,0.8045766311661121,0.22124971984786326,0.3858884917860569
ppg_infra_skew,0.09891739934011076,0.11046611424551234,0.028465294639958883,0.22644491984613294,0.10191347843164844,0.251659699793048,0.11280777212076977,0.10889433415461469,0.0,0.21947421797007244,0.005794218002327245,0.08877903876417167,0.09328421632923938,0.08897102467153077,0.11064955155947068,0.08940658131064805,0.03619574050237386,0.02605954882612619,0.002584007305388247,0.04974180098715232,0.17246556431781812,0.2089235517486481,0.22643161496236275,0.11488080375435555,0.11018849624058323,0.10335003611451259,0.038377210302235155,0.11324770706072437,0.11064955155947068,0.2017496192225338,0.21385139430438838,0.2495862830649901,0.22749959420227608,0.025418316734312156,0.06534653362818106,0.05347973322537876,0.06534653362818106,0.08828353330555423,0.005794218002327245,0.08877903876417167,0.04915401747607608,0.08612928366207,0.11850168477044036,0.058997866855627364
ppg_infra_kurtosis,0.011499805671595652,0.00548102976764658,0.06648595584550551,0.04067129783655352,0.055085793213649516,0.007245562357437153,0.09858298099061792,0.0947194381456164,0.21947421797007244,0.0,0.015255867593118902,0.0476070651072367,0.005788017251522193,0.0480796017385625,0.005410338011919965,0.03287542992280047,0.0038050362606616684,0.05691156598881346,0.0050009913824792035,0.04731846565418752,0.044468968951754576,0.007682960245240519,0.033604735613659134,0.046913174438731546,0.0014902903199862827,0.04645018616909794,0.005351171000135219,0.043416687820789536,0.005410338011919965,0.6886019045137294,0.8438255634086989,0.9095329730538138,0.6591406901672694,0.004582579236278128,0.024395908066421276,0.062386486353154046,0.024395908066421276,0.049317078451247914,0.015255867593118902,0.0476070651072367,0.003408250338052311,0.04900654204614498,0.6081548139089908,0.4075380131156572
