PC,feature,abs_loading
PC1,ppg_infra_tke_p95_abs,0.3596073410686781
PC1,ppg_infra_ddx_std,0.3547431204472226
PC1,ppg_infra_tke_mean_abs,0.34353074537334943
PC1,ppg_infra_p95,0.3383748169250236
PC1,ppg_infra_p5,0.33789228679299604
PC1,ppg_infra_signal_energy,0.33295047734686206
PC1,ppg_infra_mad,0.3225368347564331
PC1,ppg_infra_tke_std,0.3091672786511088
PC2,ppg_infra_impulse_factor,0.4426295567779096
PC2,ppg_infra_kurtosis,0.4172645129444482
PC2,ppg_infra_shape_factor,0.4104098132851317
PC2,ppg_infra_crest_factor,0.3976942501665738
PC2,ppg_infra_clearance_factor,0.31227849479220815
PC2,ppg_infra_dx_kurtosis,0.2837001450774728
PC2,ppg_infra_ddx_kurtosis,0.17419474176394587
PC2,ppg_infra_mad,0.1567237831406683
PC3,ppg_infra_mean_cross_rate,0.5927201173831054
PC3,ppg_infra_zcr,0.58181013276749
PC3,ppg_infra_median,0.24118021207439222
PC3,ppg_infra_mean,0.22159919741787698
PC3,ppg_infra_ddx_mean,0.20027318274787778
PC3,ppg_infra_ddx_kurtosis,0.19620328946257407
PC3,ppg_infra_skew,0.1827835391633558
PC3,ppg_infra_dx_kurtosis,0.1436352354077422
PC4,ppg_infra_mean,0.5921899735888078
PC4,ppg_infra_median,0.5323890562137293
PC4,ppg_infra_ddx_mean,0.45074433281774895
PC4,ppg_infra_mean_cross_rate,0.2652326798923793
PC4,ppg_infra_zcr,0.262478613587476
PC4,ppg_infra_ddx_kurtosis,0.09158716718110316
PC4,ppg_infra_dx_kurtosis,0.0702641216212864
PC4,ppg_infra_clearance_factor,0.03782134892099628
PC5,ppg_infra_skew,0.7201741792534824
PC5,ppg_infra_median,0.34013459846749045
PC5,ppg_infra_ddx_mean,0.27078943594919175
PC5,ppg_infra_dx_kurtosis,0.23132234303526944
PC5,ppg_infra_mean,0.227731430641834
PC5,ppg_infra_p95,0.2187930366450231
PC5,ppg_infra_ddx_kurtosis,0.1861981735414496
PC5,ppg_infra_dx_mean,0.1515426334999353
PC6,ppg_infra_dx_mean,0.9570835620945392
PC6,ppg_infra_dx_kurtosis,0.14414782125387612
PC6,ppg_infra_ddx_kurtosis,0.13234287355362115
PC6,ppg_infra_clearance_factor,0.07964095930826688
PC6,ppg_infra_tke_std,0.0792030779007235
PC6,ppg_infra_signal_energy,0.06858216360173648
PC6,ppg_infra_p95,0.06662637246377956
PC6,ppg_infra_shape_factor,0.06369356455778626
PC7,ppg_infra_dx_kurtosis,0.43937657584545947
PC7,ppg_infra_ddx_kurtosis,0.437298586503685
PC7,ppg_infra_skew,0.29841597261993535
PC7,ppg_infra_clearance_factor,0.2976862583727214
PC7,ppg_infra_p5,0.2570671611627084
PC7,ppg_infra_tke_std,0.24129960471681208
PC7,ppg_infra_dx_mean,0.23573639220288617
PC7,ppg_infra_signal_energy,0.22607510838749312
PC8,ppg_infra_ddx_mean,0.6579813856273498
PC8,ppg_infra_median,0.32102747316911395
PC8,ppg_infra_skew,0.2885349617422452
PC8,ppg_infra_mean,0.28373134393984006
PC8,ppg_infra_ddx_kurtosis,0.27564108004911175
PC8,ppg_infra_tke_std,0.25971831466982565
PC8,ppg_infra_tke_mean_abs,0.21066807765211432
PC8,ppg_infra_mean_cross_rate,0.15258834160556006
