,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
ppg_infra_diff_mean_abs,0.16840391315531986,-0.33232956935594016,-0.2624348752743611,-0.29985487304868336,-0.15622131674680115,0.13504744655262665,0.1448987460923646,0.06158029702034823,-0.15547275104429853,-0.05054701129960776,0.004020303691328478,-0.10686655702449514,0.08560058263548458,-0.4849544189222173,-0.2498560130658464,-0.30132383934558377,0.006735454975061404,-0.3996645836496707,-0.06602648913525888,-0.19222149546555334
ppg_infra_ddx_mean,0.18247304305391018,0.1805405021544105,-0.2919689566316445,0.20832820548631698,0.22810503108598343,-0.26066087913625396,0.44504277697859057,-0.1477554611182789,-0.24068315806734003,0.25065197315555804,-0.11220495803639105,-0.01527521257923999,0.009484382368717834,-0.10043873293634839,-0.09630187918433639,0.512514401540855,-0.07276025273802851,-0.20955618940552856,0.018889856231384842,-0.01804830275714896
ppg_infra_shape_factor,0.24460667281905976,0.30860749409159294,-0.08813952423458808,-0.05106417734707296,-0.11532231694852166,0.22017341224366782,-0.2665909023398891,-0.06097607703094955,-0.15539027803829478,0.09761155403641883,-0.16666411569262873,-0.17475415972065278,0.3174436374887841,-0.23865377582802735,0.6589791939074349,0.05759190460282604,0.0868401089965521,-0.041368166952366676,-0.038055217577879,0.0010883551336539354
ppg_infra_ddx_std,0.2825024199839083,-0.26019158367474343,0.1243427977303594,-0.09757595276396791,-0.16328481161781444,0.010523800371709713,-0.136264255475296,-0.059613286308560956,0.19490707488776585,-0.13677525800260928,-0.07834509914014624,0.03563955680708608,-0.08505771161924401,-0.24419536239814707,-0.11731744362001274,0.5102945900497663,0.035656729966667654,0.321637906189813,-0.5184066435133589,-0.003721290634229399
ppg_infra_clearance_factor,0.1744617506004816,0.3477080489678205,-0.1494285514535084,-0.11268399730137894,-0.24949343799931317,0.2642368445094187,-0.2016007761957675,-0.19818412968693913,-0.0018465007400691256,0.26512581180825756,-0.3102083034746888,-0.14641590166257004,-0.09364837381505778,0.28990731917783263,-0.5145719516061429,-0.049624506808856876,0.22047317623825388,0.05577110551762574,0.02823485754739191,-0.033265781585233085
ppg_infra_tke_std,0.30286072793054936,-0.157781224199827,0.201805298118588,0.027908774180248057,-0.09755921054828244,-0.07957625460983185,-0.1479605117642623,-0.16424319854573688,0.2557917881848133,-0.12498903710321747,-0.09769879312818971,0.08670265639186908,-0.19963011590162008,0.2343204698462963,0.1647408577151192,0.16557660000916158,-0.03924955733078257,-0.4371111870103533,0.3018927862816841,-0.49596810791071966
ppg_infra_crest_factor,0.24625547591808608,0.24932931904049677,-0.09840836284273526,0.009142331424507273,0.19578539848766857,0.19917522959971304,-0.2277597142418479,0.25158754292815766,-0.3459475764497668,-0.2828813597423085,0.06619514552687057,0.6241927056481062,-0.2561999979379607,-0.05888181680328483,-0.08144365810416034,0.013944793570088898,-0.002949157514970879,-0.056252559122223246,0.0010721650227397254,0.03800944240140218
ppg_infra_dx_std,0.319554439043548,-0.21307145362283836,-0.028999783852148422,-0.07161195259199327,-0.08359236887487521,-0.04289376685097732,0.052358459409426995,-0.07675867194826949,0.054015369430132604,-0.06463002315472242,-0.07980466607914193,0.0243494920623404,-0.02169617524687155,-0.21258373639506775,-0.023971499515443938,0.04185302076334622,0.05937515136432876,0.3155918047478771,0.7065171982098032,0.40585710381380297
ppg_infra_kurtosis,0.2873795436411596,0.22008807439936592,-0.10351952829913977,0.07079034606805672,0.11459143978423147,0.02882083001343909,-0.04355158874713182,0.04889745218865265,-0.008988350337844743,-0.36676073095411443,0.5185233001449783,-0.6110068431975524,-0.2062744913221167,0.0603207278263329,-0.06771448497434279,0.023984734019253832,-0.07464567113634611,0.03374147116552618,0.011514632733391901,-0.003975842245702974
ppg_infra_max,0.32170793888090415,-0.0004455301543183762,-0.13677182084888725,0.11469678398381863,0.08764421484703586,-0.19718976405000765,0.2579836993718725,-0.12725366360109772,-0.05344521080216788,0.009299916119842239,-0.12014194978541179,0.08780387151473157,-0.09100624474368106,0.04381178059757825,0.1477191315712577,-0.4526348369608138,0.012514037745080859,0.5154042849254193,-0.12290149779317656,-0.4386766867667823
