feature,nan_ratio,variance
ppg_infra_mean,0.0,6440.155438192178
ppg_infra_std,0.0,2844151.050570649
ppg_infra_p95_p5,0.0,25604510.42148841
ppg_infra_p99_p1,0.0,117444733.22981593
ppg_infra_trim_mean_10,0.0,24533.201872507805
ppg_infra_mean_abs,0.0,885802.4543363984
ppg_infra_rms,0.0,2848473.94133495
ppg_infra_crest_factor,0.0,0.43742546359631584
ppg_infra_shape_factor,0.0,0.03066375559425025
ppg_infra_impulse_factor,0.0,2.166919942097537
ppg_infra_clearance_factor,0.0,7.232175465753076
ppg_infra_mean_cross_rate,0.0,0.0011591391646779093
ppg_infra_tke_mean,0.0,52234943443898.17
ppg_infra_tke_std,0.0,2304146460420739.0
ppg_infra_tke_mean_abs,0.0,52234943443898.17
ppg_infra_tke_p95_abs,0.0,786899.553976021
ppg_infra_dx_mean,0.0,1525.4327652332397
ppg_infra_dx_std,0.0,404619.78642370045
ppg_infra_ddx_mean,0.0,103.18719760233384
ppg_infra_ddx_std,0.0,594281.0024846744
ppg_infra_dx_kurtosis,0.0,28.08498816307291
ppg_infra_p90_p10,0.0,9395074.393373372
ppg_infra_p99,0.0,27945333.529936995
ppg_infra_p95,0.0,4796541.808311711
ppg_infra_diff_mean,0.0,1525.4327652332397
ppg_infra_min,0.0,36812680.7620998
ppg_infra_max,0.0,58317730.10597461
ppg_infra_range,0.0,175571352.44252443
ppg_infra_median,0.0,14318.918501500146
ppg_infra_iqr,0.0,1018281.5821493794
ppg_infra_mad,0.0,239133.64520753996
ppg_infra_skew,0.0,0.3534863825662596
ppg_infra_kurtosis,0.0,5.034564599006342
ppg_infra_diff_std,0.0,404619.78642370045
ppg_infra_p90,0.0,3027391.2872386104
ppg_infra_diff_mean_abs,0.0,69835.32440164195
ppg_infra_diff_rms,0.0,406030.65595136315
ppg_infra_signal_rms,0.0,2848473.94133495
ppg_infra_signal_energy,0.0,4.481395280106949e+19
ppg_infra_zcr,0.0,0.0010851821086542816
ppg_infra_p1,0.0,33117988.52011968
ppg_infra_p5,0.0,8502241.74047349
ppg_infra_p10,0.0,1932982.9971806726
ppg_infra_ddx_kurtosis,0.0,67.57712531211318
